object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,palace,"['palace', 'laundry room', 'car', 'suitcase', 'pantry room']",False
adjustable wrench,bedroom,press,"['glass', 'bedroom', 'cat', 'loft', 'press']",False
alarmclock,bedroom,bedroom,"['attic', ""child's room"", 'different room', 'bedroom', 'larder']",True
aluminumfoil,kitchen,kitchen,"['kitchen', 'bathroom cabinet', 'exercise room', ""prostitute's bedroom"", 'lamp']",True
android figure,corridor,chest,"['separate room', 'teapot', 'castle', 'corridor', 'chest']",False
anti slip tape,exercise room,exercise room,"['home', 'exercise room', 'icebox', 'side of the room', ""children's room""]",True
antidepressant,pantry room,pantry room,"['pantry room', 'bundle', 'laundry room', 'larder', 'motel room']",True
antique,attic,attic,"['pot', 'attic', 'court', 'hall', 'butt']",True
apple,kitchen,kitchen,"['cup', 'bus', 'loft', 'kitchen', 'furniture']",True
applesauce,jar,jar,"['teapot', 'dishwasher', 'sack', 'jar', 'engine']",True
appliance,home,home,"['dining room', 'backyard', 'chest', 'hamper', 'home']",True
apricot,table,table,"['table', 'tea room', 'bike', 'bar', 'bathroom']",True
armchair,bedroom,bedroom,"['suitcase', 'classroom', 'bedroom', 'ir rooms', 'basket']",True
armoire,living room,living room,"['hospital drug storeroom', 'music room', 'vault', 'living room', 'cabin']",True
armrest,car,room of the house,"['car', 'childs room', 'purse', 'wallet', 'room of the house']",False
arrow,quiver,quiver,"['can', 'restroom', 'container', 'quiver', 'oven']",True
artichoke,refrigerator,refrigerator,"['bookshelf', 'range', ""teenager's bedroom"", 'refrigerator', 'freezer']",True
article,press,press,"['ambulance', 'way', ' middle of the room', 'drawer', 'press']",True
ashtray,house,guest room,"['guest room', 'basket', 'storage room', 'house', 'orchestra']",False
asparagus,oven,pantry room,"['oven', 'pantry room', 'glass', ""cash's room"", 'stand']",False
atm,bank,bank,"['palace', 'bank', 'bathroom', 'palace', 'dining room']",True
attic,home,home,"['home', 'dresser', 'bank', 'deck', 'family room']",True
backpack,storage room,storage room,"['pantry', 'barrel', 'storage room', 'loungeroom', ""children's room""]",True
bacon,oven,oven,"['oven', 'art classroom', 'butt', 'classroom', 'briefcase']",True
balancing cactus,television room,small room,"['small room', 'television room', 'pocket', 'small room', 'locker']",False
ball,sack,sack,"['sack', 'ambulance', 'motorbike', 'truck', 'bathtub']",True
balustrade,grand ballroom,grand ballroom,"['grand ballroom', 'camp', 'classroom', 'storage room', 'motel room']",True
banana,closet,plate,"['small room', 'castle', 'bathroom drawer', 'closet', 'plate']",False
bar,oven,stand,"['backyard', 'stand', 'side of the room', 'oven', 'bookshelf']",False
baseball,lobby,court,"['glass', 'livingroom', 'lobby', 'court', 'band room']",False
baseballbat,bedroom,den,"['container', 'hive', 'bedroom', 'sink', 'den']",False
basil,garden,garden,"['jar', 'bunk', 'quiver', 'garden', 'bicycle']",True
basketball,bedroom,bedroom,"['jacket', 'cabinet', 'mailbox', 'bedroom', 'card room']",True
bat,attic,attic,"['range', 'attic', 'butt', 'different room', 'carton']",True
bath sheet,bedroom,bedroom,"['shelf', 'vault', 'bedroom', 'broom closet', 'tea room']",True
bathtub,bathroom,bathroom,"['fridge', 'shoe', 'separate room', 'bathroom', 'dresser']",True
bathtubbasin,bathroom,bathroom,"['barrel', 'tin', 'bathroom', 'nest', 'package']",True
batter,box,can,"['freezer', 'livingroom', 'can', 'box', 'place']",False
battery,childs room,none,"['floor', 'bus', 'backyard', 'plate', 'childs room']",False
beacon,range,utility room,"['tin', 'loft', 'utility room', 'cruet', 'range']",False
beanbag,child's bedroom,child's bedroom,"['chest', 'hatbox', 'briefcase', 'barrel', ""child's bedroom""]",True
beard color gel,utility room,utility room,"['deck', 'tin', 'utility room', ' middle of the room', 'study']",True
beauty pack,utility room,house,"['utility room', 'palace', 'house', 'backyard', 'study']",False
bed,bedroom,bedroom,"['pod', 'dishwasher', 'bedroom', 'packet', 'bedroom drawer']",True
bedroom,dwelling,dwelling,"['range', 'class room', 'dwelling', 'sack', 'refrigerator']",True
beer,can,can,"['engine', 'sofa', 'engine', 'can', 'most rooms']",True
beet,can,container,"['can', 'loungeroom', 'toaster', 'container', 'foyer']",False
belt,closet,closet,"['closet', 'jacket', 'childs room', 'most rooms', 'hall']",True
beverage,bottle,dining room,"[""prostitute's bedroom"", 'bottle', 'dining room', 'case', 'parlor']",False
binoculars,suitcase,shelf,"['quiver', 'belfry', 'suitcase', 'shelf', 'kitchen or bathroom']",False
biscuit,oven,oven,"['stove', 'dumpster', ""children's room"", 'oven', 'mansion']",True
blanket,closet,closet,"['hive', 'wallet', 'dimly lit room', 'closet', 'toolbox']",True
bleach cleanser,bathroom,bathroom,"['jar', 'bathroom', ""children's room"", 'attic', 'motel room']",True
blender,kitchen,kitchen,"['living rooms', 'package', 'kitchen', 'wardrobe', 'hotel room']",True
blender jar,garage,pantry,"['pitcher', 'bar', 'sack', 'garage', 'pantry']",False
blind,bedroom,bedroom,"['palace', 'briefcase', 'beehive', 'bed', 'bedroom']",True
blouse,suitcase,suitcase,"['locker', 'bowl', 'butt', 'tea room', 'suitcase']",True
board game,childs room,different room,"['childs room', 'bed', 'furniture', 'different room', 'most rooms']",False
boat,bay,bay,"[""men's restroom"", 'quiver', 'bay', 'pantry', 'every bedroom']",True
boater,boat,boat,"['boat', ""person's living room"", 'stand', 'dining room', 'place']",True
bolt,jar,bundle,"['den', 'garbage', 'jar', 'bundle', 'package']",False
book,living room,living room,"['bike', 'living room', 'garden', 'locker', 'aquarium']",True
bookcase,den,bookshelf,"['hospital drug storeroom', 'nest', 'den', 'pot', 'bookshelf']",False
bookend,utility room,every bedroom,"['bathroom drawer', 'glass', 'larder', 'utility room', 'every bedroom']",False
bookshelf,bedroom,bedroom,"['toaster', 'bedroom', 'teapot', 'hamper', 'boot']",True
boot,living room,floor,"['belfry', 'living room', 'floor', 'one room flat', 'tin']",False
booze,bar,bar,"['small room', 'mailbox', 'hive', 'bar', 'hall']",True
bottle,kitchen,kitchen,"['floor', 'briefcase', 'kitchen', 'waiting room', 'dumpster']",True
bourbon,barrel,barrel,"['card room', 'barrel', 'tin', 'bathtub', 'sofa']",True
bowl,kitchen,kitchen,"['locker', 'grand ballroom', 'packet', 'kitchen', 'backyard']",True
box,bedroom,drawer,"['bottle', 'bath', 'drawer', 'anor room', 'bedroom']",False
bra,drawer,drawer,"['cat', 'pot', 'guest room', 'bath', 'drawer']",True
brain,head,head,"['bowl', 'keg', 'beehive', 'head', 'every bedroom']",True
brandy,bar,bar,"['grand ballroom', 'waiting room', 'tank', 'microwave', 'bar']",True
bread,kitchen,kitchen,"['machine', 'kitchen', 'corridor', 'dining room', 'closet']",True
breakfast,table,table,"['table', 'garbage', 'parlor', 'childs room', 'machine']",True
broccoli,oven,oven,"['oven', 'tin', 'truck', 'packet', 'most rooms']",True
broiler,oven,oven,"['cellar', 'broom closet', 'oven', 'pot', 'motorbike']",True
broom,cabinet,cabinet,"['butt', 'schoolroom', 'cabinet', 'one of the classrooms', 'den']",True
bug,garden,garden,"['card room', 'cup', 'garden', 'childs room', 'broom closet']",True
bulb,lamp,lamp,"['cabin', 'sink', 'lamp', 'lounge', 'different room']",True
bullet,barrel,storage room,"['storage room', 'hotel room', 'briefcase', 'barrel', 'bike']",False
bumper,car,car,"['car', 'attic', 'ir rooms', 'loft', 'home office']",True
bun,breadbox,breadbox,"['breadbox', 'well', 'tank', ""child's bedroom"", 'beehive']",True
bundt pan,living room,vault,"['living room', 'art classroom', 'bicycle', 'vault', 'wallet']",False
bureau,bedroom,bedroom,"['bedroom', 'camp', 'box', 'tea room', 'sofa']",True
burner,oven,kitchen,"['oven', 'chest', 'kitchen', 'laundry room', 'dumpster']",False
butter dish,garage,bunk,"['garage', 'cellar', ""cash's room"", 'bunk', 'trunk']",False
butterknife,kitchen,kitchen,"['suitcase', 'tank', 'shelf', 'can', 'kitchen']",True
cabbage,plate,plate,"['plate', 'card room', 'pocket', 'bathroom drawer', 'boot']",True
cabinet,bathroom,bathroom,"['bathroom', 'grand ballroom', ""child's room"", 'backyard', 'bay']",True
cake mix,lobby,pantry,"['microwave', 'chest', 'pantry', 'laundry room', 'lobby']",False
cake pan,childs room,person's living room,"['childs room', 'pot', 'truck', 'hamper', ""person's living room""]",False
calender,desk,desk,"['cruet', 'sofa', 'master bedroom', 'desk', 'broom closet']",True
camera,dining room,art classroom,"['press', 'tank', 'dining room', 'sedan', 'art classroom']",False
camper,bunk,bay,"['one of the classrooms', 'bay', 'bunk', 'packet', 'pod']",False
can opener,living room,cabin,"['living room', 'motel room', 'library', 'cabin', 'ambulance']",False
candelabra,table,table,"['basement', 'table', 'bar', 'anor room', 'stove']",True
candle,living room,living room,"['box', 'belfry', 'washer', 'stove', 'living room']",True
candle holder,corridor,tank,"['tank', 'corridor', 'mansion', 'castle', 'bathroom or kitchen']",False
candlestick,table,table,"['table', 'art classroom', 'dresser', 'lamp', 'basement']",True
candy,lobby,packet,"['packet', 'dwelling', 'boot', 'lobby', 'chamber']",False
candy bar,garage,classroom,"['glass', 'shell', 'garage', 'belfry', 'classroom']",False
canister,utility room,utility room,"['nest', 'utility room', 'toolbox', ""child's bedroom"", 'deck']",True
canteen,backpack,backpack,"['bike', 'backpack', 'schoolroom', 'court', 'carton']",True
canvas,art classroom,art classroom,"['keg', 'bike', 'home', 'art classroom', 'keg']",True
cap,suitcase,suitcase,"['suitcase', 'grand ballroom', 'orchestra', 'glass', 'apartment']",True
carburettor,car,car,"['sedan', 'furniture', 'wardrobe', 'cubicle', 'car']",True
card,box,purse,"['box', 'study', 'closet', 'purse', 'cabin']",False
card game,playroom,playroom,"['ambulance', ""teenager's bedroom"", ""child's room"", 'side of the room', 'playroom']",True
carpeting,house,house,"['larder', 'engine', 'closet', 'house', 'container']",True
carrot,fridge,fridge,"['fridge', 'butt', 'hall', 'sink', 'cradle']",True
carrying case,kitchen,wardrobe,"['kitchen', 'belfry', 'dormroom', 'handbag', 'wardrobe']",False
case,trunk,trunk,"['trunk', 'bathroom and kitchen', 'separate room', 'dishwasher', 'bright room']",True
casserole dish,television room,case,"['case', 'one of the classrooms', 'floor', 'television room', 'nest']",False
cauliflower,oven,oven,"['small room', 'wallet', 'living rooms', 'oven', 'boot']",True
cd,bedroom,bedroom,"['place', 'corridor', 'bedroom', 'shaker', 'deck']",True
celery,refrigerator,refrigerator,"['refrigerator', 'engine', 'lobby', 'numerous modern washrooms', 'pan']",True
cellar,basement,basement,"['basement', 'drawer', 'dresser', ""person's living room"", 'room of the house']",True
cellphone,living room,living room,"['machine', 'bank', 'guest room', 'basket', 'living room']",True
centerpiece,table,table,"['schoolroom', 'trunk', 'suitcase', 'briefcase', 'table']",True
cereal,living room,pan,"['desk', 'living room', 'livingroom', 'laundry room', 'pan']",False
chain,dining room,art classroom,"['sedan', 'chest', 'art classroom', 'dining room', 'livin room']",False
chair,living room,living room,"['dimly lit room', 'storage room', ""men's restroom"", 'castle', 'living room']",True
chalk,classroom,classroom,"['bathroom cabinet', 'plate', 'classroom', 'carton', 'tank']",True
chalkboard,classroom,classroom,"['garage', 'classroom', 'family room', 'bathroom drawer', 'larder']",True
check,bank,bank,"['lounge', 'bank', ""prostitute's bedroom"", 'bay', 'freezer']",True
cheese,fridge,fridge,"['living room', 'music room', 'press', 'freezer', 'fridge']",True
chesterfield,living room,living room,"['television room', 'plate', 'living room', 'stove', 'belfry']",True
chicken,freezer,freezer,"['freezer', 'tea room', 'family room', ""child's room"", 'camp']",True
chickpea,oven,basket,"['oven', 'hatbox', 'stand', 'every bedroom', 'basket']",False
china,cabinet,cabinet,"['table', 'cabinet', 'bay', 'freezer', 'bath']",True
chip,pot,card room,"['pot', 'hamper', 'deck', 'bed', 'card room']",False
chocolate,childs room,container,"['childs room', 'safe', 'hospital drug storeroom', 'container', 'art classroom']",False
chocolate box,exercise room,dresser,"['dresser', 'automobile', 'bookshelf', 'exercise room', 'apartment']",False
chocolate milk pods,kitchen,kitchen,"['bathroom or kitchen', 'kitchen', 'dungeon', 'music room', ""men's restroom""]",True
chocolate powder,playroom,refrigerator,"['chest', 'garbage', 'nest', 'refrigerator', 'playroom']",False
chopping board,television room,counter,"['toolbox', 'television room', 'hall', 'truck', 'counter']",False
cinnamon,kitchen,kitchen,"['purse', 'kitchen', 'art classroom', 'dresser', 'bathroom drawer']",True
clamp,lobby,apartment,"['waiting room', 'freezer', 'camp', 'apartment', 'lobby']",False
clay,storage room,storage room,"['attic', 'toolbox', 'bank', 'storage room', 'ballroom']",True
clipboard,desk,desk,"['cabinet', 'art classroom', 'desk', 'jar', 'wardrobe']",True
clock,television room,television room,"['television room', 'head', 'shaker', 'oven', 'bar']",True
closet,apartment,apartment,"['garbage', 'apartment', 'oven', 'bright room', 'boat']",True
cloth,bathroom,bathroom,"['schoolroom', 'music room', 'bathroom', 'well', 'one room flat']",True
clothing,house,child's bedroom,"[""child's bedroom"", 'broom closet', 'jar', 'house', 'hatbox']",False
coaster,table,table,"['bathroom', 'table', ""child's bedroom"", 'bathroom cabinet', 'every bedroom']",True
coat,closet,closet,"['motel room', 'closet', 'jacket', 'stand', 'room of the house']",True
coating,range,garbage,"['furniture', 'range', 'dumpster', 'bath', 'garbage']",False
cockpit,head,different room,"['head', 'butt', 'different room', 'camp', 'camp']",False
coffee,pot,pot,"['side of the room', 'cat', 'broom closet', 'pot', 'bike']",True
coffee beans,exercise room,bar,"['bar', 'ballroom', 'exercise room', 'beehive', 'one of the classrooms']",False
coffee pods,closet,shelf,"['camp', 'shelf', 'guest room', 'closet', 'toaster']",False
