Task,Affordance,Correct_Tool,Wrong_Tools
cleaning up spills,absorb,sponge,"['kri', 'alligator wrench', 'shampoo', 'drill']"
drying the dishes,absorb,sponge,"['strickle', 'toothpick', 'hunting knife', 'tack hammer']"
removing moisture,absorb,sponge,"['steak knife', 'soapbottle', 'peppershaker', 'potato']"
reheating coffee,be heated,pan,"['tap wrench', 'desk lamp', 'footstool', 'power saw']"
cooking a fried egg,be heated,cup,"['hayfork', 'hand drill', 'toilet paper', 'counterbore']"
cooking an omelette,be heated,pan,"['fork', 'kirpan', ""croupier's rake"", 'common ax']"
reheating soup,be heated,kettle,"['cloth', 'punch', 'neolith', 'roach clip']"
boiling water,be heated,plate,"['tamp', 'lightbulb', 'toiletpaper', 'laundryhamper']"
decorating a room,beautify,steel wool pad,"['coffee', 'drawer', 'soda can', 'axe']"
arranging flowers,beautify,abrader,"['basket ball', 'opener', 'arm chair', 'creditcard']"
painting walls,beautify,rat tail file,"['vase', 'vacuum cleaner', 'allen wrench', 'tomato']"
applying make-up,beautify,nailfile,"['handstamp', 'ravehook', 'corkscrew', 'dogbed']"
shaping wire,bend,bender,"['drawknife', 'pipe wrench', 'spreader', 'ax']"
adjusting blinds,bend,bender,"['garden trowel', 'hacksaw', 'food jar', 'breadknife']"
fitting flexible piping,bend,saw set,"['circular plane', 'bit', 'scraper', 'pruning saw']"
installing shelves,bore,bucksaw,"['drawer', 'shampoo', 'coffee machine', 'ax']"
hanging pictures,bore,straight flute,"['desk lamp', 'jack plane', 'set square', 'stamp']"
assembling furniture,bore,router,"['chamfer plane', 'crown saw', 'stapler', 'hammer']"
preparing food,break,jigsaw,"['steak knife', 'soap bar', 'steel wool pad', 'lightbulb']"
opening packaging,break,folding saw,"['bulldog wrench', 'bender', 'shovel', 'abrading stone']"
breaking apart food items,break,bottle,"['o ring', 'potato', 'hand ax', 'cigar cutter']"
serving food,carry,vase,"['window', 'water bottle', 'shaping tool', 'egg']"
transporting liquids,carry,mug,"['straight flute', 'bread knife', 'fridge', 'spud']"
serving a dish,carry,watering can,"['catling', 'opener', 'try square', 'combination plane']"
watering plants,carry,plate,"['tap', 'dibble', 'try square', 'spiral ratchet screwdriver']"
decorating pumpkins,carve,yataghan,"['plastic box', 'taper file', 'sawmill', 'bathtubbasin']"
preparing meat,carve,tableknife,"['grapnel', 'showerdoor', 'wire cutter', 'shaver']"
crafting with wood,carve,barong,"['room decor', 'bullnose', 'salt', 'gouge']"
replacing light bulbs,change,signet,"['pitchfork', 'pruning saw', 'clincher', 'portable saw']"
changing bed sheets,change,ram,"['razor', 'toothpick', 'crosscut saw', 'drawer']"
swapping out filters,change,rock bit,"['stool', 'rat tail file', 'plexor.n.wn.medicine', 'broadax']"
preparing cooking ingredients,chop,half hatchet,"['bread', 'butcher knife', 'pruning shear', 'steel wool pad']"
cutting meat,chop,claw hatchet,"['rounder', 'blind', 'barong', 'lightbulb']"
making firewood,chop,fireman's ax,"['bread knife', 'coffeetable', 'case knife', 'chisel']"
washing dishes,clean,vaccum cleaner,"['brick trowel', 'common ax', 'potato', 'dovetail plane']"
throwing away uneaten food,clean,tableknife,"['trench knife', 'coffeetable', 'eolith', 'pruning knife']"
cleaning spilled milk,clean,jigsaw,"['ladle', 'grapnel', 'lancet', 'battering ram']"
cleaning the mirror,clean,vaccum cleaner,"['bodkin', 'desk lamp', 'razor', 'square']"
cleaning the fridge,clean,saber saw,"['showerhead', 'oven', 'spray bottle', 'spade bit']"
cleaning the blinds,clean,bandsaw,"['plunger', 'floorlamp', 'lancet', 'drilling bit']"
cleaning the shower head,clean,towel,"['camera', 'binder', 'head gasket', 'vaccum cleaner']"
dusting the statue,clean,power tool,"['toilet paper', 'food cup', 'alarm clock', 'chair']"
cleaning the toilet,clean,portable saw,"['spray bottle', 'plexor.n.wn.medicine', 'floor', 'drilling bit']"
cleaning the floor,clean,power saw,"['basket ball', 'ottoman', 'bowie knife', 'square']"
washing your face,clean,electric hammer,"['bolt cutter', 'floor lamp', 'pruning saw', 'ice ax']"
watching a movie,comfort,chair,"['hook wrench', 'towelholder', 'electric drill', 'desk']"
setting up bedding,comfort,ottoman,"['tabletopdecor', 'sponge', 'to go cup', 'hedge trimmer']"
choosing a comfortable seat,comfort,ottoman,"['power mower', 'garden spade', 'buffer', 'scrub brush']"
storing clothes,compress,stemmer,"['nailfile', 'phillips screwdriver', 'steel wool pad', 'o ring']"
reducing space in bin,compress,stemmer,"['comb', 'bucksaw', 'desktop', 'remote control']"
preparing food,compress,stemmer,"['burin', 'handsaw', 'rammer', 'bread']"
storing food,contain,fish knife,"['steel wool pad', 'poniard', 'switchblade', 'microwave']"
measuring liquids,contain,butter knife,"['pitchfork', 'weeder', 'wrench', 'cell phone']"
managing waste,contain,tray,"['arm chair', 'slick', 'baseballbat', 'scraper']"
being filled with a liquid,contain,table knife,"['lochaber ax', 'crosscut saw', 'cigar cutter', 'flat file']"
adjusting device settings,control,handsaw,"['pointing trowel', 'pot', 'tennis racket', 'common ax']"
managing lighting,control,electric hammer,"['machete', 'pick', 'plane', 'buffer']"
operating appliances,control,compass saw,"['bender', 'toiletpaperhanger', 'dagger', 'toilet paper']"
keeping food from going bad,cool,drum sander,"['scythe', 'scraper', 'microwave', 'side table']"
freezing food,cool,drum sander,"['seal', 'garden spade', 'bathtub', 'rounder']"
making ice,cool,drum sander,"['counter top', 'battering ram', ""croupier's rake"", 'abrader']"
creating frost patterns as decoration,cool,drum sander,"['triphammer', 'hammer', 'set square', 'bill']"
protecting food,cover,drum sander,"['keyboard', 'buffer', 'gasket', 'laundry hamper']"
shielding surfaces,cover,drum sander,"['star drill', 'set square', 'power tool', 'auger']"
securing items,cover,drum sander,"['snuffer', 'die', 'buffer', 'buffer']"
opening a nut,crack,stiletto,"['food cup', 'compass saw', 'to go cup', 'toothpaste']"
breaking an egg,crack,bowie knife,"['tamp', 'icepick', 'plane', 'dogbed']"
opening packages,crack,parer,"['slip joint plier', 'gutter', 'handtowelholder', 'glue stick']"
baking pastries,crumble,battering ram,"['razorblade', 'slick', 'mallet', ""fireman's ax""]"
preparing toppings,crumble,battering ram,"['c d', 'ripping chisel', 'sponge', 'handtowelholder']"
making breadcrumbs,crumble,battering ram,"['adz', 'dumbbell', 'tack hammer', 'stiletto']"
preparing snacks,crunch,pestle,"['flat file', 'cigar cutter', 'hayfork', 'egg']"
making toppings,crunch,pestle,"['bowie knife', 'battle ax', 'garden trowel', 'saw set']"
crushing ice,crunch,pestle,"['bender', 'gang', 'common ax', 'bolt cutter']"
making ice cubes,cube,steak knife,"['bolo', 'drawknife', 'locking plier', 'wine bottle']"
preparing fruits and vegetables,cube,table knife,"['allen wrench', 'remotecontrol', 'lightswitch', 'handtowel']"
preparing meats,cube,scalpel,"['cap opener', 'posthole digger', ""plumber's snake"", 'keyhole saw']"
preparing a sliced apple,cut,compass saw,"['dogbed', 'tap', 'basketball', 'dogbed']"
cutting an apple,cut,switchblade,"['electric hammer', 'steel wool pad', 'ottoman', 'hatchel']"
opening an envelope,cut,blade,"['keychain', 'diningtable', 'cup', 'bottle opener']"
applying butter,cut,twist bit,"['bolt cutter', 'surgical knife', ""fireman's ax"", 'shelvingunit']"
serving cake,cut,cutter,"['cellphone', 'kitchen knife', 'candle', 'locking plier']"
decorating table,decorate,curtain,"['tap wrench', 'bender', 'showerglas', 'spoon']"
decorating bed,decorate,room decor,"[""carpenter's square"", 'sparkplug wrench', 'dry battery', 'razorblade']"
decorating wall,decorate,teddy bear,"['wood chisel', 'pointing trowel', 'cap opener', 'scoop']"
decorating lobby,decorate,statue,"['dovetail plane', 'butterknife', 'pen', 'coping saw']"
