task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['drill', 'shampoo', 'sponge', 'kri', 'alligator wrench']",True
drying the dishes,absorb,sponge,sponge,"['sponge', 'toothpick', 'tack hammer', 'strickle', 'hunting knife']",True
removing moisture,absorb,sponge,sponge,"['potato', 'peppershaker', 'sponge', 'soapbottle', 'steak knife']",True
reheating coffee,be heated,pan,pan,"['desk lamp', 'tap wrench', 'pan', 'power saw', 'footstool']",True
cooking a fried egg,be heated,cup,cup,"['toilet paper', 'counterbore', 'hand drill', 'cup', 'hayfork']",True
cooking an omelette,be heated,pan,pan,"[""croupier's rake"", 'common ax', 'pan', 'kirpan', 'fork']",True
reheating soup,be heated,kettle,kettle,"['punch', 'cloth', 'kettle', 'neolith', 'roach clip']",True
boiling water,be heated,plate,plate,"['tamp', 'plate', 'laundryhamper', 'lightbulb', 'toiletpaper']",True
decorating a room,beautify,steel wool pad,drawer,"['axe', 'drawer', 'coffee', 'steel wool pad', 'soda can']",False
arranging flowers,beautify,abrader,creditcard,"['basket ball', 'opener', 'abrader', 'creditcard', 'arm chair']",False
painting walls,beautify,rat tail file,rat tail file,"['tomato', 'rat tail file', 'vacuum cleaner', 'allen wrench', 'vase']",True
applying make-up,beautify,nailfile,handstamp,"['nailfile', 'ravehook', 'handstamp', 'corkscrew', 'dogbed']",False
shaping wire,bend,bender,bender,"['ax', 'pipe wrench', 'bender', 'drawknife', 'spreader']",True
adjusting blinds,bend,bender,bender,"['food jar', 'garden trowel', 'breadknife', 'bender', 'hacksaw']",True
fitting flexible piping,bend,saw set,saw set,"['scraper', 'bit', 'saw set', 'pruning saw', 'circular plane']",True
installing shelves,bore,bucksaw,bucksaw,"['bucksaw', 'drawer', 'coffee machine', 'ax', 'shampoo']",True
hanging pictures,bore,straight flute,set square,"['straight flute', 'set square', 'stamp', 'jack plane', 'desk lamp']",False
assembling furniture,bore,router,hammer,"['crown saw', 'chamfer plane', 'hammer', 'stapler', 'router']",False
preparing food,break,jigsaw,steak knife,"['steel wool pad', 'steak knife', 'lightbulb', 'soap bar', 'jigsaw']",False
opening packaging,break,folding saw,folding saw,"['shovel', 'bender', 'bulldog wrench', 'abrading stone', 'folding saw']",True
breaking apart food items,break,bottle,cigar cutter,"['hand ax', 'o ring', 'potato', 'cigar cutter', 'bottle']",False
serving food,carry,vase,vase,"['shaping tool', 'water bottle', 'vase', 'egg', 'window']",True
transporting liquids,carry,mug,mug,"['spud', 'fridge', 'bread knife', 'mug', 'straight flute']",True
serving a dish,carry,watering can,opener,"['catling', 'opener', 'try square', 'combination plane', 'watering can']",False
watering plants,carry,plate,tap,"['tap', 'try square', 'plate', 'spiral ratchet screwdriver', 'dibble']",False
decorating pumpkins,carve,yataghan,taper file,"['plastic box', 'taper file', 'yataghan', 'bathtubbasin', 'sawmill']",False
preparing meat,carve,tableknife,tableknife,"['wire cutter', 'grapnel', 'tableknife', 'shaver', 'showerdoor']",True
crafting with wood,carve,barong,gouge,"['salt', 'barong', 'room decor', 'gouge', 'bullnose']",False
replacing light bulbs,change,signet,signet,"['clincher', 'pruning saw', 'pitchfork', 'portable saw', 'signet']",True
changing bed sheets,change,ram,drawer,"['crosscut saw', 'toothpick', 'ram', 'razor', 'drawer']",False
swapping out filters,change,rock bit,rat tail file,"['rock bit', 'plexor.n.wn.medicine', 'rat tail file', 'broadax', 'stool']",False
preparing cooking ingredients,chop,half hatchet,butcher knife,"['steel wool pad', 'half hatchet', 'pruning shear', 'bread', 'butcher knife']",False
cutting meat,chop,claw hatchet,claw hatchet,"['lightbulb', 'blind', 'claw hatchet', 'rounder', 'barong']",True
making firewood,chop,fireman's ax,fireman's ax,"[""fireman's ax"", 'coffeetable', 'case knife', 'chisel', 'bread knife']",True
washing dishes,clean,vaccum cleaner,brick trowel,"['common ax', 'vaccum cleaner', 'dovetail plane', 'potato', 'brick trowel']",False
throwing away uneaten food,clean,tableknife,tableknife,"['trench knife', 'tableknife', 'pruning knife', 'eolith', 'coffeetable']",True
cleaning spilled milk,clean,jigsaw,ladle,"['battering ram', 'jigsaw', 'grapnel', 'lancet', 'ladle']",False
cleaning the mirror,clean,vaccum cleaner,razor,"['razor', 'desk lamp', 'bodkin', 'vaccum cleaner', 'square']",False
cleaning the fridge,clean,saber saw,spray bottle,"['showerhead', 'oven', 'spray bottle', 'spade bit', 'saber saw']",False
cleaning the blinds,clean,bandsaw,floorlamp,"['bandsaw', 'plunger', 'floorlamp', 'drilling bit', 'lancet']",False
cleaning the shower head,clean,towel,towel,"['camera', 'towel', 'binder', 'vaccum cleaner', 'head gasket']",True
dusting the statue,clean,power tool,toilet paper,"['power tool', 'alarm clock', 'food cup', 'chair', 'toilet paper']",False
cleaning the toilet,clean,portable saw,spray bottle,"['drilling bit', 'plexor.n.wn.medicine', 'portable saw', 'spray bottle', 'floor']",False
