task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['sponge', 'drill', 'kri', 'alligator wrench', 'shampoo']",True
drying the dishes,absorb,sponge,sponge,"['tack hammer', 'sponge', 'strickle', 'toothpick', 'hunting knife']",True
removing moisture,absorb,sponge,sponge,"['steak knife', 'potato', 'sponge', 'soapbottle', 'peppershaker']",True
reheating coffee,be heated,pan,pan,"['footstool', 'pan', 'desk lamp', 'power saw', 'tap wrench']",True
cooking a fried egg,be heated,cup,cup,"['cup', 'counterbore', 'hand drill', 'hayfork', 'toilet paper']",True
cooking an omelette,be heated,pan,pan,"[""croupier's rake"", 'fork', 'pan', 'common ax', 'kirpan']",True
reheating soup,be heated,kettle,kettle,"['roach clip', 'punch', 'cloth', 'neolith', 'kettle']",True
boiling water,be heated,plate,plate,"['tamp', 'lightbulb', 'laundryhamper', 'plate', 'toiletpaper']",True
decorating a room,beautify,steel wool pad,steel wool pad,"['soda can', 'axe', 'coffee', 'drawer', 'steel wool pad']",True
arranging flowers,beautify,abrader,arm chair,"['abrader', 'creditcard', 'opener', 'basket ball', 'arm chair']",False
painting walls,beautify,rat tail file,rat tail file,"['vase', 'tomato', 'vacuum cleaner', 'rat tail file', 'allen wrench']",True
applying make-up,beautify,nailfile,nailfile,"['handstamp', 'ravehook', 'dogbed', 'nailfile', 'corkscrew']",True
shaping wire,bend,bender,bender,"['pipe wrench', 'spreader', 'bender', 'drawknife', 'ax']",True
adjusting blinds,bend,bender,bender,"['garden trowel', 'hacksaw', 'food jar', 'breadknife', 'bender']",True
fitting flexible piping,bend,saw set,bit,"['pruning saw', 'saw set', 'circular plane', 'scraper', 'bit']",False
installing shelves,bore,bucksaw,bucksaw,"['shampoo', 'ax', 'bucksaw', 'coffee machine', 'drawer']",True
hanging pictures,bore,straight flute,set square,"['set square', 'stamp', 'straight flute', 'jack plane', 'desk lamp']",False
assembling furniture,bore,router,hammer,"['stapler', 'chamfer plane', 'router', 'crown saw', 'hammer']",False
preparing food,break,jigsaw,steak knife,"['steel wool pad', 'jigsaw', 'soap bar', 'steak knife', 'lightbulb']",False
opening packaging,break,folding saw,folding saw,"['bulldog wrench', 'bender', 'shovel', 'folding saw', 'abrading stone']",True
breaking apart food items,break,bottle,hand ax,"['hand ax', 'bottle', 'cigar cutter', 'o ring', 'potato']",False
serving food,carry,vase,shaping tool,"['vase', 'egg', 'window', 'water bottle', 'shaping tool']",False
transporting liquids,carry,mug,mug,"['bread knife', 'spud', 'fridge', 'straight flute', 'mug']",True
serving a dish,carry,watering can,opener,"['catling', 'try square', 'opener', 'combination plane', 'watering can']",False
watering plants,carry,plate,tap,"['try square', 'spiral ratchet screwdriver', 'dibble', 'plate', 'tap']",False
decorating pumpkins,carve,yataghan,taper file,"['bathtubbasin', 'yataghan', 'sawmill', 'taper file', 'plastic box']",False
preparing meat,carve,tableknife,tableknife,"['shaver', 'tableknife', 'wire cutter', 'showerdoor', 'grapnel']",True
crafting with wood,carve,barong,gouge,"['salt', 'bullnose', 'gouge', 'barong', 'room decor']",False
replacing light bulbs,change,signet,pruning saw,"['clincher', 'pitchfork', 'portable saw', 'signet', 'pruning saw']",False
changing bed sheets,change,ram,drawer,"['razor', 'ram', 'drawer', 'toothpick', 'crosscut saw']",False
swapping out filters,change,rock bit,stool,"['stool', 'rat tail file', 'rock bit', 'broadax', 'plexor.n.wn.medicine']",False
preparing cooking ingredients,chop,half hatchet,butcher knife,"['bread', 'steel wool pad', 'butcher knife', 'pruning shear', 'half hatchet']",False
cutting meat,chop,claw hatchet,claw hatchet,"['rounder', 'claw hatchet', 'blind', 'lightbulb', 'barong']",True
making firewood,chop,fireman's ax,fireman's ax,"['bread knife', 'coffeetable', 'case knife', ""fireman's ax"", 'chisel']",True
washing dishes,clean,vaccum cleaner,brick trowel,"['brick trowel', 'dovetail plane', 'vaccum cleaner', 'common ax', 'potato']",False
throwing away uneaten food,clean,tableknife,tableknife,"['pruning knife', 'trench knife', 'eolith', 'tableknife', 'coffeetable']",True
cleaning spilled milk,clean,jigsaw,ladle,"['lancet', 'jigsaw', 'grapnel', 'battering ram', 'ladle']",False
cleaning the mirror,clean,vaccum cleaner,desk lamp,"['razor', 'bodkin', 'desk lamp', 'square', 'vaccum cleaner']",False
cleaning the fridge,clean,saber saw,spray bottle,"['spade bit', 'saber saw', 'spray bottle', 'oven', 'showerhead']",False
cleaning the blinds,clean,bandsaw,lancet,"['plunger', 'floorlamp', 'bandsaw', 'drilling bit', 'lancet']",False
cleaning the shower head,clean,towel,towel,"['binder', 'vaccum cleaner', 'towel', 'head gasket', 'camera']",True
dusting the statue,clean,power tool,toilet paper,"['food cup', 'alarm clock', 'chair', 'power tool', 'toilet paper']",False
cleaning the toilet,clean,portable saw,spray bottle,"['floor', 'spray bottle', 'drilling bit', 'portable saw', 'plexor.n.wn.medicine']",False
cleaning the floor,clean,power saw,ottoman,"['square', 'bowie knife', 'basket ball', 'power saw', 'ottoman']",False
washing your face,clean,electric hammer,bolt cutter,"['floor lamp', 'pruning saw', 'electric hammer', 'ice ax', 'bolt cutter']",False
watching a movie,comfort,chair,chair,"['towelholder', 'desk', 'chair', 'hook wrench', 'electric drill']",True
setting up bedding,comfort,ottoman,ottoman,"['tabletopdecor', 'to go cup', 'hedge trimmer', 'ottoman', 'sponge']",True
choosing a comfortable seat,comfort,ottoman,ottoman,"['ottoman', 'power mower', 'buffer', 'scrub brush', 'garden spade']",True
