object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,suitcase,"['palace', 'suitcase', 'laundry room', 'car', 'pantry room']",False
adjustable wrench,bedroom,loft,"['bedroom', 'glass', 'cat', 'press', 'loft']",False
alarmclock,bedroom,bedroom,"['attic', 'bedroom', 'larder', ""child's room"", 'different room']",True
aluminumfoil,kitchen,kitchen,"['exercise room', 'kitchen', ""prostitute's bedroom"", 'bathroom cabinet', 'lamp']",True
android figure,corridor,separate room,"['teapot', 'corridor', 'castle', 'separate room', 'chest']",False
anti slip tape,exercise room,exercise room,"['icebox', 'home', ""children's room"", 'exercise room', 'side of the room']",True
antidepressant,pantry room,motel room,"['motel room', 'pantry room', 'larder', 'bundle', 'laundry room']",False
antique,attic,hall,"['butt', 'court', 'pot', 'hall', 'attic']",False
apple,kitchen,kitchen,"['furniture', 'loft', 'bus', 'kitchen', 'cup']",True
applesauce,jar,jar,"['jar', 'dishwasher', 'engine', 'sack', 'teapot']",True
appliance,home,home,"['home', 'dining room', 'chest', 'backyard', 'hamper']",True
apricot,table,table,"['bar', 'bike', 'table', 'tea room', 'bathroom']",True
armchair,bedroom,bedroom,"['basket', 'bedroom', 'suitcase', 'classroom', 'ir rooms']",True
armoire,living room,living room,"['cabin', 'living room', 'vault', 'hospital drug storeroom', 'music room']",True
armrest,car,car,"['room of the house', 'wallet', 'purse', 'childs room', 'car']",True
arrow,quiver,quiver,"['can', 'oven', 'restroom', 'container', 'quiver']",True
artichoke,refrigerator,refrigerator,"['freezer', 'refrigerator', 'bookshelf', 'range', ""teenager's bedroom""]",True
article,press,press,"['drawer', 'way', 'ambulance', 'press', ' middle of the room']",True
ashtray,house,guest room,"['storage room', 'orchestra', 'house', 'basket', 'guest room']",False
asparagus,oven,pantry room,"['stand', ""cash's room"", 'oven', 'pantry room', 'glass']",False
atm,bank,bank,"['palace', 'bathroom', 'palace', 'bank', 'dining room']",True
attic,home,home,"['family room', 'bank', 'dresser', 'deck', 'home']",True
backpack,storage room,storage room,"['pantry', ""children's room"", 'loungeroom', 'storage room', 'barrel']",True
bacon,oven,oven,"['classroom', 'oven', 'butt', 'briefcase', 'art classroom']",True
balancing cactus,television room,small room,"['locker', 'small room', 'pocket', 'small room', 'television room']",False
ball,sack,sack,"['sack', 'motorbike', 'truck', 'bathtub', 'ambulance']",True
balustrade,grand ballroom,grand ballroom,"['grand ballroom', 'camp', 'motel room', 'storage room', 'classroom']",True
banana,closet,plate,"['castle', 'plate', 'small room', 'closet', 'bathroom drawer']",False
bar,oven,stand,"['backyard', 'stand', 'side of the room', 'bookshelf', 'oven']",False
baseball,lobby,court,"['livingroom', 'lobby', 'band room', 'court', 'glass']",False
baseballbat,bedroom,den,"['container', 'bedroom', 'sink', 'den', 'hive']",False
basil,garden,garden,"['garden', 'bicycle', 'bunk', 'quiver', 'jar']",True
basketball,bedroom,cabinet,"['cabinet', 'card room', 'jacket', 'mailbox', 'bedroom']",False
bat,attic,range,"['range', 'butt', 'different room', 'attic', 'carton']",False
bath sheet,bedroom,shelf,"['broom closet', 'shelf', 'vault', 'tea room', 'bedroom']",False
bathtub,bathroom,bathroom,"['bathroom', 'separate room', 'fridge', 'dresser', 'shoe']",True
bathtubbasin,bathroom,bathroom,"['nest', 'barrel', 'package', 'tin', 'bathroom']",True
batter,box,freezer,"['place', 'can', 'freezer', 'livingroom', 'box']",False
battery,childs room,none,"['bus', 'floor', 'plate', 'childs room', 'backyard']",False
beacon,range,loft,"['range', 'loft', 'utility room', 'tin', 'cruet']",False
beanbag,child's bedroom,child's bedroom,"['barrel', ""child's bedroom"", 'hatbox', 'briefcase', 'chest']",True
beard color gel,utility room,utility room,"['utility room', 'tin', 'deck', ' middle of the room', 'study']",True
beauty pack,utility room,house,"['backyard', 'palace', 'house', 'study', 'utility room']",False
bed,bedroom,bedroom,"['packet', 'bedroom', 'bedroom drawer', 'dishwasher', 'pod']",True
bedroom,dwelling,dwelling,"['sack', 'class room', 'dwelling', 'range', 'refrigerator']",True
beer,can,can,"['sofa', 'most rooms', 'engine', 'can', 'engine']",True
beet,can,container,"['can', 'toaster', 'foyer', 'loungeroom', 'container']",False
belt,closet,closet,"['closet', 'childs room', 'jacket', 'hall', 'most rooms']",True
beverage,bottle,bottle,"['bottle', 'parlor', ""prostitute's bedroom"", 'case', 'dining room']",True
binoculars,suitcase,shelf,"['suitcase', 'shelf', 'belfry', 'kitchen or bathroom', 'quiver']",False
biscuit,oven,children's room,"['dumpster', 'oven', ""children's room"", 'stove', 'mansion']",False
blanket,closet,closet,"['toolbox', 'wallet', 'closet', 'dimly lit room', 'hive']",True
bleach cleanser,bathroom,bathroom,"['jar', 'motel room', 'attic', 'bathroom', ""children's room""]",True
blender,kitchen,kitchen,"['package', 'wardrobe', 'hotel room', 'living rooms', 'kitchen']",True
blender jar,garage,pantry,"['garage', 'pantry', 'pitcher', 'sack', 'bar']",False
blind,bedroom,bedroom,"['beehive', 'bed', 'bedroom', 'palace', 'briefcase']",True
blouse,suitcase,locker,"['suitcase', 'butt', 'tea room', 'locker', 'bowl']",False
board game,childs room,childs room,"['childs room', 'most rooms', 'bed', 'furniture', 'different room']",True
boat,bay,bay,"[""men's restroom"", 'every bedroom', 'bay', 'quiver', 'pantry']",True
boater,boat,boat,"['boat', 'stand', ""person's living room"", 'dining room', 'place']",True
bolt,jar,bundle,"['jar', 'package', 'den', 'garbage', 'bundle']",False
book,living room,living room,"['locker', 'living room', 'aquarium', 'garden', 'bike']",True
bookcase,den,den,"['pot', 'den', 'nest', 'hospital drug storeroom', 'bookshelf']",True
bookend,utility room,every bedroom,"['utility room', 'every bedroom', 'bathroom drawer', 'larder', 'glass']",False
bookshelf,bedroom,bedroom,"['teapot', 'bedroom', 'boot', 'toaster', 'hamper']",True
boot,living room,floor,"['living room', 'belfry', 'tin', 'one room flat', 'floor']",False
booze,bar,bar,"['hive', 'bar', 'small room', 'hall', 'mailbox']",True
bottle,kitchen,kitchen,"['kitchen', 'floor', 'briefcase', 'dumpster', 'waiting room']",True
