object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,suitcase,"['palace', 'car', 'pantry room', 'laundry room', 'suitcase']",False
adjustable wrench,bedroom,press,"['glass', 'bedroom', 'cat', 'loft', 'press']",False
alarmclock,bedroom,bedroom,"['attic', 'different room', ""child's room"", 'bedroom', 'larder']",True
aluminumfoil,kitchen,kitchen,"['kitchen', 'lamp', 'bathroom cabinet', 'exercise room', ""prostitute's bedroom""]",True
android figure,corridor,separate room,"['chest', 'teapot', 'castle', 'separate room', 'corridor']",False
anti slip tape,exercise room,exercise room,"['icebox', ""children's room"", 'exercise room', 'side of the room', 'home']",True
antidepressant,pantry room,pantry room,"['larder', 'bundle', 'laundry room', 'pantry room', 'motel room']",True
antique,attic,attic,"['court', 'butt', 'attic', 'pot', 'hall']",True
apple,kitchen,kitchen,"['cup', 'furniture', 'bus', 'loft', 'kitchen']",True
applesauce,jar,jar,"['teapot', 'sack', 'engine', 'jar', 'dishwasher']",True
appliance,home,home,"['home', 'backyard', 'hamper', 'dining room', 'chest']",True
apricot,table,tea room,"['table', 'bathroom', 'bar', 'bike', 'tea room']",False
armchair,bedroom,none,"['ir rooms', 'bedroom', 'basket', 'suitcase', 'classroom']",False
armoire,living room,living room,"['cabin', 'vault', 'music room', 'hospital drug storeroom', 'living room']",True
armrest,car,room of the house,"['purse', 'car', 'childs room', 'wallet', 'room of the house']",False
arrow,quiver,quiver,"['oven', 'restroom', 'can', 'quiver', 'container']",True
artichoke,refrigerator,refrigerator,"['range', 'refrigerator', 'bookshelf', 'freezer', ""teenager's bedroom""]",True
article,press,drawer,"['ambulance', ' middle of the room', 'drawer', 'way', 'press']",False
ashtray,house,storage room,"['guest room', 'basket', 'storage room', 'house', 'orchestra']",False
asparagus,oven,pantry room,"[""cash's room"", 'oven', 'stand', 'pantry room', 'glass']",False
atm,bank,bank,"['bathroom', 'bank', 'palace', 'dining room', 'palace']",True
attic,home,home,"['home', 'family room', 'deck', 'bank', 'dresser']",True
backpack,storage room,storage room,"['barrel', 'pantry', 'storage room', 'loungeroom', ""children's room""]",True
bacon,oven,none,"['oven', 'butt', 'classroom', 'briefcase', 'art classroom']",False
balancing cactus,television room,small room,"['pocket', 'television room', 'locker', 'small room', 'small room']",False
ball,sack,sack,"['ambulance', 'sack', 'truck', 'motorbike', 'bathtub']",True
balustrade,grand ballroom,storage room,"['motel room', 'camp', 'grand ballroom', 'storage room', 'classroom']",False
banana,closet,plate,"['castle', 'bathroom drawer', 'plate', 'small room', 'closet']",False
bar,oven,stand,"['bookshelf', 'stand', 'oven', 'side of the room', 'backyard']",False
baseball,lobby,court,"['band room', 'livingroom', 'court', 'glass', 'lobby']",False
baseballbat,bedroom,container,"['sink', 'den', 'bedroom', 'hive', 'container']",False
basil,garden,garden,"['bunk', 'jar', 'garden', 'quiver', 'bicycle']",True
basketball,bedroom,card room,"['cabinet', 'mailbox', 'jacket', 'card room', 'bedroom']",False
bat,attic,attic,"['carton', 'different room', 'butt', 'attic', 'range']",True
bath sheet,bedroom,bedroom,"['vault', 'shelf', 'tea room', 'broom closet', 'bedroom']",True
bathtub,bathroom,bathroom,"['separate room', 'fridge', 'shoe', 'dresser', 'bathroom']",True
bathtubbasin,bathroom,bathroom,"['bathroom', 'barrel', 'tin', 'nest', 'package']",True
batter,box,freezer,"['can', 'freezer', 'place', 'livingroom', 'box']",False
