object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,suitcase,"['laundry room', 'palace', 'pantry room', 'suitcase', 'car']",False
adjustable wrench,bedroom,press,"['glass', 'bedroom', 'loft', 'cat', 'press']",False
alarmclock,bedroom,bedroom,"['different room', 'larder', 'bedroom', 'attic', ""child's room""]",True
aluminumfoil,kitchen,kitchen,"['kitchen', ""prostitute's bedroom"", 'lamp', 'exercise room', 'bathroom cabinet']",True
android figure,corridor,castle,"['chest', 'castle', 'corridor', 'separate room', 'teapot']",False
anti slip tape,exercise room,exercise room,"[""children's room"", 'home', 'icebox', 'side of the room', 'exercise room']",True
antidepressant,pantry room,motel room,"['laundry room', 'pantry room', 'motel room', 'larder', 'bundle']",False
antique,attic,attic,"['butt', 'pot', 'court', 'attic', 'hall']",True
apple,kitchen,kitchen,"['kitchen', 'loft', 'furniture', 'cup', 'bus']",True
applesauce,jar,jar,"['sack', 'engine', 'jar', 'dishwasher', 'teapot']",True
appliance,home,home,"['backyard', 'chest', 'home', 'dining room', 'hamper']",True
apricot,table,table,"['bike', 'bar', 'bathroom', 'table', 'tea room']",True
armchair,bedroom,bedroom,"['suitcase', 'ir rooms', 'classroom', 'basket', 'bedroom']",True
armoire,living room,living room,"['music room', 'living room', 'vault', 'cabin', 'hospital drug storeroom']",True
armrest,car,none,"['room of the house', 'purse', 'childs room', 'wallet', 'car']",False
arrow,quiver,quiver,"['can', 'container', 'restroom', 'quiver', 'oven']",True
artichoke,refrigerator,refrigerator,"['freezer', ""teenager's bedroom"", 'bookshelf', 'range', 'refrigerator']",True
article,press,drawer,"[' middle of the room', 'drawer', 'ambulance', 'way', 'press']",False
ashtray,house,guest room,"['basket', 'house', 'orchestra', 'storage room', 'guest room']",False
asparagus,oven,pantry room,"['stand', 'glass', ""cash's room"", 'oven', 'pantry room']",False
atm,bank,bank,"['bathroom', 'palace', 'bank', 'dining room', 'palace']",True
attic,home,home,"['dresser', 'bank', 'deck', 'family room', 'home']",True
backpack,storage room,children's room,"['loungeroom', ""children's room"", 'barrel', 'pantry', 'storage room']",False
bacon,oven,oven,"['oven', 'classroom', 'briefcase', 'butt', 'art classroom']",True
balancing cactus,television room,television room,"['small room', 'television room', 'small room', 'pocket', 'locker']",True
ball,sack,sack,"['bathtub', 'truck', 'motorbike', 'sack', 'ambulance']",True
balustrade,grand ballroom,grand ballroom,"['camp', 'storage room', 'grand ballroom', 'classroom', 'motel room']",True
banana,closet,plate,"['castle', 'closet', 'plate', 'small room', 'bathroom drawer']",False
bar,oven,stand,"['bookshelf', 'oven', 'stand', 'backyard', 'side of the room']",False
baseball,lobby,none,"['court', 'band room', 'lobby', 'glass', 'livingroom']",False
baseballbat,bedroom,container,"['bedroom', 'container', 'hive', 'den', 'sink']",False
basil,garden,garden,"['quiver', 'bunk', 'jar', 'garden', 'bicycle']",True
