object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,suitcase,"['car', 'palace', 'suitcase', 'pantry room', 'laundry room']",False
adjustable wrench,bedroom,press,"['loft', 'press', 'bedroom', 'glass', 'cat']",False
alarmclock,bedroom,bedroom,"['attic', 'bedroom', 'different room', ""child's room"", 'larder']",True
aluminumfoil,kitchen,kitchen,"['exercise room', 'kitchen', ""prostitute's bedroom"", 'bathroom cabinet', 'lamp']",True
android figure,corridor,corridor,"['chest', 'teapot', 'castle', 'corridor', 'separate room']",True
anti slip tape,exercise room,icebox,"['home', 'side of the room', 'exercise room', ""children's room"", 'icebox']",False
antidepressant,pantry room,larder,"['laundry room', 'motel room', 'bundle', 'larder', 'pantry room']",False
antique,attic,hall,"['pot', 'hall', 'butt', 'court', 'attic']",False
apple,kitchen,kitchen,"['bus', 'furniture', 'cup', 'loft', 'kitchen']",True
applesauce,jar,jar,"['dishwasher', 'jar', 'teapot', 'sack', 'engine']",True
appliance,home,dining room,"['dining room', 'backyard', 'hamper', 'chest', 'home']",False
apricot,table,tea room,"['bar', 'bike', 'table', 'bathroom', 'tea room']",False
armchair,bedroom,bedroom,"['basket', 'bedroom', 'suitcase', 'classroom', 'ir rooms']",True
armoire,living room,cabin,"['music room', 'vault', 'living room', 'cabin', 'hospital drug storeroom']",False
armrest,car,car,"['childs room', 'car', 'room of the house', 'purse', 'wallet']",True
arrow,quiver,quiver,"['restroom', 'quiver', 'oven', 'can', 'container']",True
artichoke,refrigerator,refrigerator,"[""teenager's bedroom"", 'refrigerator', 'bookshelf', 'range', 'freezer']",True
article,press,press,"['press', ' middle of the room', 'drawer', 'ambulance', 'way']",True
ashtray,house,house,"['orchestra', 'storage room', 'guest room', 'house', 'basket']",True
asparagus,oven,oven,"[""cash's room"", 'stand', 'glass', 'pantry room', 'oven']",True
atm,bank,bank,"['bathroom', 'bank', 'palace', 'dining room', 'palace']",True
attic,home,home,"['deck', 'dresser', 'family room', 'bank', 'home']",True
backpack,storage room,children's room,"[""children's room"", 'storage room', 'barrel', 'loungeroom', 'pantry']",False
bacon,oven,oven,"['oven', 'art classroom', 'butt', 'classroom', 'briefcase']",True
balancing cactus,television room,television room,"['small room', 'locker', 'pocket', 'television room', 'small room']",True
ball,sack,truck,"['truck', 'ambulance', 'sack', 'motorbike', 'bathtub']",False
balustrade,grand ballroom,grand ballroom,"['storage room', 'grand ballroom', 'motel room', 'camp', 'classroom']",True
