task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['alligator wrench', 'drill', 'shampoo', 'kri', 'sponge']",True
drying the dishes,absorb,sponge,sponge,"['tack hammer', 'hunting knife', 'toothpick', 'sponge', 'strickle']",True
removing moisture,absorb,sponge,sponge,"['peppershaker', 'potato', 'sponge', 'soapbottle', 'steak knife']",True
reheating coffee,be heated,pan,pan,"['pan', 'power saw', 'footstool', 'desk lamp', 'tap wrench']",True
cooking a fried egg,be heated,cup,cup,"['cup', 'counterbore', 'toilet paper', 'hayfork', 'hand drill']",True
cooking an omelette,be heated,pan,pan,"['kirpan', 'common ax', 'pan', 'fork', ""croupier's rake""]",True
reheating soup,be heated,kettle,kettle,"['neolith', 'cloth', 'punch', 'kettle', 'roach clip']",True
boiling water,be heated,plate,plate,"['plate', 'laundryhamper', 'tamp', 'lightbulb', 'toiletpaper']",True
decorating a room,beautify,steel wool pad,drawer,"['axe', 'coffee', 'steel wool pad', 'soda can', 'drawer']",False
arranging flowers,beautify,abrader,basket ball,"['opener', 'arm chair', 'abrader', 'creditcard', 'basket ball']",False
painting walls,beautify,rat tail file,vacuum cleaner,"['vacuum cleaner', 'vase', 'rat tail file', 'allen wrench', 'tomato']",False
applying make-up,beautify,nailfile,nailfile,"['ravehook', 'corkscrew', 'nailfile', 'dogbed', 'handstamp']",True
shaping wire,bend,bender,bender,"['spreader', 'ax', 'bender', 'drawknife', 'pipe wrench']",True
adjusting blinds,bend,bender,hacksaw,"['hacksaw', 'bender', 'breadknife', 'garden trowel', 'food jar']",False
fitting flexible piping,bend,saw set,pruning saw,"['saw set', 'bit', 'circular plane', 'pruning saw', 'scraper']",False
installing shelves,bore,bucksaw,bucksaw,"['coffee machine', 'bucksaw', 'drawer', 'ax', 'shampoo']",True
hanging pictures,bore,straight flute,set square,"['stamp', 'jack plane', 'desk lamp', 'set square', 'straight flute']",False
assembling furniture,bore,router,hammer,"['crown saw', 'router', 'hammer', 'stapler', 'chamfer plane']",False
preparing food,break,jigsaw,steak knife,"['steel wool pad', 'soap bar', 'lightbulb', 'jigsaw', 'steak knife']",False
opening packaging,break,folding saw,folding saw,"['bulldog wrench', 'shovel', 'folding saw', 'bender', 'abrading stone']",True
breaking apart food items,break,bottle,hand ax,"['hand ax', 'potato', 'bottle', 'o ring', 'cigar cutter']",False
serving food,carry,vase,water bottle,"['shaping tool', 'vase', 'egg', 'window', 'water bottle']",False
transporting liquids,carry,mug,mug,"['spud', 'mug', 'bread knife', 'fridge', 'straight flute']",True
serving a dish,carry,watering can,catling,"['opener', 'watering can', 'try square', 'catling', 'combination plane']",False
