question,full_answer,final_answer,correct_answer
"Here are a few examples:
Meal: Grilled Chicken Caesar Salad
Cutlery: Hands, Knife, Fork
Meal: Steak with Mashed Potatoes
Cutlery: Knife, Fork
Meal: Pasta Primavera
Cutlery: Fork, Spoon
Meal: Creamy Tomato Basil Soup
Cutlery: Spoon
Meal: Vegan Spring Rolls with Peanut Dipping Sauce
Cutlery: Hands, Chopsticks
Meal: Chicken Alfredo Pasta
Cutlery: Knife, Fork, Spoon
Meal: Steak with Garlic Mashed Potatoes and Steamed Broccoli
Cutlery: Knife, Fork
Meal: Grilled Chicken Caesar Salad
Cutlery: Knife, Fork

Meal: Lamb and Bean Nachos With Salsa Fresca
Cutlery: ","Hands, Tongs, Fork","[<Utensil.HANDS: 'Hands'>, <Utensil.TONGS: 'Tongs'>, <Utensil.FORK: 'Fork'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]"
"Here are a few examples:
Meal: Grilled Chicken Caesar Salad
Cutlery: Hands, Knife, Fork
Meal: Steak with Mashed Potatoes
Cutlery: Knife, Fork
Meal: Pasta Primavera
Cutlery: Fork, Spoon
Meal: Creamy Tomato Basil Soup
Cutlery: Spoon
Meal: Vegan Spring Rolls with Peanut Dipping Sauce
Cutlery: Hands, Chopsticks
Meal: Chicken Alfredo Pasta
Cutlery: Knife, Fork, Spoon
Meal: Steak with Garlic Mashed Potatoes and Steamed Broccoli
Cutlery: Knife, Fork
Meal: Grilled Chicken Caesar Salad
Cutlery: Knife, Fork

Meal: Meatloaf With BBQ Sauce
Cutlery: ","Knife, Fork","[<Utensil.FORK: 'Fork'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]"
"Here are a few examples:
Meal: Grilled Chicken Caesar Salad
Cutlery: Hands, Knife, Fork
Meal: Steak with Mashed Potatoes
Cutlery: Knife, Fork
Meal: Pasta Primavera
Cutlery: Fork, Spoon
Meal: Creamy Tomato Basil Soup
Cutlery: Spoon
Meal: Vegan Spring Rolls with Peanut Dipping Sauce
Cutlery: Hands, Chopsticks
Meal: Chicken Alfredo Pasta
Cutlery: Knife, Fork, Spoon
Meal: Steak with Garlic Mashed Potatoes and Steamed Broccoli
Cutlery: Knife, Fork
Meal: Grilled Chicken Caesar Salad
Cutlery: Knife, Fork

Meal: Tiramisu
Cutlery: ",Spoon,[<Utensil.SPOON: 'Spoon'>],"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]"
"Here are a few examples:
Meal: Grilled Chicken Caesar Salad
Cutlery: Hands, Knife, Fork
Meal: Steak with Mashed Potatoes
Cutlery: Knife, Fork
Meal: Pasta Primavera
Cutlery: Fork, Spoon
Meal: Creamy Tomato Basil Soup
Cutlery: Spoon
Meal: Vegan Spring Rolls with Peanut Dipping Sauce
Cutlery: Hands, Chopsticks
Meal: Chicken Alfredo Pasta
Cutlery: Knife, Fork, Spoon
Meal: Steak with Garlic Mashed Potatoes and Steamed Broccoli
Cutlery: Knife, Fork
Meal: Grilled Chicken Caesar Salad
Cutlery: Knife, Fork

Meal: Loaded Potato Soup
Cutlery: ",Spoon,[<Utensil.SPOON: 'Spoon'>],[<Utensil.SPOON: 'Spoon'>]
"Here are a few examples:
Meal: Grilled Chicken Caesar Salad
Cutlery: Hands, Knife, Fork
Meal: Steak with Mashed Potatoes
Cutlery: Knife, Fork
Meal: Pasta Primavera
Cutlery: Fork, Spoon
Meal: Creamy Tomato Basil Soup
Cutlery: Spoon
Meal: Vegan Spring Rolls with Peanut Dipping Sauce
Cutlery: Hands, Chopsticks
Meal: Chicken Alfredo Pasta
Cutlery: Knife, Fork, Spoon
Meal: Steak with Garlic Mashed Potatoes and Steamed Broccoli
Cutlery: Knife, Fork
Meal: Grilled Chicken Caesar Salad
Cutlery: Knife, Fork

Meal: Vegan Sushi Roll with Avocado, Carrot and Cucumber
Cutlery: ","Chopsticks, Hands","[<Utensil.HANDS: 'Hands'>, <Utensil.CHOPS: 'Chopsticks'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.CHOPS: 'Chopsticks'>]"
"Here are a few examples:
Meal: Grilled Chicken Caesar Salad
Cutlery: Hands, Knife, Fork
Meal: Steak with Mashed Potatoes
Cutlery: Knife, Fork
Meal: Pasta Primavera
Cutlery: Fork, Spoon
Meal: Creamy Tomato Basil Soup
Cutlery: Spoon
Meal: Vegan Spring Rolls with Peanut Dipping Sauce
Cutlery: Hands, Chopsticks
Meal: Chicken Alfredo Pasta
Cutlery: Knife, Fork, Spoon
Meal: Steak with Garlic Mashed Potatoes and Steamed Broccoli
Cutlery: Knife, Fork
Meal: Grilled Chicken Caesar Salad
Cutlery: Knife, Fork

Meal: Spaghettini Bolognese
Cutlery: ","Fork, Spoon","[<Utensil.SPOON: 'Spoon'>, <Utensil.FORK: 'Fork'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]"
"Here are a few examples:
Meal: Grilled Chicken Caesar Salad
Cutlery: Hands, Knife, Fork
Meal: Steak with Mashed Potatoes
Cutlery: Knife, Fork
Meal: Pasta Primavera
Cutlery: Fork, Spoon
Meal: Creamy Tomato Basil Soup
Cutlery: Spoon
Meal: Vegan Spring Rolls with Peanut Dipping Sauce
Cutlery: Hands, Chopsticks
Meal: Chicken Alfredo Pasta
Cutlery: Knife, Fork, Spoon
Meal: Steak with Garlic Mashed Potatoes and Steamed Broccoli
Cutlery: Knife, Fork
Meal: Grilled Chicken Caesar Salad
Cutlery: Knife, Fork

Meal: Meatballs With Orzo and Italian Vegetables
Cutlery: ","Knife, Fork, Spoon","[<Utensil.SPOON: 'Spoon'>, <Utensil.FORK: 'Fork'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]"
"Here are a few examples:
Meal: Grilled Chicken Caesar Salad
Cutlery: Hands, Knife, Fork
Meal: Steak with Mashed Potatoes
Cutlery: Knife, Fork
Meal: Pasta Primavera
Cutlery: Fork, Spoon
Meal: Creamy Tomato Basil Soup
Cutlery: Spoon
Meal: Vegan Spring Rolls with Peanut Dipping Sauce
Cutlery: Hands, Chopsticks
Meal: Chicken Alfredo Pasta
Cutlery: Knife, Fork, Spoon
Meal: Steak with Garlic Mashed Potatoes and Steamed Broccoli
Cutlery: Knife, Fork
Meal: Grilled Chicken Caesar Salad
Cutlery: Knife, Fork

Meal: Orange Spinach Salmon Salad
Cutlery: ","Knife, Fork","[<Utensil.FORK: 'Fork'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]"
"Here are a few examples:
Meal: Grilled Chicken Caesar Salad
Cutlery: Hands, Knife, Fork
Meal: Steak with Mashed Potatoes
Cutlery: Knife, Fork
Meal: Pasta Primavera
Cutlery: Fork, Spoon
Meal: Creamy Tomato Basil Soup
Cutlery: Spoon
Meal: Vegan Spring Rolls with Peanut Dipping Sauce
Cutlery: Hands, Chopsticks
Meal: Chicken Alfredo Pasta
Cutlery: Knife, Fork, Spoon
Meal: Steak with Garlic Mashed Potatoes and Steamed Broccoli
Cutlery: Knife, Fork
Meal: Grilled Chicken Caesar Salad
Cutlery: Knife, Fork

Meal: Moussaka with Rice
Cutlery: ","Knife, Fork, Spoon","[<Utensil.SPOON: 'Spoon'>, <Utensil.FORK: 'Fork'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]"
"Here are a few examples:
Meal: Grilled Chicken Caesar Salad
Cutlery: Hands, Knife, Fork
Meal: Steak with Mashed Potatoes
Cutlery: Knife, Fork
Meal: Pasta Primavera
Cutlery: Fork, Spoon
Meal: Creamy Tomato Basil Soup
Cutlery: Spoon
Meal: Vegan Spring Rolls with Peanut Dipping Sauce
Cutlery: Hands, Chopsticks
Meal: Chicken Alfredo Pasta
Cutlery: Knife, Fork, Spoon
Meal: Steak with Garlic Mashed Potatoes and Steamed Broccoli
Cutlery: Knife, Fork
Meal: Grilled Chicken Caesar Salad
Cutlery: Knife, Fork

Meal: Miso Broth Ramen
Cutlery: ","Chopsticks, Spoon","[<Utensil.SPOON: 'Spoon'>, <Utensil.CHOPS: 'Chopsticks'>]","[<Utensil.CHOPS: 'Chopsticks'>, <Utensil.SPOON: 'Spoon'>]"
