task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['kri', 'sponge', 'alligator wrench', 'drill', 'shampoo']",True
drying the dishes,absorb,sponge,sponge,"['tack hammer', 'strickle', 'sponge', 'toothpick', 'hunting knife']",True
removing moisture,absorb,sponge,sponge,"['soapbottle', 'sponge', 'potato', 'steak knife', 'peppershaker']",True
reheating coffee,be heated,pan,pan,"['desk lamp', 'power saw', 'footstool', 'pan', 'tap wrench']",True
cooking a fried egg,be heated,cup,cup,"['hand drill', 'cup', 'counterbore', 'toilet paper', 'hayfork']",True
cooking an omelette,be heated,pan,pan,"['fork', 'kirpan', ""croupier's rake"", 'common ax', 'pan']",True
reheating soup,be heated,kettle,kettle,"['punch', 'neolith', 'cloth', 'roach clip', 'kettle']",True
boiling water,be heated,plate,tamp,"['plate', 'laundryhamper', 'toiletpaper', 'lightbulb', 'tamp']",False
decorating a room,beautify,steel wool pad,drawer,"['steel wool pad', 'drawer', 'coffee', 'axe', 'soda can']",False
arranging flowers,beautify,abrader,opener,"['basket ball', 'arm chair', 'creditcard', 'opener', 'abrader']",False
painting walls,beautify,rat tail file,none,"['allen wrench', 'tomato', 'rat tail file', 'vacuum cleaner', 'vase']",False
applying make-up,beautify,nailfile,handstamp,"['nailfile', 'corkscrew', 'handstamp', 'ravehook', 'dogbed']",False
shaping wire,bend,bender,bender,"['bender', 'pipe wrench', 'ax', 'drawknife', 'spreader']",True
adjusting blinds,bend,bender,bender,"['hacksaw', 'breadknife', 'food jar', 'bender', 'garden trowel']",True
fitting flexible piping,bend,saw set,bit,"['saw set', 'bit', 'circular plane', 'pruning saw', 'scraper']",False
installing shelves,bore,bucksaw,bucksaw,"['ax', 'shampoo', 'coffee machine', 'bucksaw', 'drawer']",True
hanging pictures,bore,straight flute,set square,"['set square', 'straight flute', 'desk lamp', 'stamp', 'jack plane']",False
assembling furniture,bore,router,hammer,"['chamfer plane', 'crown saw', 'router', 'stapler', 'hammer']",False
preparing food,break,jigsaw,steak knife,"['steel wool pad', 'steak knife', 'soap bar', 'lightbulb', 'jigsaw']",False
opening packaging,break,folding saw,bulldog wrench,"['abrading stone', 'folding saw', 'bender', 'bulldog wrench', 'shovel']",False
breaking apart food items,break,bottle,hand ax,"['o ring', 'bottle', 'hand ax', 'potato', 'cigar cutter']",False
serving food,carry,vase,shaping tool,"['egg', 'window', 'vase', 'shaping tool', 'water bottle']",False
transporting liquids,carry,mug,mug,"['fridge', 'mug', 'spud', 'straight flute', 'bread knife']",True
