task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['drill', 'alligator wrench', 'shampoo', 'sponge', 'kri']",True
drying the dishes,absorb,sponge,sponge,"['hunting knife', 'sponge', 'strickle', 'tack hammer', 'toothpick']",True
removing moisture,absorb,sponge,sponge,"['potato', 'soapbottle', 'sponge', 'peppershaker', 'steak knife']",True
reheating coffee,be heated,pan,pan,"['pan', 'tap wrench', 'desk lamp', 'power saw', 'footstool']",True
cooking a fried egg,be heated,cup,cup,"['hand drill', 'counterbore', 'cup', 'hayfork', 'toilet paper']",True
cooking an omelette,be heated,pan,pan,"['common ax', ""croupier's rake"", 'pan', 'fork', 'kirpan']",True
reheating soup,be heated,kettle,kettle,"['cloth', 'punch', 'kettle', 'roach clip', 'neolith']",True
boiling water,be heated,plate,tamp,"['plate', 'lightbulb', 'tamp', 'laundryhamper', 'toiletpaper']",False
decorating a room,beautify,steel wool pad,drawer,"['soda can', 'coffee', 'steel wool pad', 'axe', 'drawer']",False
arranging flowers,beautify,abrader,opener,"['creditcard', 'abrader', 'arm chair', 'basket ball', 'opener']",False
painting walls,beautify,rat tail file,vacuumcleaner,"['vase', 'allen wrench', 'vacuumcleaner', 'rat tail file', 'tomato']",False
applying make-up,beautify,nailfile,handstamp,"['nailfile', 'dogbed', 'corkscrew', 'handstamp', 'ravehook']",False
shaping wire,bend,bender,bender,"['ax', 'drawknife', 'bender', 'spreader', 'pipe wrench']",True
adjusting blinds,bend,bender,bender,"['garden trowel', 'breadknife', 'food jar', 'hacksaw', 'bender']",True
fitting flexible piping,bend,saw set,circular plane,"['bit', 'saw set', 'pruning saw', 'circular plane', 'scraper']",False
installing shelves,bore,bucksaw,bucksaw,"['ax', 'drawer', 'bucksaw', 'coffee machine', 'shampoo']",True
hanging pictures,bore,straight flute,set square,"['set square', 'stamp', 'straight flute', 'jack plane', 'desk lamp']",False
assembling furniture,bore,router,hammer,"['router', 'chamfer plane', 'stapler', 'hammer', 'crown saw']",False
preparing food,break,jigsaw,steak knife,"['soap bar', 'lightbulb', 'steel wool pad', 'jigsaw', 'steak knife']",False
opening packaging,break,folding saw,folding saw,"['abrading stone', 'shovel', 'bender', 'folding saw', 'bulldog wrench']",True
breaking apart food items,break,bottle,hand ax,"['cigar cutter', 'potato', 'bottle', 'o ring', 'hand ax']",False
serving food,carry,vase,shaping tool,"['vase', 'water bottle', 'egg', 'shaping tool', 'window']",False
transporting liquids,carry,mug,mug,"['mug', 'spud', 'bread knife', 'fridge', 'straight flute']",True
serving a dish,carry,watering can,catling,"['opener', 'try square', 'catling', 'watering can', 'combination plane']",False
watering plants,carry,plate,tap,"['try square', 'dibble', 'tap', 'spiral ratchet screwdriver', 'plate']",False
decorating pumpkins,carve,yataghan,plastic box,"['taper file', 'bathtubbasin', 'sawmill', 'yataghan', 'plastic box']",False
preparing meat,carve,tableknife,tableknife,"['grapnel', 'tableknife', 'showerdoor', 'wire cutter', 'shaver']",True
crafting with wood,carve,barong,gouge,"['bullnose', 'gouge', 'room decor', 'salt', 'barong']",False
replacing light bulbs,change,signet,clincher,"['clincher', 'signet', 'pitchfork', 'portable saw', 'pruning saw']",False
changing bed sheets,change,ram,drawer,"['drawer', 'crosscut saw', 'razor', 'toothpick', 'ram']",False
swapping out filters,change,rock bit,stool,"['stool', 'plexor.n.wn.medicine', 'rock bit', 'rat tail file', 'broadax']",False
