object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,suitcase,"['car', 'palace', 'laundry room', 'pantry room', 'suitcase']",False
adjustable wrench,bedroom,loft,"['glass', 'loft', 'bedroom', 'cat', 'press']",False
alarmclock,bedroom,bedroom,"['larder', 'attic', 'bedroom', ""child's room"", 'different room']",True
aluminumfoil,kitchen,kitchen,"['exercise room', 'bathroom cabinet', 'lamp', 'kitchen', ""prostitute's bedroom""]",True
android figure,corridor,chest,"['teapot', 'castle', 'corridor', 'chest', 'separate room']",False
anti slip tape,exercise room,exercise room,"['exercise room', ""children's room"", 'icebox', 'side of  room', 'home']",True
antidepressant,pantry room,pantry room,"['motel room', 'laundry room', 'larder', 'pantry room', 'bundle']",True
antique,attic,attic,"['attic', 'hall', 'pot', 'butt', 'court']",True
apple,kitchen,kitchen,"['loft', 'kitchen', 'bus', 'cup', 'furniture']",True
applesauce,jar,jar,"['jar', 'dishwasher', 'sack', 'engine', 'teapot']",True
appliance,home,home,"['home', 'backyard', 'chest', 'hamper', 'dining room']",True
apricot,table,table,"['bar', 'table', 'tea room', 'bathroom', 'bike']",True
armchair,bedroom,bedroom,"['bedroom', 'suitcase', 'basket', 'ir rooms', 'classroom']",True
armoire,living room,living room,"['vault', 'cabin', 'living room', 'music room', 'hospital drug storeroom']",True
armrest,car,room of house,"['room of house', 'wallet', 'purse', 'car', 'childs room']",False
arrow,quiver,quiver,"['quiver', 'restroom', 'can', 'container', 'oven']",True
artichoke,refrigerator,refrigerator,"['refrigerator', 'freezer', 'range', 'bookshelf', ""teenager's bedroom""]",True
article,press,drawer,"['press', 'middle of  room', 'drawer', 'ambulance', 'way']",False
ashtray,house,storage room,"['storage room', 'guest room', 'house', 'orchestra', 'basket']",False
asparagus,oven,pantry room,"['oven', ""cash's room"", 'glass', 'pantry room', 'stand']",False
atm,bank,bank,"['bathroom', 'palace', 'palace', 'bank', 'dining room']",True
attic,home,family room,"['dresser', 'home', 'deck', 'bank', 'family room']",False
backpack,storage room,children's room,"[""children's room"", 'barrel', 'loungeroom', 'pantry', 'storage room']",False
bacon,oven,oven,"['classroom', 'briefcase', 'butt', 'oven', 'art classroom']",True
balancing cactus,television room,television room,"['locker', 'small room', 'small room', 'pocket', 'television room']",True
ball,sack,sack,"['bathtub', 'ambulance', 'truck', 'motorbike', 'sack']",True
balustrade,grand ballroom,grand ballroom,"['grand ballroom', 'camp', 'storage room', 'motel room', 'classroom']",True
banana,closet,plate,"['closet', 'castle', 'bathroom drawer', 'small room', 'plate']",False
bar,oven,stand,"['side of  room', 'bookshelf', 'stand', 'backyard', 'oven']",False
baseball,lobby,livingroom,"['glass', 'livingroom', 'court', 'lobby', 'band room']",False
baseballbat,bedroom,den,"['container', 'bedroom', 'hive', 'sink', 'den']",False
basil,garden,jar,"['garden', 'jar', 'quiver', 'bicycle', 'bunk']",False
basketball,bedroom,cabinet,"['card room', 'bedroom', 'jacket', 'cabinet', 'mailbox']",False
bat,attic,attic,"['butt', 'attic', 'range', 'carton', 'different room']",True
bath sheet,bedroom,shelf,"['bedroom', 'broom closet', 'tea room', 'shelf', 'vault']",False
bathtub,bathroom,bathroom,"['fridge', 'shoe', 'bathroom', 'dresser', 'separate room']",True
bathtubbasin,bathroom,bathroom,"['bathroom', 'barrel', 'package', 'tin', 'nest']",True
batter,box,freezer,"['place', 'box', 'livingroom', 'freezer', 'can']",False
battery,childs room,childs room,"['bus', 'floor', 'plate', 'backyard', 'childs room']",True
beacon,range,utility room,"['tin', 'cruet', 'range', 'loft', 'utility room']",False
beanbag,child's bedroom,child's bedroom,"['chest', 'barrel', 'hatbox', 'briefcase', ""child's bedroom""]",True
beard color gel,utility room,utility room,"['middle of  room', 'utility room', 'study', 'tin', 'deck']",True
beauty pack,utility room,house,"['palace', 'house', 'utility room', 'study', 'backyard']",False
bed,bedroom,bedroom,"['pod', 'dishwasher', 'bedroom', 'packet', 'bedroom drawer']",True
bedroom,dwelling,dwelling,"['class room', 'dwelling', 'range', 'sack', 'refrigerator']",True
beer,can,most rooms,"['can', 'engine', 'sofa', 'most rooms', 'engine']",False
beet,can,container,"['container', 'foyer', 'can', 'loungeroom', 'toaster']",False
belt,closet,closet,"['jacket', 'closet', 'hall', 'most rooms', 'childs room']",True
beverage,bottle,dining room,"['parlor', 'bottle', 'dining room', 'case', ""prostitute's bedroom""]",False
binoculars,suitcase,shelf,"['suitcase', 'quiver', 'shelf', 'belfry', 'kitchen or bathroom']",False
biscuit,oven,children's room,"['stove', 'oven', 'mansion', 'dumpster', ""children's room""]",False
blanket,closet,closet,"['toolbox', 'wallet', 'closet', 'dimly lit room', 'hive']",True
bleach cleanser,bathroom,bathroom,"['attic', ""children's room"", 'bathroom', 'motel room', 'jar']",True
blender,kitchen,kitchen,"['hotel room', 'wardrobe', 'package', 'living rooms', 'kitchen']",True
blender jar,garage,pantry,"['pantry', 'bar', 'sack', 'pitcher', 'garage']",False
blind,bedroom,bedroom,"['briefcase', 'bedroom', 'palace', 'beehive', 'bed']",True
blouse,suitcase,locker,"['butt', 'suitcase', 'tea room', 'locker', 'bowl']",False
board game,childs room,childs room,"['childs room', 'most rooms', 'furniture', 'different room', 'bed']",True
boat,bay,bay,"['quiver', ""men's restroom"", 'pantry', 'every bedroom', 'bay']",True
boater,boat,boat,"['place', ""person's living room"", 'dining room', 'stand', 'boat']",True
bolt,jar,jar,"['garbage', 'jar', 'den', 'package', 'bundle']",True
book,living room,living room,"['garden', 'locker', 'living room', 'aquarium', 'bike']",True
bookcase,den,den,"['den', 'bookshelf', 'hospital drug storeroom', 'nest', 'pot']",True
bookend,utility room,every bedroom,"['utility room', 'bathroom drawer', 'glass', 'every bedroom', 'larder']",False
bookshelf,bedroom,bedroom,"['hamper', 'boot', 'teapot', 'toaster', 'bedroom']",True
boot,living room,floor,"['floor', 'living room', 'tin', 'belfry', 'one room flat']",False
booze,bar,bar,"['hall', 'bar', 'small room', 'hive', 'mailbox']",True
bottle,kitchen,kitchen,"['dumpster', 'waiting room', 'briefcase', 'kitchen', 'floor']",True
bourbon,barrel,barrel,"['barrel', 'sofa', 'tin', 'card room', 'bathtub']",True
bowl,kitchen,kitchen,"['grand ballroom', 'locker', 'packet', 'backyard', 'kitchen']",True
box,bedroom,drawer,"['bedroom', 'bath', 'drawer', 'anor room', 'bottle']",False
bra,drawer,drawer,"['bath', 'drawer', 'pot', 'cat', 'guest room']",True
brain,head,head,"['bowl', 'keg', 'beehive', 'every bedroom', 'head']",True
brandy,bar,bar,"['microwave', 'tank', 'bar', 'waiting room', 'grand ballroom']",True
bread,kitchen,kitchen,"['closet', 'corridor', 'machine', 'kitchen', 'dining room']",True
breakfast,table,table,"['childs room', 'parlor', 'machine', 'garbage', 'table']",True
broccoli,oven,most rooms,"['tin', 'oven', 'truck', 'packet', 'most rooms']",False
broiler,oven,oven,"['pot', 'broom closet', 'motorbike', 'cellar', 'oven']",True
broom,cabinet,cabinet,"['one of  classrooms', 'cabinet', 'butt', 'schoolroom', 'den']",True
bug,garden,garden,"['card room', 'garden', 'childs room', 'broom closet', 'cup']",True
bulb,lamp,lamp,"['lounge', 'cabin', 'sink', 'lamp', 'different room']",True
bullet,barrel,storage room,"['storage room', 'hotel room', 'briefcase', 'barrel', 'bike']",False
bumper,car,car,"['loft', 'car', 'attic', 'ir rooms', 'home office']",True
bun,breadbox,breadbox,"['breadbox', 'well', 'beehive', 'tank', ""child's bedroom""]",True
bundt pan,living room,living room,"['bicycle', 'art classroom', 'vault', 'wallet', 'living room']",True
bureau,bedroom,bedroom,"['camp', 'bedroom', 'tea room', 'sofa', 'box']",True
burner,oven,kitchen,"['chest', 'laundry room', 'kitchen', 'dumpster', 'oven']",False
butter dish,garage,cellar,"[""cash's room"", 'trunk', 'cellar', 'garage', 'bunk']",False
butterknife,kitchen,kitchen,"['shelf', 'kitchen', 'suitcase', 'can', 'tank']",True
cabbage,plate,plate,"['bathroom drawer', 'pocket', 'plate', 'boot', 'card room']",True
cabinet,bathroom,child's room,"['grand ballroom', 'backyard', ""child's room"", 'bay', 'bathroom']",False
cake mix,lobby,pantry,"['pantry', 'chest', 'microwave', 'lobby', 'laundry room']",False
cake pan,childs room,person's living room,"['hamper', ""person's living room"", 'truck', 'pot', 'childs room']",False
calender,desk,desk,"['sofa', 'broom closet', 'master bedroom', 'desk', 'cruet']",True
camera,dining room,art classroom,"['dining room', 'sedan', 'tank', 'art classroom', 'press']",False
camper,bunk,bay,"['packet', 'pod', 'one of  classrooms', 'bay', 'bunk']",False
can opener,living room,living room,"['library', 'ambulance', 'living room', 'cabin', 'motel room']",True
candelabra,table,table,"['basement', 'stove', 'bar', 'anor room', 'table']",True
candle,living room,living room,"['stove', 'belfry', 'living room', 'box', 'washer']",True
candle holder,corridor,kitchen,"['corridor', 'castle', 'tank', 'mansion', 'bathroom or kitchen']",False
candlestick,table,table,"['art classroom', 'basement', 'table', 'lamp', 'dresser']",True
candy,lobby,packet,"['lobby', 'chamber', 'boot', 'dwelling', 'packet']",False
candy bar,garage,garage,"['classroom', 'belfry', 'shell', 'garage', 'glass']",True
canister,utility room,utility room,"['toolbox', 'nest', 'deck', ""child's bedroom"", 'utility room']",True
canteen,backpack,backpack,"['backpack', 'schoolroom', 'court', 'bike', 'carton']",True
canvas,art classroom,art classroom,"['bike', 'keg', 'keg', 'art classroom', 'home']",True
cap,suitcase,suitcase,"['orchestra', 'glass', 'grand ballroom', 'suitcase', 'apartment']",True
carburettor,car,sedan,"['sedan', 'car', 'furniture', 'wardrobe', 'cubicle']",False
card,box,purse,"['purse', 'cabin', 'study', 'closet', 'box']",False
card game,playroom,playroom,"['ambulance', ""child's room"", 'playroom', 'side of  room', ""teenager's bedroom""]",True
carpeting,house,house,"['larder', 'closet', 'engine', 'house', 'container']",True
carrot,fridge,fridge,"['fridge', 'hall', 'butt', 'sink', 'cradle']",True
carrying case,kitchen,wardrobe,"['dormroom', 'wardrobe', 'kitchen', 'handbag', 'belfry']",False
case,trunk,trunk,"['trunk', 'separate room', 'dishwasher', 'bathroom and kitchen', 'bright room']",True
casserole dish,television room,case,"['nest', 'floor', 'case', 'one of  classrooms', 'television room']",False
cauliflower,oven,small room,"['boot', 'oven', 'wallet', 'small room', 'living rooms']",False
cd,bedroom,bedroom,"['deck', 'place', 'shaker', 'bedroom', 'corridor']",True
celery,refrigerator,refrigerator,"['engine', 'pan', 'lobby', 'refrigerator', 'numerous modern washrooms']",True
cellar,basement,basement,"['room of house', 'basement', 'dresser', ""person's living room"", 'drawer']",True
cellphone,living room,living room,"['bank', 'guest room', 'basket', 'machine', 'living room']",True
centerpiece,table,table,"['trunk', 'table', 'briefcase', 'suitcase', 'schoolroom']",True
cereal,living room,living room,"['pan', 'laundry room', 'livingroom', 'living room', 'desk']",True
chain,dining room,chest,"['livin room', 'art classroom', 'dining room', 'chest', 'sedan']",False
chair,living room,living room,"['living room', 'storage room', ""men's restroom"", 'dimly lit room', 'castle']",True
chalk,classroom,classroom,"['bathroom cabinet', 'classroom', 'plate', 'carton', 'tank']",True
