Task,Configuration
Arrange books on a shelf in alphabetical order.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Rotate the wall-mounted thermostat to a specified temperature.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Fold the laundry and place it in a basket.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Place the stack of plates neatly on the kitchen counter.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Organize books on a low shelf.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Organize books on a low shelf.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
The robot can monitor the counter for any spills or changes in bottle arrangement.,The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Stack the empty cups in the kitchen cabinet.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Sort the books on the shelf by size.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Stack books on a shelf.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Pick and place books onto a shelf.,The robot has 1 arm(s) with 6 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Organize and stack books on a low shelf.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Monitor the room temperature and report any significant changes.,The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Adjust the position of a wall-mounted picture frame.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.
Stir the contents of a pot on the stove.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
