task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['alligator wrench', 'sponge', 'kri', 'shampoo', 'drill']",True
drying the dishes,absorb,sponge,sponge,"['tack hammer', 'hunting knife', 'sponge', 'strickle', 'toothpick']",True
removing moisture,absorb,sponge,sponge,"['steak knife', 'sponge', 'potato', 'peppershaker', 'soapbottle']",True
reheating coffee,be heated,pan,pan,"['desk lamp', 'power saw', 'tap wrench', 'footstool', 'pan']",True
cooking a fried egg,be heated,cup,cup,"['cup', 'counterbore', 'hayfork', 'toilet paper', 'hand drill']",True
cooking an omelette,be heated,pan,pan,"['fork', 'common ax', ""croupier's rake"", 'kirpan', 'pan']",True
reheating soup,be heated,kettle,kettle,"['kettle', 'neolith', 'cloth', 'roach clip', 'punch']",True
boiling water,be heated,plate,lightbulb,"['lightbulb', 'plate', 'tamp', 'toiletpaper', 'laundryhamper']",False
decorating a room,beautify,steel wool pad,steel wool pad,"['steel wool pad', 'soda can', 'coffee', 'axe', 'drawer']",True
arranging flowers,beautify,abrader,opener,"['basket ball', 'arm chair', 'creditcard', 'opener', 'abrader']",False
painting walls,beautify,rat tail file,vacuum cleaner,"['tomato', 'vacuum cleaner', 'allen wrench', 'rat tail file', 'vase']",False
applying make-up,beautify,nailfile,nailfile,"['ravehook', 'corkscrew', 'dogbed', 'nailfile', 'handstamp']",True
shaping wire,bend,bender,bender,"['pipe wrench', 'drawknife', 'ax', 'bender', 'spreader']",True
adjusting blinds,bend,bender,garden trowel,"['bender', 'garden trowel', 'breadknife', 'food jar', 'hacksaw']",False
fitting flexible piping,bend,saw set,pruning saw,"['bit', 'saw set', 'circular plane', 'pruning saw', 'scraper']",False
installing shelves,bore,bucksaw,bucksaw,"['drawer', 'shampoo', 'ax', 'coffee machine', 'bucksaw']",True
hanging pictures,bore,straight flute,set square,"['stamp', 'jack plane', 'desk lamp', 'straight flute', 'set square']",False
assembling furniture,bore,router,crown saw,"['crown saw', 'router', 'stapler', 'chamfer plane', 'hammer']",False
preparing food,break,jigsaw,steak knife,"['soap bar', 'steak knife', 'lightbulb', 'jigsaw', 'steel wool pad']",False
opening packaging,break,folding saw,folding saw,"['folding saw', 'abrading stone', 'shovel', 'bulldog wrench', 'bender']",True
breaking apart food items,break,bottle,bottle,"['hand ax', 'cigar cutter', 'bottle', 'o ring', 'potato']",True
serving food,carry,vase,shaping tool,"['window', 'water bottle', 'vase', 'shaping tool', 'egg']",False
transporting liquids,carry,mug,mug,"['bread knife', 'mug', 'fridge', 'straight flute', 'spud']",True
serving a dish,carry,watering can,try square,"['combination plane', 'opener', 'watering can', 'try square', 'catling']",False
watering plants,carry,plate,plate,"['try square', 'tap', 'plate', 'spiral ratchet screwdriver', 'dibble']",True
decorating pumpkins,carve,yataghan,taper file,"['sawmill', 'bathtubbasin', 'plastic box', 'yataghan', 'taper file']",False
preparing meat,carve,tableknife,tableknife,"['tableknife', 'wire cutter', 'showerdoor', 'shaver', 'grapnel']",True
crafting with wood,carve,barong,gouge,"['bullnose', 'gouge', 'room decor', 'salt', 'barong']",False
replacing light bulbs,change,signet,portable saw,"['signet', 'clincher', 'portable saw', 'pitchfork', 'pruning saw']",False
changing bed sheets,change,ram,drawer,"['drawer', 'crosscut saw', 'ram', 'toothpick', 'razor']",False
swapping out filters,change,rock bit,stool,"['rock bit', 'rat tail file', 'stool', 'broadax', 'plexor.n.wn.medicine']",False
preparing cooking ingredients,chop,half hatchet,butcher knife,"['half hatchet', 'pruning shear', 'bread', 'butcher knife', 'steel wool pad']",False
cutting meat,chop,claw hatchet,barong,"['barong', 'blind', 'claw hatchet', 'rounder', 'lightbulb']",False
making firewood,chop,fireman's ax,fireman's ax,"['bread knife', ""fireman's ax"", 'coffeetable', 'case knife', 'chisel']",True
washing dishes,clean,vaccum cleaner,brick trowel,"['potato', 'common ax', 'brick trowel', 'dovetail plane', 'vaccum cleaner']",False
throwing away uneaten food,clean,tableknife,tableknife,"['pruning knife', 'coffeetable', 'trench knife', 'tableknife', 'eolith']",True
cleaning spilled milk,clean,jigsaw,ladle,"['ladle', 'jigsaw', 'grapnel', 'lancet', 'battering ram']",False
cleaning the mirror,clean,vaccum cleaner,razor,"['razor', 'bodkin', 'square', 'desk lamp', 'vaccum cleaner']",False
cleaning the fridge,clean,saber saw,spray bottle,"['spray bottle', 'saber saw', 'spade bit', 'showerhead', 'oven']",False
cleaning the blinds,clean,bandsaw,plunger,"['floorlamp', 'lancet', 'drilling bit', 'bandsaw', 'plunger']",False
cleaning the shower head,clean,towel,towel,"['binder', 'towel', 'camera', 'vaccum cleaner', 'head gasket']",True
dusting the statue,clean,power tool,toilet paper,"['toilet paper', 'food cup', 'chair', 'alarm clock', 'power tool']",False
cleaning the toilet,clean,portable saw,spray bottle,"['portable saw', 'drilling bit', 'floor', 'plexor.n.wn.medicine', 'spray bottle']",False
cleaning the floor,clean,power saw,ottoman,"['power saw', 'basket ball', 'square', 'bowie knife', 'ottoman']",False
washing your face,clean,electric hammer,floor lamp,"['electric hammer', 'floor lamp', 'pruning saw', 'ice ax', 'bolt cutter']",False
watching a movie,comfort,chair,chair,"['electric drill', 'desk', 'hook wrench', 'chair', 'towelholder']",True
setting up bedding,comfort,ottoman,sponge,"['hedge trimmer', 'tabletopdecor', 'to go cup', 'sponge', 'ottoman']",False
choosing a comfortable seat,comfort,ottoman,ottoman,"['scrub brush', 'garden spade', 'power mower', 'ottoman', 'buffer']",True
storing clothes,compress,stemmer,o ring,"['steel wool pad', 'phillips screwdriver', 'stemmer', 'nailfile', 'o ring']",False
reducing space in bin,compress,stemmer,stemmer,"['remote control', 'comb', 'stemmer', 'bucksaw', 'desktop']",True
preparing food,compress,stemmer,stemmer,"['burin', 'handsaw', 'bread', 'rammer', 'stemmer']",True
storing food,contain,fish knife,fish knife,"['poniard', 'microwave', 'switchblade', 'steel wool pad', 'fish knife']",True
measuring liquids,contain,butter knife,cell phone,"['weeder', 'cell phone', 'pitchfork', 'butter knife', 'wrench']",False
managing waste,contain,tray,scraper,"['slick', 'baseballbat', 'tray', 'scraper', 'arm chair']",False
being filled with a liquid,contain,table knife,table knife,"['lochaber ax', 'crosscut saw', 'flat file', 'table knife', 'cigar cutter']",True
adjusting device settings,control,handsaw,pointing trowel,"['tennis racket', 'handsaw', 'common ax', 'pot', 'pointing trowel']",False
managing lighting,control,electric hammer,plane,"['plane', 'buffer', 'electric hammer', 'machete', 'pick']",False
operating appliances,control,compass saw,bender,"['toilet paper', 'dagger', 'compass saw', 'bender', 'toiletpaperhanger']",False
keeping food from going bad,cool,drum sander,microwave,"['microwave', 'drum sander', 'scraper', 'side table', 'scythe']",False
freezing food,cool,drum sander,seal,"['seal', 'drum sander', 'rounder', 'bathtub', 'garden spade']",False
making ice,cool,drum sander,counter top,"['abrader', 'drum sander', 'counter top', 'battering ram', ""croupier's rake""]",False
creating frost patterns as decoration,cool,drum sander,set square,"['drum sander', 'set square', 'bill', 'triphammer', 'hammer']",False
protecting food,cover,drum sander,gasket,"['gasket', 'drum sander', 'laundry hamper', 'buffer', 'keyboard']",False
shielding surfaces,cover,drum sander,drum sander,"['set square', 'power tool', 'auger', 'drum sander', 'star drill']",True
securing items,cover,drum sander,die,"['drum sander', 'buffer', 'die', 'buffer', 'snuffer']",False
opening a nut,crack,stiletto,compass saw,"['toothpaste', 'stiletto', 'food cup', 'compass saw', 'to go cup']",False
breaking an egg,crack,bowie knife,icepick,"['tamp', 'dogbed', 'bowie knife', 'icepick', 'plane']",False
opening packages,crack,parer,parer,"['slip joint plier', 'glue stick', 'handtowelholder', 'parer', 'gutter']",True
baking pastries,crumble,battering ram,mallet,"[""fireman's ax"", 'slick', 'battering ram', 'mallet', 'razorblade']",False
preparing toppings,crumble,battering ram,sponge,"['sponge', 'handtowelholder', 'battering ram', 'c d', 'ripping chisel']",False
making breadcrumbs,crumble,battering ram,tack hammer,"['battering ram', 'dumbbell', 'adz', 'stiletto', 'tack hammer']",False
preparing snacks,crunch,pestle,pestle,"['egg', 'flat file', 'pestle', 'cigar cutter', 'hayfork']",True
making toppings,crunch,pestle,bowie knife,"['garden trowel', 'pestle', 'battle ax', 'saw set', 'bowie knife']",False
crushing ice,crunch,pestle,common ax,"['bender', 'common ax', 'pestle', 'gang', 'bolt cutter']",False
making ice cubes,cube,steak knife,wine bottle,"['locking plier', 'drawknife', 'bolo', 'wine bottle', 'steak knife']",False
preparing fruits and vegetables,cube,table knife,table knife,"['remotecontrol', 'lightswitch', 'allen wrench', 'table knife', 'handtowel']",True
preparing meats,cube,scalpel,scalpel,"['posthole digger', ""plumber's snake"", 'keyhole saw', 'scalpel', 'cap opener']",True
