object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,palace,"['car', 'laundry room', 'pantry room', 'suitcase', 'palace']",False
adjustable wrench,bedroom,press,"['loft', 'bedroom', 'cat', 'glass', 'press']",False
alarmclock,bedroom,bedroom,"['attic', 'larder', 'bedroom', 'different room', ""child's room""]",True
aluminumfoil,kitchen,kitchen,"['kitchen', 'lamp', ""prostitute's bedroom"", 'bathroom cabinet', 'exercise room']",True
android figure,corridor,separate room,"['separate room', 'castle', 'chest', 'corridor', 'teapot']",False
anti slip tape,exercise room,exercise room,"[""children's room"", 'home', 'exercise room', 'icebox', 'side of the room']",True
antidepressant,pantry room,motel room,"['pantry room', 'larder', 'bundle', 'laundry room', 'motel room']",False
antique,attic,hall,"['court', 'hall', 'butt', 'attic', 'pot']",False
apple,kitchen,kitchen,"['loft', 'cup', 'furniture', 'kitchen', 'bus']",True
applesauce,jar,jar,"['dishwasher', 'engine', 'teapot', 'sack', 'jar']",True
appliance,home,dining room,"['chest', 'dining room', 'hamper', 'home', 'backyard']",False
apricot,table,bar,"['tea room', 'bike', 'bathroom', 'table', 'bar']",False
armchair,bedroom,bedroom,"['basket', 'ir rooms', 'suitcase', 'bedroom', 'classroom']",True
armoire,living room,living room,"['vault', 'music room', 'cabin', 'living room', 'hospital drug storeroom']",True
armrest,car,room of the house,"['room of the house', 'wallet', 'car', 'purse', 'childs room']",False
arrow,quiver,quiver,"['restroom', 'container', 'can', 'quiver', 'oven']",True
artichoke,refrigerator,refrigerator,"['range', 'freezer', 'refrigerator', ""teenager's bedroom"", 'bookshelf']",True
article,press,drawer,"['drawer', 'way', 'press', 'ambulance', ' middle of the room']",False
ashtray,house,guest room,"['basket', 'house', 'orchestra', 'storage room', 'guest room']",False
asparagus,oven,pantry room,"['pantry room', ""cash's room"", 'oven', 'glass', 'stand']",False
atm,bank,bank,"['bank', 'palace', 'palace', 'dining room', 'bathroom']",True
attic,home,home,"['bank', 'dresser', 'deck', 'family room', 'home']",True
backpack,storage room,children's room,"['loungeroom', 'pantry', 'barrel', 'storage room', ""children's room""]",False
bacon,oven,oven,"['art classroom', 'butt', 'classroom', 'briefcase', 'oven']",True
balancing cactus,television room,small room,"['television room', 'small room', 'pocket', 'locker', 'small room']",False
ball,sack,sack,"['sack', 'motorbike', 'ambulance', 'bathtub', 'truck']",True
balustrade,grand ballroom,grand ballroom,"['camp', 'motel room', 'grand ballroom', 'storage room', 'classroom']",True
banana,closet,plate,"['small room', 'castle', 'bathroom drawer', 'closet', 'plate']",False
bar,oven,stand,"['oven', 'side of the room', 'backyard', 'bookshelf', 'stand']",False
baseball,lobby,lobby,"['band room', 'glass', 'court', 'livingroom', 'lobby']",True
baseballbat,bedroom,den,"['container', 'bedroom', 'sink', 'den', 'hive']",False
basil,garden,garden,"['garden', 'bicycle', 'quiver', 'jar', 'bunk']",True
basketball,bedroom,card room,"['jacket', 'mailbox', 'bedroom', 'cabinet', 'card room']",False
bat,attic,carton,"['butt', 'range', 'attic', 'different room', 'carton']",False
bath sheet,bedroom,bedroom,"['broom closet', 'bedroom', 'shelf', 'vault', 'tea room']",True
bathtub,bathroom,bathroom,"['bathroom', 'dresser', 'fridge', 'separate room', 'shoe']",True
bathtubbasin,bathroom,bathroom,"['tin', 'package', 'barrel', 'bathroom', 'nest']",True
batter,box,freezer,"['place', 'can', 'livingroom', 'freezer', 'box']",False
battery,childs room,bus,"['plate', 'floor', 'backyard', 'childs room', 'bus']",False
beacon,range,utility room,"['utility room', 'cruet', 'loft', 'range', 'tin']",False
beanbag,child's bedroom,child's bedroom,"['briefcase', ""child's bedroom"", 'hatbox', 'barrel', 'chest']",True
beard color gel,utility room,study,"['tin', 'study', 'utility room', ' middle of the room', 'deck']",False
beauty pack,utility room,house,"['house', 'study', 'utility room', 'palace', 'backyard']",False
bed,bedroom,bedroom,"['dishwasher', 'bedroom', 'pod', 'bedroom drawer', 'packet']",True
bedroom,dwelling,dwelling,"['class room', 'dwelling', 'refrigerator', 'sack', 'range']",True
beer,can,can,"['can', 'most rooms', 'engine', 'engine', 'sofa']",True
beet,can,container,"['toaster', 'foyer', 'can', 'loungeroom', 'container']",False
belt,closet,closet,"['jacket', 'most rooms', 'childs room', 'closet', 'hall']",True
beverage,bottle,dining room,"['bottle', 'dining room', 'parlor', ""prostitute's bedroom"", 'case']",False
binoculars,suitcase,shelf,"['kitchen or bathroom', 'suitcase', 'shelf', 'belfry', 'quiver']",False
biscuit,oven,children's room,"['dumpster', 'stove', ""children's room"", 'oven', 'mansion']",False
blanket,closet,closet,"['closet', 'toolbox', 'hive', 'wallet', 'dimly lit room']",True
bleach cleanser,bathroom,bathroom,"['jar', 'bathroom', 'motel room', ""children's room"", 'attic']",True
blender,kitchen,kitchen,"['living rooms', 'kitchen', 'package', 'hotel room', 'wardrobe']",True
blender jar,garage,pantry,"['pantry', 'sack', 'pitcher', 'garage', 'bar']",False
blind,bedroom,bedroom,"['beehive', 'bed', 'briefcase', 'bedroom', 'palace']",True
blouse,suitcase,locker,"['bowl', 'locker', 'butt', 'suitcase', 'tea room']",False
board game,childs room,furniture,"['bed', 'most rooms', 'different room', 'furniture', 'childs room']",False
boat,bay,bay,"['bay', 'quiver', ""men's restroom"", 'every bedroom', 'pantry']",True
boater,boat,boat,"['dining room', 'boat', 'stand', ""person's living room"", 'place']",True
bolt,jar,jar,"['garbage', 'bundle', 'jar', 'package', 'den']",True
book,living room,living room,"['locker', 'bike', 'aquarium', 'garden', 'living room']",True
bookcase,den,bookshelf,"['nest', 'den', 'bookshelf', 'pot', 'hospital drug storeroom']",False
bookend,utility room,every bedroom,"['glass', 'larder', 'utility room', 'every bedroom', 'bathroom drawer']",False
bookshelf,bedroom,bedroom,"['hamper', 'boot', 'toaster', 'bedroom', 'teapot']",True
boot,living room,living room,"['belfry', 'one room flat', 'living room', 'floor', 'tin']",True
booze,bar,bar,"['hive', 'bar', 'mailbox', 'hall', 'small room']",True
bottle,kitchen,kitchen,"['dumpster', 'briefcase', 'waiting room', 'kitchen', 'floor']",True
bourbon,barrel,barrel,"['barrel', 'bathtub', 'tin', 'card room', 'sofa']",True
bowl,kitchen,kitchen,"['kitchen', 'locker', 'grand ballroom', 'backyard', 'packet']",True
box,bedroom,bedroom,"['anor room', 'bedroom', 'bath', 'drawer', 'bottle']",True
bra,drawer,drawer,"['drawer', 'guest room', 'pot', 'bath', 'cat']",True
brain,head,head,"['bowl', 'head', 'keg', 'beehive', 'every bedroom']",True
brandy,bar,bar,"['grand ballroom', 'microwave', 'waiting room', 'bar', 'tank']",True
bread,kitchen,kitchen,"['machine', 'closet', 'dining room', 'kitchen', 'corridor']",True
breakfast,table,table,"['garbage', 'childs room', 'machine', 'parlor', 'table']",True
broccoli,oven,packet,"['tin', 'truck', 'oven', 'packet', 'most rooms']",False
broiler,oven,oven,"['broom closet', 'motorbike', 'pot', 'cellar', 'oven']",True
