object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,palace,"['car', 'suitcase', 'palace', 'laundry room', 'pantry room']",False
adjustable wrench,bedroom,loft,"['loft', 'press', 'cat', 'glass', 'bedroom']",False
alarmclock,bedroom,bedroom,"['bedroom', 'different room', 'larder', ""child's room"", 'attic']",True
aluminumfoil,kitchen,kitchen,"['exercise room', ""prostitute's bedroom"", 'bathroom cabinet', 'kitchen', 'lamp']",True
android figure,corridor,separate room,"['corridor', 'separate room', 'chest', 'teapot', 'castle']",False
anti slip tape,exercise room,side of the room,"[""children's room"", 'home', 'icebox', 'exercise room', 'side of the room']",False
antidepressant,pantry room,larder,"['larder', 'bundle', 'pantry room', 'laundry room', 'motel room']",False
antique,attic,attic,"['attic', 'court', 'hall', 'pot', 'butt']",True
apple,kitchen,kitchen,"['cup', 'bus', 'loft', 'kitchen', 'furniture']",True
applesauce,jar,jar,"['engine', 'teapot', 'dishwasher', 'sack', 'jar']",True
appliance,home,home,"['chest', 'home', 'backyard', 'dining room', 'hamper']",True
apricot,table,table,"['bar', 'tea room', 'bike', 'bathroom', 'table']",True
armchair,bedroom,bedroom,"['suitcase', 'bedroom', 'ir rooms', 'basket', 'classroom']",True
armoire,living room,living room,"['hospital drug storeroom', 'music room', 'living room', 'cabin', 'vault']",True
armrest,car,car,"['car', 'room of the house', 'purse', 'childs room', 'wallet']",True
arrow,quiver,quiver,"['quiver', 'restroom', 'oven', 'can', 'container']",True
artichoke,refrigerator,refrigerator,"[""teenager's bedroom"", 'range', 'refrigerator', 'bookshelf', 'freezer']",True
article,press,drawer,"[' middle of the room', 'way', 'drawer', 'ambulance', 'press']",False
ashtray,house,storage room,"['guest room', 'orchestra', 'house', 'storage room', 'basket']",False
asparagus,oven,pantry room,"['pantry room', ""cash's room"", 'stand', 'glass', 'oven']",False
atm,bank,bank,"['palace', 'bathroom', 'dining room', 'palace', 'bank']",True
attic,home,none,"['bank', 'home', 'family room', 'dresser', 'deck']",False
backpack,storage room,storage room,"['loungeroom', 'pantry', 'storage room', 'barrel', ""children's room""]",True
bacon,oven,oven,"['oven', 'briefcase', 'butt', 'art classroom', 'classroom']",True
balancing cactus,television room,small room,"['small room', 'pocket', 'locker', 'small room', 'television room']",False
ball,sack,truck,"['truck', 'sack', 'bathtub', 'ambulance', 'motorbike']",False
balustrade,grand ballroom,grand ballroom,"['classroom', 'motel room', 'grand ballroom', 'camp', 'storage room']",True
banana,closet,plate,"['small room', 'castle', 'closet', 'plate', 'bathroom drawer']",False
bar,oven,stand,"['backyard', 'oven', 'stand', 'bookshelf', 'side of the room']",False
baseball,lobby,court,"['lobby', 'glass', 'band room', 'court', 'livingroom']",False
baseballbat,bedroom,den,"['bedroom', 'hive', 'container', 'sink', 'den']",False
basil,garden,jar,"['bunk', 'bicycle', 'quiver', 'jar', 'garden']",False
basketball,bedroom,card room,"['cabinet', 'card room', 'bedroom', 'mailbox', 'jacket']",False
bat,attic,attic,"['butt', 'range', 'attic', 'different room', 'carton']",True
bath sheet,bedroom,bedroom,"['broom closet', 'tea room', 'bedroom', 'vault', 'shelf']",True
bathtub,bathroom,bathroom,"['shoe', 'fridge', 'separate room', 'dresser', 'bathroom']",True
bathtubbasin,bathroom,bathroom,"['bathroom', 'package', 'nest', 'tin', 'barrel']",True
batter,box,freezer,"['livingroom', 'place', 'freezer', 'can', 'box']",False
battery,childs room,childs room,"['childs room', 'bus', 'plate', 'backyard', 'floor']",True
beacon,range,range,"['range', 'loft', 'utility room', 'tin', 'cruet']",True
beanbag,child's bedroom,child's bedroom,"['chest', 'hatbox', 'briefcase', 'barrel', ""child's bedroom""]",True
beard color gel,utility room,utility room,"[' middle of the room', 'utility room', 'study', 'deck', 'tin']",True
beauty pack,utility room,utility room,"['study', 'palace', 'utility room', 'house', 'backyard']",True
bed,bedroom,bedroom,"['dishwasher', 'bedroom drawer', 'packet', 'pod', 'bedroom']",True
bedroom,dwelling,dwelling,"['dwelling', 'range', 'refrigerator', 'sack', 'class room']",True
beer,can,can,"['engine', 'most rooms', 'sofa', 'can', 'engine']",True
beet,can,container,"['foyer', 'toaster', 'can', 'loungeroom', 'container']",False
belt,closet,closet,"['jacket', 'hall', 'childs room', 'most rooms', 'closet']",True
beverage,bottle,bottle,"['parlor', ""prostitute's bedroom"", 'bottle', 'case', 'dining room']",True
binoculars,suitcase,belfry,"['belfry', 'shelf', 'quiver', 'suitcase', 'kitchen or bathroom']",False
biscuit,oven,children's room,"['dumpster', ""children's room"", 'oven', 'stove', 'mansion']",False
blanket,closet,closet,"['dimly lit room', 'wallet', 'hive', 'closet', 'toolbox']",True
bleach cleanser,bathroom,bathroom,"['attic', 'bathroom', 'jar', 'motel room', ""children's room""]",True
blender,kitchen,kitchen,"['living rooms', 'kitchen', 'package', 'wardrobe', 'hotel room']",True
blender jar,garage,pantry,"['pantry', 'garage', 'sack', 'bar', 'pitcher']",False
blind,bedroom,bedroom,"['bedroom', 'briefcase', 'palace', 'bed', 'beehive']",True
blouse,suitcase,locker,"['butt', 'bowl', 'locker', 'suitcase', 'tea room']",False
board game,childs room,childs room,"['different room', 'bed', 'childs room', 'furniture', 'most rooms']",True
boat,bay,bay,"['bay', 'quiver', 'pantry', ""men's restroom"", 'every bedroom']",True
boater,boat,boat,"['boat', 'stand', ""person's living room"", 'place', 'dining room']",True
bolt,jar,jar,"['jar', 'garbage', 'package', 'bundle', 'den']",True
book,living room,living room,"['bike', 'living room', 'garden', 'locker', 'aquarium']",True
bookcase,den,bookshelf,"['pot', 'hospital drug storeroom', 'bookshelf', 'den', 'nest']",False
