question,full_answer,final_answer,correct_answer
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: action figure
Locations: suitcase, car, palace, pantry room, laundry room
Your Choice:",suitcase,suitcase,pantry room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: adjustable wrench
Locations: bedroom, glass, cat, loft, press
Your Choice:",loft,loft,bedroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: alarmclock
Locations: larder, attic, different room, bedroom, child's room
Your Choice:",bedroom,bedroom,bedroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: aluminumfoil
Locations: prostitute's bedroom, kitchen, bathroom cabinet, lamp, exercise room
Your Choice:",kitchen,kitchen,kitchen
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: android figure
Locations: castle, corridor, chest, teapot, separate room
Your Choice:",corridor,corridor,corridor
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: anti slip tape
Locations: side of the room, exercise room, children's room, icebox, home
Your Choice:",exercise room,exercise room,exercise room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: antidepressant
Locations: larder, pantry room, laundry room, motel room, bundle
Your Choice:",motel room,motel room,pantry room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: antique
Locations: butt, attic, pot, hall, court
Your Choice:",attic,attic,attic
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: apple
Locations: cup, kitchen, loft, bus, furniture
Your Choice:",kitchen,kitchen,kitchen
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: applesauce
Locations: dishwasher, sack, teapot, jar, engine
Your Choice:",jar,jar,jar
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: appliance
Locations: chest, dining room, backyard, home, hamper
Your Choice:",home,home,home
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: apricot
Locations: bike, bar, bathroom, table, tea room
Your Choice:",table,table,table
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: armchair
Locations: classroom, ir rooms, basket, suitcase, bedroom
Your Choice:",bedroom,bedroom,bedroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: armoire
Locations: living room, music room, vault, cabin, hospital drug storeroom
Your Choice:",living room,living room,living room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: armrest
Locations: childs room, room of the house, car, wallet, purse
Your Choice:",child's room,None,car
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: arrow
Locations: quiver, container, can, oven, restroom
Your Choice:",quiver,quiver,quiver
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: artichoke
Locations: refrigerator, bookshelf, freezer, range, teenager's bedroom
Your Choice:",refrigerator,refrigerator,refrigerator
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: article
Locations: way, ambulance, press, drawer,  middle of the room
Your Choice:",drawer,drawer,press
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: ashtray
Locations: house, orchestra, storage room, basket, guest room
Your Choice:",storage room,storage room,house
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: asparagus
Locations: glass, pantry room, oven, stand, cash's room
Your Choice:",pantry room,pantry room,oven
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: atm
Locations: bank, dining room, bathroom, palace, palace
Your Choice:",bank,bank,bank
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: attic
Locations: bank, deck, family room, home, dresser
Your Choice:",home,home,home
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: backpack
Locations: children's room, loungeroom, storage room, pantry, barrel
Your Choice:",children's room,children's room,storage room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: bacon
Locations: classroom, briefcase, oven, art classroom, butt
Your Choice:",oven,oven,oven
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: balancing cactus
Locations: pocket, small room, small room, locker, television room
Your Choice:",small room,small room,television room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: ball
Locations: motorbike, sack, truck, ambulance, bathtub
Your Choice:",sack,sack,sack
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: balustrade
Locations: grand ballroom, camp, motel room, storage room, classroom
Your Choice:",storage room,storage room,grand ballroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: banana
Locations: closet, bathroom drawer, small room, castle, plate
Your Choice:",plate,plate,closet
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: bar
Locations: bookshelf, oven, backyard, side of the room, stand
Your Choice:",stand,stand,oven
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: baseball
Locations: lobby, court, glass, livingroom, band room
Your Choice:",court,court,lobby
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: baseballbat
Locations: container, den, hive, sink, bedroom
Your Choice:",den,den,bedroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: basil
Locations: quiver, bicycle, jar, garden, bunk
Your Choice:",garden,garden,garden
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: basketball
Locations: cabinet, bedroom, card room, mailbox, jacket
Your Choice:",card room,card room,bedroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: bat
Locations: attic, carton, range, different room, butt
Your Choice:",attic,attic,attic
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: bath sheet
Locations: broom closet, vault, tea room, shelf, bedroom
Your Choice:",bedroom,bedroom,bedroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: bathtub
Locations: fridge, dresser, bathroom, separate room, shoe
Your Choice:",bathroom,bathroom,bathroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: bathtubbasin
Locations: barrel, nest, package, bathroom, tin
Your Choice:",bathroom,bathroom,bathroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: batter
Locations: freezer, box, livingroom, place, can
Your Choice:",freezer,freezer,box
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: battery
Locations: bus, childs room, plate, floor, backyard
Your Choice:",childs room,childs room,childs room
