object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,suitcase,"['laundry room', 'pantry room', 'suitcase', 'car', 'palace']",False
adjustable wrench,bedroom,loft,"['press', 'loft', 'cat', 'glass', 'bedroom']",False
alarmclock,bedroom,bedroom,"['different room', 'bedroom', 'attic', ""child's room"", 'larder']",True
aluminumfoil,kitchen,kitchen,"['bathroom cabinet', ""prostitute's bedroom"", 'exercise room', 'kitchen', 'lamp']",True
android figure,corridor,chest,"['corridor', 'separate room', 'teapot', 'castle', 'chest']",False
anti slip tape,exercise room,exercise room,"['icebox', ""children's room"", 'side of  room', 'home', 'exercise room']",True
antidepressant,pantry room,larder,"['motel room', 'pantry room', 'bundle', 'larder', 'laundry room']",False
antique,attic,attic,"['butt', 'court', 'attic', 'pot', 'hall']",True
apple,kitchen,kitchen,"['kitchen', 'loft', 'bus', 'cup', 'furniture']",True
applesauce,jar,jar,"['sack', 'engine', 'dishwasher', 'teapot', 'jar']",True
appliance,home,dining room,"['chest', 'hamper', 'dining room', 'home', 'backyard']",False
apricot,table,table,"['table', 'tea room', 'bar', 'bathroom', 'bike']",True
armchair,bedroom,bedroom,"['bedroom', 'ir rooms', 'basket', 'suitcase', 'classroom']",True
armoire,living room,living room,"['hospital drug storeroom', 'cabin', 'living room', 'music room', 'vault']",True
armrest,car,room of house,"['childs room', 'purse', 'room of house', 'car', 'wallet']",False
arrow,quiver,quiver,"['quiver', 'restroom', 'can', 'container', 'oven']",True
artichoke,refrigerator,refrigerator,"[""teenager's bedroom"", 'refrigerator', 'freezer', 'bookshelf', 'range']",True
article,press,drawer,"['middle of  room', 'way', 'press', 'drawer', 'ambulance']",False
ashtray,house,storage room,"['basket', 'storage room', 'guest room', 'house', 'orchestra']",False
asparagus,oven,pantry room,"['glass', 'pantry room', 'oven', ""cash's room"", 'stand']",False
