task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['drill', 'shampoo', 'alligator wrench', 'kri', 'sponge']",True
drying the dishes,absorb,sponge,sponge,"['sponge', 'tack hammer', 'strickle', 'hunting knife', 'toothpick']",True
removing moisture,absorb,sponge,sponge,"['soapbottle', 'peppershaker', 'steak knife', 'potato', 'sponge']",True
reheating coffee,be heated,pan,pan,"['tap wrench', 'pan', 'power saw', 'footstool', 'desk lamp']",True
cooking a fried egg,be heated,cup,cup,"['toilet paper', 'counterbore', 'hand drill', 'hayfork', 'cup']",True
cooking an omelette,be heated,pan,pan,"[""croupier's rake"", 'pan', 'fork', 'common ax', 'kirpan']",True
reheating soup,be heated,kettle,kettle,"['roach clip', 'neolith', 'cloth', 'kettle', 'punch']",True
boiling water,be heated,plate,tamp,"['plate', 'toiletpaper', 'laundryhamper', 'tamp', 'lightbulb']",False
decorating a room,beautify,steel wool pad,drawer,"['steel wool pad', 'coffee', 'soda can', 'axe', 'drawer']",False
arranging flowers,beautify,abrader,basket ball,"['opener', 'abrader', 'arm chair', 'basket ball', 'creditcard']",False
painting walls,beautify,rat tail file,allen wrench,"['vacuumcleaner', 'vase', 'rat tail file', 'tomato', 'allen wrench']",False
applying make-up,beautify,nailfile,handstamp,"['nailfile', 'corkscrew', 'dogbed', 'ravehook', 'handstamp']",False
shaping wire,bend,bender,bender,"['spreader', 'bender', 'pipe wrench', 'drawknife', 'ax']",True
adjusting blinds,bend,bender,breadknife,"['bender', 'hacksaw', 'food jar', 'garden trowel', 'breadknife']",False
fitting flexible piping,bend,saw set,bit,"['saw set', 'circular plane', 'bit', 'pruning saw', 'scraper']",False
installing shelves,bore,bucksaw,bucksaw,"['shampoo', 'ax', 'coffee machine', 'bucksaw', 'drawer']",True
hanging pictures,bore,straight flute,set square,"['straight flute', 'set square', 'jack plane', 'desk lamp', 'stamp']",False
assembling furniture,bore,router,hammer,"['router', 'chamfer plane', 'hammer', 'crown saw', 'stapler']",False
preparing food,break,jigsaw,steak knife,"['soap bar', 'jigsaw', 'steel wool pad', 'lightbulb', 'steak knife']",False
opening packaging,break,folding saw,bender,"['shovel', 'abrading stone', 'folding saw', 'bulldog wrench', 'bender']",False
breaking apart food items,break,bottle,hand ax,"['o ring', 'potato', 'hand ax', 'bottle', 'cigar cutter']",False
serving food,carry,vase,shaping tool,"['egg', 'vase', 'water bottle', 'shaping tool', 'window']",False
transporting liquids,carry,mug,mug,"['mug', 'bread knife', 'fridge', 'spud', 'straight flute']",True
serving a dish,carry,watering can,opener,"['catling', 'try square', 'combination plane', 'watering can', 'opener']",False
watering plants,carry,plate,tap,"['try square', 'tap', 'dibble', 'spiral ratchet screwdriver', 'plate']",False
decorating pumpkins,carve,yataghan,plastic box,"['bathtubbasin', 'taper file', 'yataghan', 'sawmill', 'plastic box']",False
preparing meat,carve,tableknife,tableknife,"['shaver', 'wire cutter', 'grapnel', 'tableknife', 'showerdoor']",True
crafting with wood,carve,barong,gouge,"['salt', 'bullnose', 'room decor', 'gouge', 'barong']",False
replacing light bulbs,change,signet,portable saw,"['pruning saw', 'pitchfork', 'signet', 'clincher', 'portable saw']",False
changing bed sheets,change,ram,razor,"['drawer', 'crosscut saw', 'razor', 'ram', 'toothpick']",False
swapping out filters,change,rock bit,stool,"['stool', 'rock bit', 'broadax', 'rat tail file', 'plexor.n.wn.medicine']",False
preparing cooking ingredients,chop,half hatchet,butcher knife,"['half hatchet', 'butcher knife', 'pruning shear', 'steel wool pad', 'bread']",False
cutting meat,chop,claw hatchet,barong,"['barong', 'claw hatchet', 'blind', 'rounder', 'lightbulb']",False
making firewood,chop,fireman's ax,fireman's ax,"['case knife', ""fireman's ax"", 'coffeetable', 'bread knife', 'chisel']",True
washing dishes,clean,vaccum cleaner,brick trowel,"['potato', 'vaccum cleaner', 'common ax', 'dovetail plane', 'brick trowel']",False
throwing away uneaten food,clean,tableknife,tableknife,"['coffeetable', 'tableknife', 'pruning knife', 'trench knife', 'eolith']",True
cleaning spilled milk,clean,jigsaw,ladle,"['battering ram', 'jigsaw', 'lancet', 'ladle', 'grapnel']",False
cleaning the mirror,clean,vaccum cleaner,razor,"['razor', 'bodkin', 'vaccum cleaner', 'desk lamp', 'square']",False
cleaning the fridge,clean,saber saw,spray bottle,"['spade bit', 'oven', 'spray bottle', 'saber saw', 'showerhead']",False
cleaning the blinds,clean,bandsaw,lancet,"['floorlamp', 'bandsaw', 'drilling bit', 'plunger', 'lancet']",False
cleaning the shower head,clean,towel,towel,"['camera', 'towel', 'vaccum cleaner', 'binder', 'head gasket']",True
dusting the statue,clean,power tool,toilet paper,"['alarm clock', 'toilet paper', 'power tool', 'food cup', 'chair']",False
cleaning the toilet,clean,portable saw,spray bottle,"['drilling bit', 'floor', 'spray bottle', 'plexor.n.wn.medicine', 'portable saw']",False
cleaning the floor,clean,power saw,basket ball,"['power saw', 'ottoman', 'basket ball', 'bowie knife', 'square']",False
washing your face,clean,electric hammer,floor lamp,"['ice ax', 'floor lamp', 'bolt cutter', 'electric hammer', 'pruning saw']",False
watching a movie,comfort,chair,chair,"['hook wrench', 'desk', 'towelholder', 'electric drill', 'chair']",True
setting up bedding,comfort,ottoman,tabletopdecor,"['ottoman', 'sponge', 'hedge trimmer', 'tabletopdecor', 'to go cup']",False
choosing a comfortable seat,comfort,ottoman,ottoman,"['ottoman', 'garden spade', 'power mower', 'scrub brush', 'buffer']",True
storing clothes,compress,stemmer,o ring,"['phillips screwdriver', 'nailfile', 'stemmer', 'o ring', 'steel wool pad']",False
reducing space in bin,compress,stemmer,stemmer,"['stemmer', 'remote control', 'comb', 'bucksaw', 'desktop']",True
preparing food,compress,stemmer,handsaw,"['stemmer', 'rammer', 'burin', 'bread', 'handsaw']",False
storing food,contain,fish knife,microwave,"['microwave', 'fish knife', 'poniard', 'switchblade', 'steel wool pad']",False
measuring liquids,contain,butter knife,cell phone,"['butter knife', 'wrench', 'weeder', 'pitchfork', 'cell phone']",False
managing waste,contain,tray,tray,"['baseballbat', 'slick', 'tray', 'arm chair', 'scraper']",True
being filled with a liquid,contain,table knife,table knife,"['crosscut saw', 'lochaber ax', 'flat file', 'table knife', 'cigar cutter']",True
adjusting device settings,control,handsaw,pointing trowel,"['pot', 'tennis racket', 'pointing trowel', 'common ax', 'handsaw']",False
managing lighting,control,electric hammer,buffer,"['machete', 'plane', 'buffer', 'pick', 'electric hammer']",False
operating appliances,control,compass saw,toiletpaperhanger,"['toilet paper', 'bender', 'dagger', 'compass saw', 'toiletpaperhanger']",False
keeping food from going bad,cool,drum sander,microwave,"['scraper', 'scythe', 'side table', 'drum sander', 'microwave']",False
freezing food,cool,drum sander,seal,"['garden spade', 'rounder', 'drum sander', 'seal', 'bathtub']",False
making ice,cool,drum sander,counter top,"['abrader', 'counter top', 'drum sander', 'battering ram', ""croupier's rake""]",False
