object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,suitcase,"['car', 'palace', 'laundry room', 'suitcase', 'pantry room']",False
adjustable wrench,bedroom,loft,"['bedroom', 'cat', 'loft', 'press', 'glass']",False
alarmclock,bedroom,bedroom,"['attic', 'bedroom', ""child's room"", 'different room', 'larder']",True
aluminumfoil,kitchen,kitchen,"['exercise room', 'kitchen', ""prostitute's bedroom"", 'lamp', 'bathroom cabinet']",True
android figure,corridor,separate room,"['corridor', 'chest', 'separate room', 'castle', 'teapot']",False
anti slip tape,exercise room,exercise room,"['home', ""children's room"", 'icebox', 'side of the room', 'exercise room']",True
antidepressant,pantry room,larder,"['motel room', 'bundle', 'pantry room', 'laundry room', 'larder']",False
antique,attic,hall,"['pot', 'butt', 'attic', 'court', 'hall']",False
apple,kitchen,kitchen,"['bus', 'kitchen', 'loft', 'furniture', 'cup']",True
applesauce,jar,jar,"['engine', 'teapot', 'jar', 'sack', 'dishwasher']",True
appliance,home,home,"['dining room', 'home', 'hamper', 'backyard', 'chest']",True
apricot,table,tea room,"['bathroom', 'tea room', 'table', 'bar', 'bike']",False
armchair,bedroom,bedroom,"['classroom', 'basket', 'ir rooms', 'bedroom', 'suitcase']",True
armoire,living room,living room,"['cabin', 'hospital drug storeroom', 'vault', 'music room', 'living room']",True
armrest,car,car,"['wallet', 'room of the house', 'childs room', 'car', 'purse']",True
arrow,quiver,quiver,"['quiver', 'oven', 'container', 'restroom', 'can']",True
artichoke,refrigerator,refrigerator,"['refrigerator', 'bookshelf', 'freezer', 'range', ""teenager's bedroom""]",True
article,press,drawer,"['way', 'ambulance', ' middle of the room', 'drawer', 'press']",False
ashtray,house,guest room,"['orchestra', 'storage room', 'guest room', 'basket', 'house']",False
asparagus,oven,pantry room,"['pantry room', 'stand', 'glass', ""cash's room"", 'oven']",False
atm,bank,bank,"['palace', 'bank', 'palace', 'dining room', 'bathroom']",True
attic,home,home,"['home', 'family room', 'deck', 'dresser', 'bank']",True
