task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['kri', 'drill', 'alligator wrench', 'sponge', 'shampoo']",True
drying the dishes,absorb,sponge,sponge,"['hunting knife', 'sponge', 'toothpick', 'tack hammer', 'strickle']",True
removing moisture,absorb,sponge,sponge,"['soapbottle', 'potato', 'sponge', 'steak knife', 'peppershaker']",True
reheating coffee,be heated,pan,pan,"['desk lamp', 'footstool', 'power saw', 'tap wrench', 'pan']",True
cooking a fried egg,be heated,cup,cup,"['hayfork', 'counterbore', 'hand drill', 'toilet paper', 'cup']",True
cooking an omelette,be heated,pan,pan,"['kirpan', ""croupier's rake"", 'fork', 'common ax', 'pan']",True
reheating soup,be heated,kettle,kettle,"['neolith', 'cloth', 'roach clip', 'punch', 'kettle']",True
boiling water,be heated,plate,none,"['plate', 'lightbulb', 'tamp', 'laundryhamper', 'toiletpaper']",False
decorating a room,beautify,steel wool pad,steel wool pad,"['soda can', 'axe', 'drawer', 'coffee', 'steel wool pad']",True
arranging flowers,beautify,abrader,none,"['creditcard', 'abrader', 'arm chair', 'opener', 'basket ball']",False
painting walls,beautify,rat tail file,vacuum cleaner,"['vacuum cleaner', 'allen wrench', 'tomato', 'vase', 'rat tail file']",False
applying make-up,beautify,nailfile,none,"['corkscrew', 'handstamp', 'dogbed', 'nailfile', 'ravehook']",False
shaping wire,bend,bender,bender,"['ax', 'drawknife', 'pipe wrench', 'spreader', 'bender']",True
adjusting blinds,bend,bender,bender,"['breadknife', 'hacksaw', 'food jar', 'garden trowel', 'bender']",True
fitting flexible piping,bend,saw set,bit,"['scraper', 'pruning saw', 'saw set', 'bit', 'circular plane']",False
installing shelves,bore,bucksaw,bucksaw,"['ax', 'shampoo', 'bucksaw', 'drawer', 'coffee machine']",True
hanging pictures,bore,straight flute,set square,"['stamp', 'straight flute', 'desk lamp', 'set square', 'jack plane']",False
assembling furniture,bore,router,hammer,"['stapler', 'crown saw', 'hammer', 'router', 'chamfer plane']",False
preparing food,break,jigsaw,steak knife,"['lightbulb', 'soap bar', 'steak knife', 'jigsaw', 'steel wool pad']",False
opening packaging,break,folding saw,folding saw,"['shovel', 'folding saw', 'abrading stone', 'bender', 'bulldog wrench']",True
breaking apart food items,break,bottle,hand ax,"['potato', 'bottle', 'hand ax', 'o ring', 'cigar cutter']",False
serving food,carry,vase,egg,"['shaping tool', 'water bottle', 'window', 'vase', 'egg']",False
transporting liquids,carry,mug,mug,"['fridge', 'mug', 'spud', 'straight flute', 'bread knife']",True
serving a dish,carry,watering can,catling,"['watering can', 'try square', 'opener', 'combination plane', 'catling']",False
watering plants,carry,plate,tap,"['plate', 'tap', 'spiral ratchet screwdriver', 'try square', 'dibble']",False
decorating pumpkins,carve,yataghan,plastic box,"['sawmill', 'plastic box', 'yataghan', 'bathtubbasin', 'taper file']",False
preparing meat,carve,tableknife,tableknife,"['grapnel', 'shaver', 'wire cutter', 'showerdoor', 'tableknife']",True
crafting with wood,carve,barong,gouge,"['barong', 'bullnose', 'room decor', 'salt', 'gouge']",False
replacing light bulbs,change,signet,clincher,"['clincher', 'pruning saw', 'pitchfork', 'signet', 'portable saw']",False
changing bed sheets,change,ram,toothpick,"['razor', 'drawer', 'ram', 'crosscut saw', 'toothpick']",False
swapping out filters,change,rock bit,stool,"['rock bit', 'stool', 'plexor.n.wn.medicine', 'rat tail file', 'broadax']",False
preparing cooking ingredients,chop,half hatchet,butcher knife,"['bread', 'steel wool pad', 'half hatchet', 'butcher knife', 'pruning shear']",False
cutting meat,chop,claw hatchet,barong,"['blind', 'claw hatchet', 'barong', 'rounder', 'lightbulb']",False
making firewood,chop,fireman's ax,fireman's ax,"['case knife', 'chisel', ""fireman's ax"", 'coffeetable', 'bread knife']",True
washing dishes,clean,vaccum cleaner,potato,"['vaccum cleaner', 'dovetail plane', 'common ax', 'brick trowel', 'potato']",False
throwing away uneaten food,clean,tableknife,tableknife,"['eolith', 'tableknife', 'coffeetable', 'pruning knife', 'trench knife']",True
cleaning spilled milk,clean,jigsaw,ladle,"['lancet', 'battering ram', 'jigsaw', 'ladle', 'grapnel']",False
cleaning the mirror,clean,vaccum cleaner,none,"['vaccum cleaner', 'square', 'desk lamp', 'razor', 'bodkin']",False
cleaning the fridge,clean,saber saw,spray bottle,"['saber saw', 'showerhead', 'spade bit', 'oven', 'spray bottle']",False
cleaning the blinds,clean,bandsaw,floorlamp,"['plunger', 'bandsaw', 'drilling bit', 'floorlamp', 'lancet']",False
cleaning the shower head,clean,towel,towel,"['binder', 'towel', 'head gasket', 'vaccum cleaner', 'camera']",True
dusting the statue,clean,power tool,chair,"['chair', 'power tool', 'toilet paper', 'food cup', 'alarm clock']",False
cleaning the toilet,clean,portable saw,spray bottle,"['drilling bit', 'spray bottle', 'plexor.n.wn.medicine', 'portable saw', 'floor']",False
cleaning the floor,clean,power saw,none,"['square', 'ottoman', 'power saw', 'basket ball', 'bowie knife']",False
washing your face,clean,electric hammer,none,"['floor lamp', 'pruning saw', 'electric hammer', 'bolt cutter', 'ice ax']",False
watching a movie,comfort,chair,chair,"['electric drill', 'towelholder', 'chair', 'desk', 'hook wrench']",True
setting up bedding,comfort,ottoman,none,"['sponge', 'ottoman', 'to go cup', 'tabletopdecor', 'hedge trimmer']",False
choosing a comfortable seat,comfort,ottoman,ottoman,"['scrub brush', 'ottoman', 'garden spade', 'buffer', 'power mower']",True
