Task,Mobile?,Arms,DoFs,Gripper Config,Rigid Gripper?,Can execute?
add a fourth tile to the word,False,1,7,Robot Grippers with 2 Fingers,True,True
add a fourth tile to the word,False,1,1,No specified Gripper,True,False
adjust the desk lamp,False,1,6,No specified Gripper,True,True
adjust the desk lamp,False,1,1,No specified Gripper,True,False
align the blue towel with the plate,False,1,7,Robot Grippers with 2 Fingers,True,True
align the blue towel with the plate,False,1,1,No specified Gripper,True,False
align the rope along the ridge of the black object,False,1,7,Robot Grippers with 2 Fingers,True,True
align the rope along the ridge of the black object,False,1,1,No specified Gripper,True,False
arrange shoes,False,1,6,No specified Gripper,True,True
arrange shoes,False,1,1,No specified Gripper,True,False
arrange sofa,False,1,6,No specified Gripper,True,True
arrange sofa,False,1,1,No specified Gripper,True,False
arrange some of the bottle on the counter,False,0,6,No specified Gripper,True,True
arrange some of the bottle on the counter,False,1,1,No specified Gripper,True,False
arrange the black objects on the table,False,1,7,Robot Grippers with 2 Fingers,True,True
arrange the black objects on the table,False,1,1,No specified Gripper,True,False
arrange the black objects together,False,1,7,Robot Grippers with 2 Fingers,True,True
arrange the black objects together,False,1,1,No specified Gripper,True,False
arrange the cups,False,1,7,Robot Grippers with 2 Fingers,True,True
arrange the cups,False,1,1,No specified Gripper,True,False
assemble: attach the bubble ring to the ball,False,1,6,Robot Grippers with 2 Fingers,True,True
assemble: attach the bubble ring to the ball,False,1,1,No specified Gripper,True,False
attach the three piece lego to the stack of lego's,False,1,7,Robot Grippers with 2 Fingers,True,True
attach the three piece lego to the stack of lego's,False,1,1,No specified Gripper,True,False
bad. place the pan onto the stove.,False,0,6,No specified Gripper,True,True
bad. place the pan onto the stove.,False,1,1,No specified Gripper,True,False
bring bat from the wall to the bed.,False,1,6,No specified Gripper,False,True
bring bat from the wall to the bed.,False,1,1,No specified Gripper,True,False
bring the bowl to the counter.,False,1,6,No specified Gripper,True,True
bring the bowl to the counter.,False,1,1,No specified Gripper,True,False
bring the mug closer to the edge,False,1,7,Robot Grippers with 2 Fingers,True,True
bring the mug closer to the edge,False,1,1,No specified Gripper,True,False
bring two bottles to the toilet tank,False,0,6,No specified Gripper,False,True
bring two bottles to the toilet tank,False,1,1,No specified Gripper,True,False
bring two sets of keys to the coffee table,False,1,6,No specified Gripper,False,True
bring two sets of keys to the coffee table,False,1,1,No specified Gripper,True,False
browse internet,True,2,6,No specified Gripper,False,True
browse internet,False,1,1,No specified Gripper,True,False
brush teeth,True,2,6,No specified Gripper,False,True
brush teeth,False,1,1,No specified Gripper,True,False
carry a blue pillow while turning on a lamp,False,1,6,No specified Gripper,False,True
carry a blue pillow while turning on a lamp,False,1,1,No specified Gripper,True,False
carry a box while turning on a lamp,False,1,6,No specified Gripper,False,True
carry a box while turning on a lamp,False,1,1,No specified Gripper,True,False
"carry a computer to the lamp, turn the lamp off",False,0,6,No specified Gripper,False,True
"carry a computer to the lamp, turn the lamp off",False,1,1,No specified Gripper,True,False
carry a laptop to turn on a lamp.,False,1,6,No specified Gripper,False,True
carry a laptop to turn on a lamp.,False,1,1,No specified Gripper,True,False
carry a plate while turning on a lamp,False,1,6,No specified Gripper,False,True
carry a plate while turning on a lamp,False,1,1,No specified Gripper,True,False
carry a remote to the ottoman,False,1,6,No specified Gripper,False,True
carry a remote to the ottoman,False,1,1,No specified Gripper,True,False
carry a tennis racket while turning on a light,False,1,6,No specified Gripper,False,True
carry a tennis racket while turning on a light,False,1,1,No specified Gripper,True,False
carry a vase while turning on a lamp,False,1,6,No specified Gripper,False,True
carry a vase while turning on a lamp,False,1,1,No specified Gripper,True,False
carry a watch while turning on a lamp,False,0,6,No specified Gripper,False,True
carry a watch while turning on a lamp,False,1,1,No specified Gripper,True,False
change sheets on bed,True,2,6,No specified Gripper,False,True
change sheets on bed,False,1,1,No specified Gripper,True,False
change the position of the cup on the cup holder,False,1,7,Robot Grippers with 2 Fingers,True,True
change the position of the cup on the cup holder,False,1,1,No specified Gripper,True,False
change the position of the donut on the counter,False,1,7,Robot Grippers with 2 Fingers,True,True
change the position of the donut on the counter,False,1,1,No specified Gripper,True,False
change the position of the marker to face across the table,False,1,7,Robot Grippers with 2 Fingers,True,True
change the position of the marker to face across the table,False,1,1,No specified Gripper,True,False
change the position of the object and put it horizontally along the table,False,1,7,Robot Grippers with 2 Fingers,True,True
change the position of the object and put it horizontally along the table,False,1,1,No specified Gripper,True,False
change the position of the object in the orange bowl,False,1,7,Robot Grippers with 2 Fingers,True,True
change the position of the object in the orange bowl,False,1,1,No specified Gripper,True,False
change toothbrush,False,1,6,No specified Gripper,True,True
change toothbrush,False,1,1,No specified Gripper,True,False
change tv channel,True,2,6,No specified Gripper,False,True
change tv channel,False,1,1,No specified Gripper,True,False
check appearance in mirror,True,2,6,No specified Gripper,False,True
check appearance in mirror,False,1,1,No specified Gripper,True,False
chill a clear bowl in the fridge to put on the kitchen counter.,True,1,6,No specified Gripper,False,True
chill a clear bowl in the fridge to put on the kitchen counter.,False,1,1,No specified Gripper,True,False
chill a cooked slice of potato,False,1,6,No specified Gripper,False,True
chill a cooked slice of potato,False,1,1,No specified Gripper,True,False
chill a cup and place it in the lower cupboard,False,0,6,No specified Gripper,False,True
chill a cup and place it in the lower cupboard,False,1,1,No specified Gripper,True,False
chill a cup and place it in the microwave.,False,1,6,No specified Gripper,False,True
chill a cup and place it in the microwave.,False,1,1,No specified Gripper,True,False
chill a cup in a refrigerator.,False,1,6,No specified Gripper,False,True
chill a cup in a refrigerator.,False,1,1,No specified Gripper,True,False
chill a cup to microwave it.,False,1,6,No specified Gripper,False,True
chill a cup to microwave it.,False,1,1,No specified Gripper,True,False
chill a pan from the stove in the fridge to put on the white table.,False,1,6,No specified Gripper,False,True
chill a pan from the stove in the fridge to put on the white table.,False,1,1,No specified Gripper,True,False
chill a plate and put it away in a cabinet.,False,1,6,No specified Gripper,False,True
chill a plate and put it away in a cabinet.,False,1,1,No specified Gripper,True,False
chill a pot and place in a sink drawer,False,1,6,No specified Gripper,True,True
chill a pot and place in a sink drawer,False,1,1,No specified Gripper,True,False
chill the bowl and set it back on the shelves.,False,0,6,No specified Gripper,True,True
chill the bowl and set it back on the shelves.,False,1,1,No specified Gripper,True,False
chill the glass in the fridge and return it to the shelf.,True,1,6,No specified Gripper,False,True
chill the glass in the fridge and return it to the shelf.,False,1,1,No specified Gripper,True,False
chill the goblet and put it in the sink.,True,1,6,No specified Gripper,False,True
chill the goblet and put it in the sink.,False,1,1,No specified Gripper,True,False
chill the mug and put it in the cupboard.,False,1,6,No specified Gripper,True,True
chill the mug and put it in the cupboard.,False,1,1,No specified Gripper,True,False
chill the pan and put it back on the stove.,False,0,6,No specified Gripper,True,True
chill the pan and put it back on the stove.,False,1,1,No specified Gripper,True,False
chill the pan in the fridge and put it in the sink.,False,0,6,No specified Gripper,True,True
chill the pan in the fridge and put it in the sink.,False,1,1,No specified Gripper,True,False
chilling of a heated tomato,False,1,6,No specified Gripper,False,True
chilling of a heated tomato,False,1,1,No specified Gripper,True,False
chop the cucumber into shreds,False,1,6,Robot Grippers with 2 Fingers,True,True
chop the cucumber into shreds,False,1,1,No specified Gripper,True,False
clean a glass and put it on the shelf,False,1,6,No specified Gripper,False,True
clean a glass and put it on the shelf,False,1,1,No specified Gripper,True,False
clean inside the thermos flask using the bottle brush,False,1,7,Robot Grippers with 2 Fingers,True,True
clean inside the thermos flask using the bottle brush,False,1,1,No specified Gripper,True,False
clean mirror,True,2,6,No specified Gripper,False,True
clean mirror,False,1,1,No specified Gripper,True,False
clean the chopping board,False,1,7,Robot Grippers with 2 Fingers,True,True
clean the chopping board,False,1,1,No specified Gripper,True,False
clean the dirty towel on the metal rack.,False,1,6,No specified Gripper,True,True
clean the dirty towel on the metal rack.,False,1,1,No specified Gripper,True,False
clean the flask using the white stick inside it,False,1,7,Robot Grippers with 2 Fingers,True,True
clean the flask using the white stick inside it,False,1,1,No specified Gripper,True,False
clean the laptop screen,False,1,6,No specified Gripper,True,True
clean the laptop screen,False,1,1,No specified Gripper,True,False
clean the lettuce to place on the counter in front of the coffee machine.,True,1,6,No specified Gripper,False,True
clean the lettuce to place on the counter in front of the coffee machine.,False,1,1,No specified Gripper,True,False
clean the plate with the towel and move it a bit,False,1,7,Robot Grippers with 2 Fingers,True,True
clean the plate with the towel and move it a bit,False,1,1,No specified Gripper,True,False
"clean the rag on the right, put it on the toilet lid.",False,1,6,No specified Gripper,False,True
"clean the rag on the right, put it on the toilet lid.",False,1,1,No specified Gripper,True,False
clean the table,False,1,7,Robot Grippers with 2 Fingers,True,True
clean the table,False,1,1,No specified Gripper,True,False
clean the tabletop with a sponge,False,1,6,No specified Gripper,True,True
clean the tabletop with a sponge,False,1,1,No specified Gripper,True,False
cleaning off a dirty spatula.,False,1,6,No specified Gripper,False,True
cleaning off a dirty spatula.,False,1,1,No specified Gripper,True,False
click on the bottom right button on the board,False,1,7,Robot Grippers with 2 Fingers,True,True
click on the bottom right button on the board,False,1,1,No specified Gripper,True,False
close a cardboard box with keys inside.,False,1,6,No specified Gripper,False,True
close a cardboard box with keys inside.,False,1,1,No specified Gripper,True,False
close dresser drawer,False,1,6,No specified Gripper,True,True
close dresser drawer,False,1,1,No specified Gripper,True,False
close the bin cover,False,1,7,Robot Grippers with 2 Fingers,True,True
close the bin cover,False,1,1,No specified Gripper,True,False
close the black object,False,1,7,Robot Grippers with 2 Fingers,True,True
close the black object,False,1,1,No specified Gripper,True,False
close the black slider on the top of the cup,False,1,7,Robot Grippers with 2 Fingers,True,True
close the black slider on the top of the cup,False,1,1,No specified Gripper,True,False
close the bowl,False,1,7,Robot Grippers with 2 Fingers,True,True
close the bowl,False,1,1,No specified Gripper,True,False
close the box on the table,False,1,7,Robot Grippers with 2 Fingers,True,True
close the box on the table,False,1,1,No specified Gripper,True,False
close the chest drawer,False,1,7,Robot Grippers with 2 Fingers,True,True
close the chest drawer,False,1,1,No specified Gripper,True,False
close the cube,False,1,7,Robot Grippers with 2 Fingers,True,True
close the cube,False,1,1,No specified Gripper,True,False
close the cupboard,False,1,7,Robot Grippers with 2 Fingers,True,True
close the cupboard,False,1,1,No specified Gripper,True,False
close the cupboard door,False,1,7,Robot Grippers with 2 Fingers,True,True
close the cupboard door,False,1,1,No specified Gripper,True,False
close the door,False,1,7,Robot Grippers with 2 Fingers,True,True
close the door,False,1,1,No specified Gripper,True,False
close the door of the oven,False,1,7,Robot Grippers with 2 Fingers,True,True
close the door of the oven,False,1,1,No specified Gripper,True,False
close the door to the white box,False,1,7,Robot Grippers with 2 Fingers,True,True
close the door to the white box,False,1,1,No specified Gripper,True,False
close the drawer on the right side of the microwave,False,1,7,Robot Grippers with 2 Fingers,True,True
close the drawer on the right side of the microwave,False,1,1,No specified Gripper,True,False
close the faucet,False,1,7,Robot Grippers with 2 Fingers,True,True
close the faucet,False,1,1,No specified Gripper,True,False
close the faucet then open it again,False,1,7,Robot Grippers with 2 Fingers,True,True
close the faucet then open it again,False,1,1,No specified Gripper,True,False
close the file cabinet door,False,1,7,Robot Grippers with 2 Fingers,True,True
close the file cabinet door,False,1,1,No specified Gripper,True,False
close the fire department valve door,False,1,7,Robot Grippers with 2 Fingers,True,True
close the fire department valve door,False,1,1,No specified Gripper,True,False
close the flip phone shut,False,1,7,Robot Grippers with 2 Fingers,True,True
close the flip phone shut,False,1,1,No specified Gripper,True,False
close the food pack,False,1,7,Robot Grippers with 2 Fingers,True,True
close the food pack,False,1,1,No specified Gripper,True,False
close the grey coffeemaker,False,1,7,Robot Grippers with 2 Fingers,True,True
close the grey coffeemaker,False,1,1,No specified Gripper,True,False
close the laptop,False,1,7,Robot Grippers with 2 Fingers,True,True
close the laptop,False,1,1,No specified Gripper,True,False
close the laptop on the table,False,1,6,No specified Gripper,True,True
close the laptop on the table,False,1,1,No specified Gripper,True,False
close the left door,False,1,7,Robot Grippers with 2 Fingers,True,True
close the left door,False,1,1,No specified Gripper,True,False
close the lid of the colourless box,False,1,7,Robot Grippers with 2 Fingers,True,True
close the lid of the colourless box,False,1,1,No specified Gripper,True,False
close the lid of the machine beside the microwave,False,1,7,Robot Grippers with 2 Fingers,True,True
close the lid of the machine beside the microwave,False,1,1,No specified Gripper,True,False
close the lid on the black and yellow case,False,1,7,Robot Grippers with 2 Fingers,True,True
close the lid on the black and yellow case,False,1,1,No specified Gripper,True,False
close the lid on the box,False,1,7,Robot Grippers with 2 Fingers,True,True
close the lid on the box,False,1,1,No specified Gripper,True,False
close the lid on the clear container on the left then turn on the extension cable,False,1,7,Robot Grippers with 2 Fingers,True,True
close the lid on the clear container on the left then turn on the extension cable,False,1,1,No specified Gripper,True,False
close the microwave,False,1,7,Robot Grippers with 2 Fingers,True,True
close the microwave,False,1,1,No specified Gripper,True,False
close the middle shelf completely,False,1,7,Robot Grippers with 2 Fingers,True,True
close the middle shelf completely,False,1,1,No specified Gripper,True,False
close the notebook,False,1,7,Robot Grippers with 2 Fingers,True,True
close the notebook,False,1,1,No specified Gripper,True,False
close the object,False,1,7,Robot Grippers with 2 Fingers,True,True
close the object,False,1,1,No specified Gripper,True,False
close the open black book,False,1,7,Robot Grippers with 2 Fingers,True,True
close the open black book,False,1,1,No specified Gripper,True,False
close the open book,False,1,7,Robot Grippers with 2 Fingers,True,True
close the open book,False,1,1,No specified Gripper,True,False
close the open book on the table,False,1,7,Robot Grippers with 2 Fingers,True,True
close the open book on the table,False,1,1,No specified Gripper,True,False
close the open door,False,1,7,Robot Grippers with 2 Fingers,True,True
close the open door,False,1,1,No specified Gripper,True,False
close the open drawer and then open it again,False,1,7,Robot Grippers with 2 Fingers,True,True
close the open drawer and then open it again,False,1,1,No specified Gripper,True,False
close the open drawer under the keyboard,False,1,7,Robot Grippers with 2 Fingers,True,True
close the open drawer under the keyboard,False,1,1,No specified Gripper,True,False
close the pack with bottles on the table,False,1,7,Robot Grippers with 2 Fingers,True,True
close the pack with bottles on the table,False,1,1,No specified Gripper,True,False
close the pan,False,1,7,Robot Grippers with 2 Fingers,True,True
close the pan,False,1,1,No specified Gripper,True,False
close the plastic packaging,False,1,7,Robot Grippers with 2 Fingers,True,True
close the plastic packaging,False,1,1,No specified Gripper,True,False
close the rice cooker,False,1,7,Robot Grippers with 2 Fingers,True,True
close the rice cooker,False,1,1,No specified Gripper,True,False
close the second washing machine,False,1,7,Robot Grippers with 2 Fingers,True,True
close the second washing machine,False,1,1,No specified Gripper,True,False
close the shelf door,False,1,7,Robot Grippers with 2 Fingers,True,True
close the shelf door,False,1,1,No specified Gripper,True,False
close the silver container,False,1,7,Robot Grippers with 2 Fingers,True,True
close the silver container,False,1,1,No specified Gripper,True,False
close the silver container next to the coffee maker,False,1,7,Robot Grippers with 2 Fingers,True,True
close the silver container next to the coffee maker,False,1,1,No specified Gripper,True,False
close the take-away food container,False,1,7,Robot Grippers with 2 Fingers,True,True
close the take-away food container,False,1,1,No specified Gripper,True,False
close the top on the coffee maker,False,1,7,Robot Grippers with 2 Fingers,True,True
close the top on the coffee maker,False,1,1,No specified Gripper,True,False
close the top opening of the silver jar,False,1,7,Robot Grippers with 2 Fingers,True,True
close the top opening of the silver jar,False,1,1,No specified Gripper,True,False
close the topmost compartment doors,False,1,7,Robot Grippers with 2 Fingers,True,True
close the topmost compartment doors,False,1,1,No specified Gripper,True,False
close the trash can,False,1,7,Robot Grippers with 2 Fingers,True,True
close the trash can,False,1,1,No specified Gripper,True,False
close the trash can lid,False,1,7,Robot Grippers with 2 Fingers,True,True
close the trash can lid,False,1,1,No specified Gripper,True,False
close the upper drawer of the cabinet on the left,False,1,7,Robot Grippers with 2 Fingers,True,True
close the upper drawer of the cabinet on the left,False,1,1,No specified Gripper,True,False
close the white bin,False,1,7,Robot Grippers with 2 Fingers,True,True
close the white bin,False,1,1,No specified Gripper,True,False
close the white door,False,1,7,Robot Grippers with 2 Fingers,True,True
close the white door,False,1,1,No specified Gripper,True,False
close the window fully,False,1,7,Robot Grippers with 2 Fingers,True,True
close the window fully,False,1,1,No specified Gripper,True,False
closed the lid of the kettle,False,1,7,Robot Grippers with 2 Fingers,True,True
closed the lid of the kettle,False,1,1,No specified Gripper,True,False
coil the phone charger once,False,1,7,Robot Grippers with 2 Fingers,True,True
coil the phone charger once,False,1,1,No specified Gripper,True,False
collect pencil and bowl for the desk,False,0,6,No specified Gripper,False,True
collect pencil and bowl for the desk,False,1,1,No specified Gripper,True,False
collect water in the mug,False,1,7,Robot Grippers with 2 Fingers,True,True
collect water in the mug,False,1,1,No specified Gripper,True,False
collecting tissues to put in the bath tub,True,1,6,No specified Gripper,False,True
collecting tissues to put in the bath tub,False,1,1,No specified Gripper,True,False
completely cover the bed with the blanket,False,1,7,Robot Grippers with 2 Fingers,True,True
completely cover the bed with the blanket,False,1,1,No specified Gripper,True,False
connect the black pads together,False,1,7,Robot Grippers with 2 Fingers,True,True
connect the black pads together,False,1,1,No specified Gripper,True,False
cook a potato & return it to a different place.,False,1,6,No specified Gripper,False,True
cook a potato & return it to a different place.,False,1,1,No specified Gripper,True,False
cook a tomato then throw it away in the trash can,True,1,6,No specified Gripper,False,True
cook a tomato then throw it away in the trash can,False,1,1,No specified Gripper,True,False
cool a head of lettuce as well as put it back in the spot it came from.,True,1,6,No specified Gripper,False,True
cool a head of lettuce as well as put it back in the spot it came from.,False,1,1,No specified Gripper,True,False
cool down a bowl from the stove.,False,1,6,No specified Gripper,False,True
cool down a bowl from the stove.,False,1,1,No specified Gripper,True,False
cool down a plate in the fridge.,False,0,6,No specified Gripper,False,True
cool down a plate in the fridge.,False,1,1,No specified Gripper,True,False
cool down one wine bottle from the table.,False,1,6,No specified Gripper,True,True
cool down one wine bottle from the table.,False,1,1,No specified Gripper,True,False
cool down the cup on the black table.,False,1,6,No specified Gripper,True,True
cool down the cup on the black table.,False,1,1,No specified Gripper,True,False
cool down the pan on the stove.,False,1,6,No specified Gripper,True,True
cool down the pan on the stove.,False,1,1,No specified Gripper,True,False
cool the coffee cup.,False,1,6,No specified Gripper,True,True
cool the coffee cup.,False,1,1,No specified Gripper,True,False
cover the bowl with the pink thing,False,1,7,Robot Grippers with 2 Fingers,True,True
cover the bowl with the pink thing,False,1,1,No specified Gripper,True,False
cover the clear container with the white lid and then press the button atop the white lid,False,1,7,Robot Grippers with 2 Fingers,True,True
cover the clear container with the white lid and then press the button atop the white lid,False,1,1,No specified Gripper,True,False
cover the cup,False,1,7,Robot Grippers with 2 Fingers,True,True
cover the cup,False,1,1,No specified Gripper,True,False
cover the glass jar with the glass lid,False,1,6,No specified Gripper,True,True
cover the glass jar with the glass lid,False,1,1,No specified Gripper,True,False
cover the glass jar with the glass lid on the table,False,1,7,Robot Grippers with 2 Fingers,True,True
cover the glass jar with the glass lid on the table,False,1,1,No specified Gripper,True,False
cover the kettle with the lid on the table,False,1,7,Robot Grippers with 2 Fingers,True,True
cover the kettle with the lid on the table,False,1,1,No specified Gripper,True,False
cover the pan on the right with the silver lid,False,1,6,No specified Gripper,True,True
cover the pan on the right with the silver lid,False,1,1,No specified Gripper,True,False
cover the smaller pot with the lid on the table,False,1,7,Robot Grippers with 2 Fingers,True,True
cover the smaller pot with the lid on the table,False,1,1,No specified Gripper,True,False
cut a head of cabbage then chill a slice before putting it in the sink,False,3,6,No specified Gripper,False,True
