Task,Tool
Wiping down kitchen countertops.,sponge
Cleaning kitchen countertops.,sponge
Cleaning up spills.,sponge
Frying an egg.,pan
Pouring a beverage.,cup
Sautéing vegetables.,pan
Boiling water for tea.,kettle
Serving a meal.,plate
Polishing metal fixtures to enhance their shine.,steel wool pad
Smoothing rough edges on a wooden surface.,abrader
Smoothing the edges of a drilled hole in wood.,rat tail file
Smoothing and shaping fingernails.,nailfile
Bending metal pipes for plumbing installation.,bender
Bending metal rods to create custom curtain rods.,bender
Adjusting the teeth of a hand saw for optimal cutting performance.,saw set
