task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['drill', 'alligator wrench', 'shampoo', 'sponge', 'kri']",True
drying the dishes,absorb,sponge,sponge,"['hunting knife', 'tack hammer', 'toothpick', 'sponge', 'strickle']",True
removing moisture,absorb,sponge,sponge,"['steak knife', 'sponge', 'potato', 'peppershaker', 'soapbottle']",True
reheating coffee,be heated,pan,pan,"['power saw', 'footstool', 'pan', 'tap wrench', 'desk lamp']",True
cooking a fried egg,be heated,cup,cup,"['hayfork', 'toilet paper', 'cup', 'counterbore', 'hand drill']",True
cooking an omelette,be heated,pan,pan,"['kirpan', 'pan', 'common ax', 'fork', ""croupier's rake""]",True
reheating soup,be heated,kettle,kettle,"['kettle', 'neolith', 'punch', 'cloth', 'roach clip']",True
boiling water,be heated,plate,none,"['plate', 'lightbulb', 'tamp', 'toiletpaper', 'laundryhamper']",False
decorating a room,beautify,steel wool pad,drawer,"['drawer', 'coffee', 'steel wool pad', 'soda can', 'axe']",False
arranging flowers,beautify,abrader,basket ball,"['opener', 'creditcard', 'arm chair', 'abrader', 'basket ball']",False
painting walls,beautify,rat tail file,none,"['vacuumcleaner', 'allen wrench', 'rat tail file', 'tomato', 'vase']",False
applying make-up,beautify,nailfile,nailfile,"['handstamp', 'corkscrew', 'ravehook', 'dogbed', 'nailfile']",True
shaping wire,bend,bender,bender,"['spreader', 'ax', 'drawknife', 'bender', 'pipe wrench']",True
adjusting blinds,bend,bender,bender,"['bender', 'food jar', 'hacksaw', 'garden trowel', 'breadknife']",True
fitting flexible piping,bend,saw set,bit,"['pruning saw', 'bit', 'circular plane', 'saw set', 'scraper']",False
installing shelves,bore,bucksaw,bucksaw,"['bucksaw', 'drawer', 'ax', 'coffee machine', 'shampoo']",True
hanging pictures,bore,straight flute,set square,"['jack plane', 'stamp', 'straight flute', 'set square', 'desk lamp']",False
assembling furniture,bore,router,hammer,"['stapler', 'crown saw', 'router', 'chamfer plane', 'hammer']",False
preparing food,break,jigsaw,steak knife,"['steak knife', 'steel wool pad', 'lightbulb', 'soap bar', 'jigsaw']",False
opening packaging,break,folding saw,bulldog wrench,"['abrading stone', 'shovel', 'bulldog wrench', 'folding saw', 'bender']",False
breaking apart food items,break,bottle,hand ax,"['o ring', 'bottle', 'potato', 'hand ax', 'cigar cutter']",False
