task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['drill', 'shampoo', 'kri', 'sponge', 'alligator wrench']",True
drying the dishes,absorb,sponge,sponge,"['strickle', 'sponge', 'hunting knife', 'toothpick', 'tack hammer']",True
removing moisture,absorb,sponge,sponge,"['potato', 'peppershaker', 'soapbottle', 'sponge', 'steak knife']",True
reheating coffee,be heated,pan,pan,"['footstool', 'pan', 'tap wrench', 'power saw', 'desk lamp']",True
cooking a fried egg,be heated,cup,cup,"['toilet paper', 'hand drill', 'counterbore', 'hayfork', 'cup']",True
cooking an omelette,be heated,pan,pan,"['common ax', 'kirpan', 'pan', ""croupier's rake"", 'fork']",True
reheating soup,be heated,kettle,kettle,"['cloth', 'kettle', 'neolith', 'punch', 'roach clip']",True
boiling water,be heated,plate,none,"['lightbulb', 'tamp', 'plate', 'toiletpaper', 'laundryhamper']",False
decorating a room,beautify,steel wool pad,drawer,"['soda can', 'coffee', 'steel wool pad', 'drawer', 'axe']",False
arranging flowers,beautify,abrader,none,"['basket ball', 'arm chair', 'abrader', 'opener', 'creditcard']",False
painting walls,beautify,rat tail file,none,"['rat tail file', 'vacuum cleaner', 'vase', 'tomato', 'allen wrench']",False
applying make-up,beautify,nailfile,none,"['handstamp', 'dogbed', 'nailfile', 'corkscrew', 'ravehook']",False
shaping wire,bend,bender,bender,"['spreader', 'pipe wrench', 'bender', 'drawknife', 'ax']",True
adjusting blinds,bend,bender,none,"['hacksaw', 'breadknife', 'food jar', 'bender', 'garden trowel']",False
fitting flexible piping,bend,saw set,none,"['scraper', 'circular plane', 'pruning saw', 'bit', 'saw set']",False
installing shelves,bore,bucksaw,none,"['bucksaw', 'coffee machine', 'shampoo', 'drawer', 'ax']",False
hanging pictures,bore,straight flute,none,"['stamp', 'set square', 'jack plane', 'straight flute', 'desk lamp']",False
assembling furniture,bore,router,hammer,"['hammer', 'stapler', 'chamfer plane', 'router', 'crown saw']",False
preparing food,break,jigsaw,steak knife,"['steak knife', 'steel wool pad', 'lightbulb', 'jigsaw', 'soap bar']",False
opening packaging,break,folding saw,abrading stone,"['shovel', 'abrading stone', 'bulldog wrench', 'bender', 'folding saw']",False
breaking apart food items,break,bottle,hand ax,"['hand ax', 'cigar cutter', 'o ring', 'potato', 'bottle']",False
serving food,carry,vase,shaping tool,"['window', 'egg', 'shaping tool', 'water bottle', 'vase']",False
transporting liquids,carry,mug,mug,"['fridge', 'bread knife', 'spud', 'straight flute', 'mug']",True
serving a dish,carry,watering can,opener,"['catling', 'combination plane', 'opener', 'try square', 'watering can']",False
watering plants,carry,plate,tap,"['tap', 'dibble', 'plate', 'try square', 'spiral ratchet screwdriver']",False
decorating pumpkins,carve,yataghan,plastic box,"['taper file', 'bathtubbasin', 'plastic box', 'yataghan', 'sawmill']",False
preparing meat,carve,tableknife,tableknife,"['grapnel', 'showerdoor', 'shaver', 'tableknife', 'wire cutter']",True
crafting with wood,carve,barong,gouge,"['room decor', 'bullnose', 'barong', 'gouge', 'salt']",False
replacing light bulbs,change,signet,none,"['pruning saw', 'signet', 'clincher', 'portable saw', 'pitchfork']",False
changing bed sheets,change,ram,none,"['crosscut saw', 'razor', 'drawer', 'ram', 'toothpick']",False
swapping out filters,change,rock bit,none,"['rat tail file', 'rock bit', 'broadax', 'plexor.n.wn.medicine', 'stool']",False
preparing cooking ingredients,chop,half hatchet,butcher knife,"['half hatchet', 'bread', 'steel wool pad', 'pruning shear', 'butcher knife']",False
cutting meat,chop,claw hatchet,claw hatchet,"['lightbulb', 'barong', 'rounder', 'blind', 'claw hatchet']",True
making firewood,chop,fireman's ax,fireman's ax,"['case knife', 'coffeetable', ""fireman's ax"", 'bread knife', 'chisel']",True
washing dishes,clean,vaccum cleaner,none,"['brick trowel', 'common ax', 'potato', 'vaccum cleaner', 'dovetail plane']",False
throwing away uneaten food,clean,tableknife,eolith,"['trench knife', 'tableknife', 'coffeetable', 'eolith', 'pruning knife']",False
cleaning spilled milk,clean,jigsaw,ladle,"['ladle', 'jigsaw', 'lancet', 'grapnel', 'battering ram']",False
cleaning the mirror,clean,vaccum cleaner,none,"['desk lamp', 'bodkin', 'square', 'vaccum cleaner', 'razor']",False
cleaning the fridge,clean,saber saw,spray bottle,"['saber saw', 'oven', 'spade bit', 'showerhead', 'spray bottle']",False
cleaning the blinds,clean,bandsaw,plunger,"['lancet', 'plunger', 'drilling bit', 'bandsaw', 'floorlamp']",False
cleaning the shower head,clean,towel,none,"['head gasket', 'camera', 'vaccum cleaner', 'binder', 'towel']",False
dusting the statue,clean,power tool,toilet paper,"['power tool', 'toilet paper', 'alarm clock', 'chair', 'food cup']",False
cleaning the toilet,clean,portable saw,spray bottle,"['plexor.n.wn.medicine', 'floor', 'drilling bit', 'portable saw', 'spray bottle']",False
cleaning the floor,clean,power saw,none,"['basket ball', 'ottoman', 'power saw', 'square', 'bowie knife']",False
washing your face,clean,electric hammer,none,"['pruning saw', 'floor lamp', 'electric hammer', 'bolt cutter', 'ice ax']",False
watching a movie,comfort,chair,chair,"['towelholder', 'hook wrench', 'chair', 'desk', 'electric drill']",True
setting up bedding,comfort,ottoman,ottoman,"['sponge', 'to go cup', 'tabletopdecor', 'ottoman', 'hedge trimmer']",True
choosing a comfortable seat,comfort,ottoman,ottoman,"['buffer', 'garden spade', 'scrub brush', 'power mower', 'ottoman']",True
storing clothes,compress,stemmer,none,"['nailfile', 'phillips screwdriver', 'steel wool pad', 'o ring', 'stemmer']",False
reducing space in bin,compress,stemmer,stemmer,"['stemmer', 'bucksaw', 'comb', 'remote control', 'desktop']",True
preparing food,compress,stemmer,stemmer,"['stemmer', 'bread', 'rammer', 'handsaw', 'burin']",True
storing food,contain,fish knife,microwave,"['steel wool pad', 'poniard', 'microwave', 'switchblade', 'fish knife']",False
measuring liquids,contain,butter knife,none,"['butter knife', 'weeder', 'pitchfork', 'wrench', 'cell phone']",False
managing waste,contain,tray,scraper,"['arm chair', 'tray', 'slick', 'baseballbat', 'scraper']",False
being filled with a liquid,contain,table knife,none,"['cigar cutter', 'flat file', 'crosscut saw', 'table knife', 'lochaber ax']",False
adjusting device settings,control,handsaw,none,"['pot', 'common ax', 'pointing trowel', 'handsaw', 'tennis racket']",False
managing lighting,control,electric hammer,none,"['buffer', 'electric hammer', 'pick', 'plane', 'machete']",False
operating appliances,control,compass saw,none,"['toilet paper', 'bender', 'toiletpaperhanger', 'dagger', 'compass saw']",False
keeping food from going bad,cool,drum sander,none,"['side table', 'drum sander', 'scraper', 'scythe', 'microwave']",False
freezing food,cool,drum sander,seal,"['bathtub', 'garden spade', 'seal', 'rounder', 'drum sander']",False
making ice,cool,drum sander,none,"['abrader', 'drum sander', 'counter top', 'battering ram', ""croupier's rake""]",False
creating frost patterns as decoration,cool,drum sander,none,"['hammer', 'bill', 'drum sander', 'triphammer', 'set square']",False
protecting food,cover,drum sander,gasket,"['buffer', 'keyboard', 'drum sander', 'laundry hamper', 'gasket']",False
shielding surfaces,cover,drum sander,none,"['power tool', 'drum sander', 'auger', 'set square', 'star drill']",False
securing items,cover,drum sander,none,"['buffer', 'die', 'buffer', 'snuffer', 'drum sander']",False
opening a nut,crack,stiletto,stiletto,"['food cup', 'to go cup', 'stiletto', 'toothpaste', 'compass saw']",True
breaking an egg,crack,bowie knife,icepick,"['icepick', 'plane', 'tamp', 'dogbed', 'bowie knife']",False
opening packages,crack,parer,parer,"['slip joint plier', 'glue stick', 'gutter', 'handtowelholder', 'parer']",True
baking pastries,crumble,battering ram,none,"['battering ram', ""fireman's ax"", 'slick', 'mallet', 'razorblade']",False
preparing toppings,crumble,battering ram,none,"['ripping chisel', 'battering ram', 'c d', 'sponge', 'handtowelholder']",False
making breadcrumbs,crumble,battering ram,tack hammer,"['adz', 'battering ram', 'tack hammer', 'dumbbell', 'stiletto']",False
preparing snacks,crunch,pestle,pestle,"['pestle', 'egg', 'hayfork', 'cigar cutter', 'flat file']",True
making toppings,crunch,pestle,pestle,"['garden trowel', 'battle ax', 'saw set', 'bowie knife', 'pestle']",True
crushing ice,crunch,pestle,pestle,"['bender', 'bolt cutter', 'gang', 'common ax', 'pestle']",True
making ice cubes,cube,steak knife,none,"['bolo', 'locking plier', 'drawknife', 'steak knife', 'wine bottle']",False
preparing fruits and vegetables,cube,table knife,table knife,"['lightswitch', 'allen wrench', 'remotecontrol', 'handtowel', 'table knife']",True
preparing meats,cube,scalpel,scalpel,"['scalpel', ""plumber's snake"", 'posthole digger', 'keyhole saw', 'cap opener']",True
preparing a sliced apple,cut,compass saw,none,"['compass saw', 'dogbed', 'basketball', 'tap', 'dogbed']",False
cutting an apple,cut,switchblade,none,"['switchblade', 'steel wool pad', 'ottoman', 'electric hammer', 'hatchel']",False
opening an envelope,cut,blade,blade,"['bottle opener', 'blade', 'diningtable', 'cup', 'keychain']",True
applying butter,cut,twist bit,twist bit,"['shelvingunit', 'bolt cutter', 'twist bit', 'surgical knife', ""fireman's ax""]",True
serving cake,cut,cutter,kitchen knife,"['locking plier', 'cellphone', 'candle', 'kitchen knife', 'cutter']",False
decorating table,decorate,curtain,curtain,"['curtain', 'spoon', 'bender', 'tap wrench', 'showerglas']",True
decorating bed,decorate,room decor,room decor,"['dry battery', 'room decor', ""carpenter's square"", 'razorblade', 'sparkplug wrench']",True
decorating wall,decorate,teddy bear,pointing trowel,"['pointing trowel', 'scoop', 'teddy bear', 'wood chisel', 'cap opener']",False
decorating lobby,decorate,statue,statue,"['dovetail plane', 'coping saw', 'statue', 'butterknife', 'pen']",True
increasing beauty of the room,decorate,poster,poster,"['crown saw', 'poster', 'spiral ratchet screwdriver', 'plow', 'pitcher']",True
preparing vegetables,dice,dirk,none,"['razor', 'compass saw', 'dining table', 'spraybottle', 'dirk']",False
creating garnishes,dice,steak knife,steak knife,"['coffee', ""carpenter's square"", 'faucet', 'rubber eraser', 'steak knife']",True
making salsa,dice,machete,knife,"['machete', 'bandsaw', 'knife', 'kitchenknife', 'lug wrench']",False
measuring ingredients,dice,dagger,none,"['metal box', 'parang', 'graver', 'dagger', 'pipe cutter']",False
gardening,dig,ditch spade,ditch spade,"['ditch spade', 'kitchenknife', 'power drill', 'pot', 'floor']",True
preparing soil,dig,garden spade,garden spade,"['binder', 'desklamp', 'latchstring', 'scauper', 'garden spade']",True
finding buried treasures,dig,shovel,shovel,"['file', 'shovel', 'bumper jack', 'chain saw', 'pitcher']",True
showcasing decorations,display,calculator,power tool,"['calculator', 'set square', 'power tool', 'parang', 'roach clip']",False
