question,full_answer,final_answer,correct_answer
"In the recipe 'Worlds Best Mac and Cheese', which steps occurs after 'Mix pasta with sauce'?
Options:
- Bake with cheese topping
- Dissolve Jello in water
- Preheat oven
- Puree tomatoes with salt
- Cook pasta less than directions",Bake with cheese topping,Bake with cheese topping,Bake with cheese topping
"In the recipe 'Dilly Macaroni Salad Recipe', which steps occurs after 'Combine macaroni and vegetables'?
Options:
- Puree tomatoes with salt
- Cook and drain macaroni
- Blend dressing and add
- Cook pasta less than directions
- Dissolve Jello in water",Blend dressing and add,Blend dressing and add,Blend dressing and add
"In the recipe 'Gazpacho', which steps occurs after 'Combine vegetables with puree'?
Options:
- Cook pasta less than directions
- Drizzle oil, garnish, serve
- Preheat oven
- Dissolve Jello in water
- Puree tomatoes with salt","Drizzle oil, garnish, serve","Drizzle oil, garnish, serve","Drizzle oil, garnish, serve"
"In the recipe 'Crunchy Onion Potato Bake', which steps occurs after 'Heat milk, water, butter'?
Options:
- Cook pasta less than directions
- Puree tomatoes with salt
- Preheat oven
- Bake until cheese melts
- Dissolve Jello in water",Bake until cheese melts,Bake until cheese melts,Bake until cheese melts
"In the recipe 'Cool 'n Easy Creamy Watermelon Pie', which steps occurs after 'Whisk in Cool Whip'?
Options:
- Puree tomatoes with salt
- Spoon into crust
- Preheat oven
- Dissolve Jello in water
- Cook pasta less than directions",Spoon into crust,Spoon into crust,Spoon into crust
"In the recipe 'Ranch Mushrooms', which steps occurs after 'Cook on low heat'?
Options:
- Preheat oven to 300°F
- Use stovetop if preferred
- Panfry steak in olive oil
- Add ingredients to crock pot
- Dice chicken breast",Add ingredients to crock pot,Add ingredients to crock pot,Use stovetop if preferred
"In the recipe 'Raspberry Creme Brulee Recipe', which steps occurs after 'Heat cream, add vanilla'?
Options:
- Preheat oven to 300°F
- Panfry steak in olive oil
- Add ingredients to crock pot
- Bake in water bath
- Dice chicken breast",Bake in water bath,Bake in water bath,Bake in water bath
"In the recipe 'Barbecue Hamburger Patties Recipe', which steps occurs after 'Shape into 6 patties'?
Options:
- Panfry steak in olive oil
- Preheat oven to 300°F
- Mix meat, onion, salt
- Add ingredients to crock pot
- Brown patties in skillet",Brown patties in skillet,Brown patties in skillet,Brown patties in skillet
"In the recipe 'Chicken Prepared-Mustard', which steps occurs after 'Add chicken and butter'?
Options:
- Dice chicken breast
- Add ingredients to crock pot
- Preheat oven to 300°F
- Panfry steak in olive oil
- Add mustard, stir, cover","Add mustard, stir, cover","Add mustard, stir, cover","Add mustard, stir, cover"
"In the recipe 'Bower's Hunter's Chili', which steps occurs after 'Brown ground meat, drain grease'?
Options:
- Add ingredients to crock pot
- Add meats to bean pot
- Preheat oven to 300°F
- Dice chicken breast
- Panfry steak in olive oil",Add ingredients to crock pot,Add ingredients to crock pot,Add meats to bean pot
