object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,suitcase,"['suitcase', 'palace', 'laundry room', 'pantry room', 'car']",False
adjustable wrench,bedroom,loft,"['press', 'bedroom', 'cat', 'glass', 'loft']",False
alarmclock,bedroom,bedroom,"['attic', 'bedroom', 'different room', ""child's room"", 'larder']",True
aluminumfoil,kitchen,kitchen,"[""prostitute's bedroom"", 'kitchen', 'bathroom cabinet', 'lamp', 'exercise room']",True
android figure,corridor,chest,"['chest', 'teapot', 'castle', 'corridor', 'separate room']",False
anti slip tape,exercise room,exercise room,"['side of  room', 'exercise room', 'home', 'icebox', ""children's room""]",True
antidepressant,pantry room,motel room,"['motel room', 'laundry room', 'larder', 'bundle', 'pantry room']",False
antique,attic,attic,"['hall', 'attic', 'pot', 'court', 'butt']",True
apple,kitchen,kitchen,"['bus', 'kitchen', 'cup', 'loft', 'furniture']",True
applesauce,jar,jar,"['jar', 'teapot', 'engine', 'sack', 'dishwasher']",True
appliance,home,home,"['dining room', 'home', 'backyard', 'chest', 'hamper']",True
apricot,table,table,"['tea room', 'bike', 'bar', 'table', 'bathroom']",True
armchair,bedroom,bedroom,"['bedroom', 'classroom', 'suitcase', 'ir rooms', 'basket']",True
armoire,living room,living room,"['cabin', 'music room', 'hospital drug storeroom', 'living room', 'vault']",True
armrest,car,room of house,"['childs room', 'wallet', 'car', 'room of house', 'purse']",False
arrow,quiver,quiver,"['can', 'restroom', 'quiver', 'container', 'oven']",True
artichoke,refrigerator,refrigerator,"['freezer', 'bookshelf', ""teenager's bedroom"", 'range', 'refrigerator']",True
article,press,drawer,"['press', 'ambulance', 'way', 'middle of  room', 'drawer']",False
ashtray,house,house,"['house', 'storage room', 'guest room', 'orchestra', 'basket']",True
asparagus,oven,pantry room,"['glass', 'pantry room', 'oven', 'stand', ""cash's room""]",False
atm,bank,bank,"['palace', 'bathroom', 'bank', 'palace', 'dining room']",True
attic,home,home,"['home', 'deck', 'dresser', 'bank', 'family room']",True
backpack,storage room,children's room,"[""children's room"", 'storage room', 'pantry', 'loungeroom', 'barrel']",False
bacon,oven,oven,"['oven', 'classroom', 'briefcase', 'art classroom', 'butt']",True
balancing cactus,television room,television room,"['small room', 'pocket', 'locker', 'small room', 'television room']",True
ball,sack,sack,"['sack', 'bathtub', 'truck', 'motorbike', 'ambulance']",True
balustrade,grand ballroom,grand ballroom,"['grand ballroom', 'storage room', 'camp', 'motel room', 'classroom']",True
banana,closet,plate,"['plate', 'small room', 'castle', 'bathroom drawer', 'closet']",False
bar,oven,stand,"['oven', 'stand', 'bookshelf', 'side of  room', 'backyard']",False
baseball,lobby,livingroom,"['court', 'glass', 'band room', 'lobby', 'livingroom']",False
baseballbat,bedroom,den,"['den', 'container', 'bedroom', 'hive', 'sink']",False
basil,garden,jar,"['bunk', 'quiver', 'bicycle', 'jar', 'garden']",False
basketball,bedroom,bedroom,"['bedroom', 'jacket', 'cabinet', 'mailbox', 'card room']",True
bat,attic,attic,"['butt', 'different room', 'carton', 'range', 'attic']",True
bath sheet,bedroom,bedroom,"['bedroom', 'shelf', 'vault', 'tea room', 'broom closet']",True
bathtub,bathroom,bathroom,"['dresser', 'shoe', 'bathroom', 'separate room', 'fridge']",True
bathtubbasin,bathroom,bathroom,"['bathroom', 'tin', 'barrel', 'package', 'nest']",True
batter,box,freezer,"['box', 'can', 'place', 'livingroom', 'freezer']",False
battery,childs room,child's room,"['plate', 'backyard', 'bus', 'floor', 'childs room']",False
beacon,range,utility room,"['utility room', 'loft', 'range', 'tin', 'cruet']",False
beanbag,child's bedroom,child's bedroom,"['chest', 'barrel', 'hatbox', ""child's bedroom"", 'briefcase']",True
beard color gel,utility room,utility room,"['utility room', 'middle of  room', 'study', 'deck', 'tin']",True
beauty pack,utility room,study,"['palace', 'backyard', 'study', 'utility room', 'house']",False
bed,bedroom,bedroom,"['bedroom', 'bedroom drawer', 'pod', 'dishwasher', 'packet']",True
bedroom,dwelling,dwelling,"['class room', 'sack', 'refrigerator', 'range', 'dwelling']",True
beer,can,can,"['engine', 'engine', 'can', 'most rooms', 'sofa']",True
beet,can,container,"['container', 'foyer', 'can', 'loungeroom', 'toaster']",False
belt,closet,closet,"['childs room', 'hall', 'most rooms', 'jacket', 'closet']",True
beverage,bottle,dining room,"['dining room', 'bottle', 'parlor', ""prostitute's bedroom"", 'case']",False
binoculars,suitcase,shelf,"['quiver', 'shelf', 'belfry', 'suitcase', 'kitchen or bathroom']",False
biscuit,oven,children's room,"['mansion', ""children's room"", 'oven', 'stove', 'dumpster']",False
blanket,closet,closet,"['closet', 'toolbox', 'hive', 'wallet', 'dimly lit room']",True
bleach cleanser,bathroom,bathroom,"['bathroom', 'jar', 'motel room', 'attic', ""children's room""]",True
blender,kitchen,kitchen,"['hotel room', 'kitchen', 'wardrobe', 'living rooms', 'package']",True
blender jar,garage,pantry,"['pantry', 'sack', 'garage', 'bar', 'pitcher']",False
blind,bedroom,bedroom,"['beehive', 'briefcase', 'palace', 'bed', 'bedroom']",True
blouse,suitcase,suitcase,"['tea room', 'butt', 'locker', 'bowl', 'suitcase']",True
board game,childs room,child's room,"['different room', 'most rooms', 'furniture', 'childs room', 'bed']",False
boat,bay,bay,"['every bedroom', 'bay', 'quiver', ""men's restroom"", 'pantry']",True
boater,boat,boat,"['boat', 'stand', 'place', 'dining room', ""person's living room""]",True
bolt,jar,jar,"['package', 'den', 'bundle', 'jar', 'garbage']",True
book,living room,living room,"['garden', 'locker', 'aquarium', 'bike', 'living room']",True
bookcase,den,bookshelf,"['den', 'pot', 'bookshelf', 'nest', 'hospital drug storeroom']",False
bookend,utility room,every bedroom,"['larder', 'utility room', 'bathroom drawer', 'glass', 'every bedroom']",False
bookshelf,bedroom,bedroom,"['teapot', 'hamper', 'toaster', 'boot', 'bedroom']",True
boot,living room,living room,"['one room flat', 'belfry', 'floor', 'living room', 'tin']",True
booze,bar,bar,"['hall', 'bar', 'mailbox', 'small room', 'hive']",True
bottle,kitchen,kitchen,"['dumpster', 'floor', 'briefcase', 'waiting room', 'kitchen']",True
bourbon,barrel,barrel,"['barrel', 'bathtub', 'tin', 'card room', 'sofa']",True
bowl,kitchen,kitchen,"['locker', 'kitchen', 'grand ballroom', 'backyard', 'packet']",True
box,bedroom,drawer,"['drawer', 'bottle', 'bedroom', 'bath', 'anor room']",False
bra,drawer,drawer,"['pot', 'guest room', 'drawer', 'cat', 'bath']",True
brain,head,head,"['every bedroom', 'keg', 'head', 'bowl', 'beehive']",True
brandy,bar,bar,"['grand ballroom', 'waiting room', 'tank', 'microwave', 'bar']",True
bread,kitchen,kitchen,"['corridor', 'kitchen', 'closet', 'dining room', 'machine']",True
breakfast,table,table,"['childs room', 'table', 'machine', 'garbage', 'parlor']",True
broccoli,oven,most rooms,"['tin', 'truck', 'most rooms', 'packet', 'oven']",False
broiler,oven,oven,"['oven', 'pot', 'broom closet', 'cellar', 'motorbike']",True
broom,cabinet,cabinet,"['schoolroom', 'den', 'cabinet', 'one of  classrooms', 'butt']",True
bug,garden,garden,"['childs room', 'garden', 'broom closet', 'card room', 'cup']",True
bulb,lamp,lamp,"['cabin', 'lounge', 'sink', 'lamp', 'different room']",True
bullet,barrel,storage room,"['briefcase', 'hotel room', 'storage room', 'barrel', 'bike']",False
bumper,car,car,"['home office', 'loft', 'car', 'ir rooms', 'attic']",True
bun,breadbox,breadbox,"['well', 'tank', 'beehive', ""child's bedroom"", 'breadbox']",True
bundt pan,living room,art classroom,"['wallet', 'living room', 'vault', 'bicycle', 'art classroom']",False
bureau,bedroom,bedroom,"['sofa', 'tea room', 'bedroom', 'box', 'camp']",True
burner,oven,kitchen,"['chest', 'dumpster', 'kitchen', 'oven', 'laundry room']",False
butter dish,garage,cellar,"[""cash's room"", 'bunk', 'trunk', 'garage', 'cellar']",False
butterknife,kitchen,kitchen,"['suitcase', 'tank', 'can', 'kitchen', 'shelf']",True
cabbage,plate,plate,"['boot', 'card room', 'plate', 'pocket', 'bathroom drawer']",True
cabinet,bathroom,child's room,"['grand ballroom', 'bay', 'bathroom', 'backyard', ""child's room""]",False
cake mix,lobby,pantry,"['microwave', 'lobby', 'chest', 'laundry room', 'pantry']",False
cake pan,childs room,person's living room,"[""person's living room"", 'childs room', 'truck', 'pot', 'hamper']",False
calender,desk,desk,"['broom closet', 'desk', 'sofa', 'master bedroom', 'cruet']",True
camera,dining room,art classroom,"['press', 'art classroom', 'tank', 'dining room', 'sedan']",False
camper,bunk,bunk,"['one of  classrooms', 'bunk', 'pod', 'bay', 'packet']",True
can opener,living room,cabin,"['living room', 'motel room', 'ambulance', 'library', 'cabin']",False
candelabra,table,table,"['anor room', 'bar', 'stove', 'basement', 'table']",True
candle,living room,living room,"['box', 'washer', 'living room', 'belfry', 'stove']",True
candle holder,corridor,bathroom,"['mansion', 'bathroom or kitchen', 'tank', 'corridor', 'castle']",False
candlestick,table,table,"['lamp', 'art classroom', 'table', 'dresser', 'basement']",True
candy,lobby,packet,"['packet', 'dwelling', 'lobby', 'boot', 'chamber']",False
candy bar,garage,classroom,"['shell', 'belfry', 'glass', 'classroom', 'garage']",False
canister,utility room,utility room,"['deck', 'toolbox', ""child's bedroom"", 'utility room', 'nest']",True
canteen,backpack,backpack,"['schoolroom', 'backpack', 'carton', 'court', 'bike']",True
