object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,car,"['suitcase', 'car', 'pantry room', 'laundry room', 'palace']",False
adjustable wrench,bedroom,loft,"['press', 'cat', 'loft', 'bedroom', 'glass']",False
alarmclock,bedroom,bedroom,"['larder', ""child's room"", 'attic', 'bedroom', 'different room']",True
aluminumfoil,kitchen,kitchen,"[""prostitute's bedroom"", 'exercise room', 'kitchen', 'lamp', 'bathroom cabinet']",True
android figure,corridor,castle,"['castle', 'corridor', 'separate room', 'chest', 'teapot']",False
anti slip tape,exercise room,exercise room,"['exercise room', 'home', 'icebox', 'side of the room', ""children's room""]",True
antidepressant,pantry room,pantry room,"['motel room', 'bundle', 'laundry room', 'larder', 'pantry room']",True
antique,attic,attic,"['butt', 'pot', 'court', 'hall', 'attic']",True
apple,kitchen,kitchen,"['kitchen', 'loft', 'furniture', 'bus', 'cup']",True
applesauce,jar,jar,"['teapot', 'sack', 'engine', 'jar', 'dishwasher']",True
appliance,home,home,"['home', 'dining room', 'backyard', 'chest', 'hamper']",True
apricot,table,table,"['bike', 'table', 'bar', 'tea room', 'bathroom']",True
armchair,bedroom,bedroom,"['ir rooms', 'bedroom', 'basket', 'classroom', 'suitcase']",True
armoire,living room,living room,"['cabin', 'living room', 'hospital drug storeroom', 'vault', 'music room']",True
armrest,car,room of the house,"['purse', 'car', 'room of the house', 'childs room', 'wallet']",False
arrow,quiver,quiver,"['quiver', 'container', 'oven', 'restroom', 'can']",True
artichoke,refrigerator,refrigerator,"['range', 'refrigerator', ""teenager's bedroom"", 'freezer', 'bookshelf']",True
article,press,drawer,"['ambulance', 'press', 'way', ' middle of the room', 'drawer']",False
ashtray,house,guest room,"['guest room', 'storage room', 'house', 'orchestra', 'basket']",False
asparagus,oven,pantry room,"['oven', ""cash's room"", 'glass', 'pantry room', 'stand']",False
atm,bank,bank,"['bank', 'palace', 'dining room', 'palace', 'bathroom']",True
attic,home,home,"['bank', 'deck', 'family room', 'home', 'dresser']",True
backpack,storage room,children's room,"['storage room', 'pantry', ""children's room"", 'barrel', 'loungeroom']",False
bacon,oven,oven,"['classroom', 'art classroom', 'briefcase', 'oven', 'butt']",True
balancing cactus,television room,small room,"['locker', 'small room', 'pocket', 'television room', 'small room']",False
ball,sack,sack,"['sack', 'ambulance', 'motorbike', 'truck', 'bathtub']",True
balustrade,grand ballroom,storage room,"['storage room', 'motel room', 'grand ballroom', 'classroom', 'camp']",False
banana,closet,plate,"['plate', 'bathroom drawer', 'closet', 'castle', 'small room']",False
bar,oven,stand,"['side of the room', 'bookshelf', 'backyard', 'oven', 'stand']",False
baseball,lobby,livingroom,"['glass', 'lobby', 'band room', 'livingroom', 'court']",False
baseballbat,bedroom,den,"['sink', 'container', 'hive', 'den', 'bedroom']",False
basil,garden,garden,"['jar', 'bicycle', 'bunk', 'garden', 'quiver']",True
basketball,bedroom,cabinet,"['cabinet', 'bedroom', 'mailbox', 'card room', 'jacket']",False
bat,attic,range,"['range', 'attic', 'carton', 'butt', 'different room']",False
bath sheet,bedroom,bedroom,"['bedroom', 'tea room', 'broom closet', 'shelf', 'vault']",True
bathtub,bathroom,bathroom,"['dresser', 'separate room', 'shoe', 'bathroom', 'fridge']",True
bathtubbasin,bathroom,bathroom,"['package', 'tin', 'bathroom', 'barrel', 'nest']",True
batter,box,box,"['livingroom', 'place', 'box', 'can', 'freezer']",True
battery,childs room,none,"['floor', 'bus', 'plate', 'childs room', 'backyard']",False
beacon,range,range,"['range', 'loft', 'utility room', 'cruet', 'tin']",True
beanbag,child's bedroom,child's bedroom,"['briefcase', ""child's bedroom"", 'barrel', 'chest', 'hatbox']",True
beard color gel,utility room,utility room,"['tin', 'utility room', 'deck', ' middle of the room', 'study']",True
beauty pack,utility room,utility room,"['house', 'study', 'backyard', 'palace', 'utility room']",True
bed,bedroom,bedroom,"['bedroom drawer', 'pod', 'dishwasher', 'packet', 'bedroom']",True
bedroom,dwelling,refrigerator,"['refrigerator', 'class room', 'dwelling', 'sack', 'range']",False
beer,can,can,"['engine', 'can', 'sofa', 'most rooms', 'engine']",True
beet,can,container,"['loungeroom', 'toaster', 'foyer', 'container', 'can']",False
belt,closet,closet,"['jacket', 'childs room', 'hall', 'most rooms', 'closet']",True
beverage,bottle,dining room,"['dining room', 'parlor', 'case', 'bottle', ""prostitute's bedroom""]",False
binoculars,suitcase,shelf,"['kitchen or bathroom', 'belfry', 'shelf', 'quiver', 'suitcase']",False
biscuit,oven,oven,"['stove', 'mansion', 'dumpster', 'oven', ""children's room""]",True
blanket,closet,closet,"['closet', 'toolbox', 'hive', 'wallet', 'dimly lit room']",True
bleach cleanser,bathroom,bathroom,"['attic', 'jar', 'motel room', ""children's room"", 'bathroom']",True
blender,kitchen,kitchen,"['hotel room', 'living rooms', 'kitchen', 'wardrobe', 'package']",True
blender jar,garage,pantry,"['pantry', 'sack', 'bar', 'pitcher', 'garage']",False
blind,bedroom,beehive,"['beehive', 'bedroom', 'briefcase', 'bed', 'palace']",False
blouse,suitcase,suitcase,"['suitcase', 'butt', 'locker', 'tea room', 'bowl']",True
board game,childs room,different room,"['different room', 'most rooms', 'furniture', 'childs room', 'bed']",False
boat,bay,bay,"['every bedroom', ""men's restroom"", 'pantry', 'bay', 'quiver']",True
boater,boat,stand,"['place', 'dining room', 'boat', 'stand', ""person's living room""]",False
bolt,jar,jar,"['jar', 'package', 'garbage', 'den', 'bundle']",True
book,living room,living room,"['aquarium', 'locker', 'bike', 'garden', 'living room']",True
bookcase,den,bookshelf,"['den', 'hospital drug storeroom', 'bookshelf', 'pot', 'nest']",False
bookend,utility room,every bedroom,"['glass', 'utility room', 'larder', 'bathroom drawer', 'every bedroom']",False
bookshelf,bedroom,none,"['bedroom', 'teapot', 'boot', 'hamper', 'toaster']",False
boot,living room,tin,"['belfry', 'living room', 'floor', 'tin', 'one room flat']",False
booze,bar,bar,"['hall', 'hive', 'bar', 'small room', 'mailbox']",True
bottle,kitchen,kitchen,"['briefcase', 'kitchen', 'floor', 'dumpster', 'waiting room']",True
bourbon,barrel,barrel,"['tin', 'sofa', 'bathtub', 'barrel', 'card room']",True
bowl,kitchen,kitchen,"['packet', 'grand ballroom', 'locker', 'backyard', 'kitchen']",True
box,bedroom,bedroom,"['anor room', 'bath', 'bottle', 'bedroom', 'drawer']",True
bra,drawer,drawer,"['pot', 'bath', 'guest room', 'drawer', 'cat']",True
brain,head,head,"['every bedroom', 'head', 'keg', 'bowl', 'beehive']",True
brandy,bar,bar,"['waiting room', 'tank', 'bar', 'microwave', 'grand ballroom']",True
bread,kitchen,kitchen,"['kitchen', 'corridor', 'closet', 'machine', 'dining room']",True
breakfast,table,table,"['parlor', 'machine', 'table', 'childs room', 'garbage']",True
broccoli,oven,none,"['most rooms', 'truck', 'oven', 'tin', 'packet']",False
broiler,oven,oven,"['pot', 'motorbike', 'oven', 'cellar', 'broom closet']",True
broom,cabinet,cabinet,"['den', 'schoolroom', 'one of the classrooms', 'butt', 'cabinet']",True
bug,garden,garden,"['broom closet', 'garden', 'childs room', 'card room', 'cup']",True
bulb,lamp,lounge,"['lounge', 'sink', 'lamp', 'different room', 'cabin']",False
bullet,barrel,storage room,"['bike', 'hotel room', 'storage room', 'briefcase', 'barrel']",False
bumper,car,car,"['car', 'loft', 'ir rooms', 'home office', 'attic']",True
bun,breadbox,beehive,"['beehive', 'breadbox', 'well', ""child's bedroom"", 'tank']",False
bundt pan,living room,none,"['wallet', 'art classroom', 'living room', 'vault', 'bicycle']",False
bureau,bedroom,bedroom,"['camp', 'bedroom', 'tea room', 'box', 'sofa']",True
burner,oven,kitchen,"['oven', 'kitchen', 'chest', 'dumpster', 'laundry room']",False
butter dish,garage,cash's room,"['cellar', 'bunk', 'garage', 'trunk', ""cash's room""]",False
butterknife,kitchen,kitchen,"['can', 'kitchen', 'suitcase', 'shelf', 'tank']",True
cabbage,plate,bathroom drawer,"['bathroom drawer', 'boot', 'pocket', 'plate', 'card room']",False
cabinet,bathroom,none,"['grand ballroom', 'bay', ""child's room"", 'bathroom', 'backyard']",False
cake mix,lobby,pantry,"['laundry room', 'chest', 'pantry', 'lobby', 'microwave']",False
cake pan,childs room,truck,"['truck', 'childs room', 'pot', ""person's living room"", 'hamper']",False
calender,desk,desk,"['desk', 'cruet', 'sofa', 'master bedroom', 'broom closet']",True
camera,dining room,dining room,"['art classroom', 'press', 'tank', 'dining room', 'sedan']",True
camper,bunk,bunk,"['packet', 'bunk', 'one of the classrooms', 'pod', 'bay']",True
can opener,living room,living room,"['cabin', 'ambulance', 'motel room', 'living room', 'library']",True
candelabra,table,bar,"['anor room', 'bar', 'basement', 'stove', 'table']",False
candle,living room,living room,"['box', 'stove', 'belfry', 'washer', 'living room']",True
candle holder,corridor,none,"['bathroom or kitchen', 'corridor', 'tank', 'mansion', 'castle']",False
candlestick,table,table,"['dresser', 'art classroom', 'basement', 'lamp', 'table']",True
candy,lobby,packet,"['lobby', 'packet', 'dwelling', 'chamber', 'boot']",False
candy bar,garage,garage,"['garage', 'classroom', 'shell', 'belfry', 'glass']",True
canister,utility room,utility room,"[""child's bedroom"", 'deck', 'utility room', 'toolbox', 'nest']",True
canteen,backpack,backpack,"['backpack', 'carton', 'bike', 'court', 'schoolroom']",True
canvas,art classroom,art classroom,"['bike', 'home', 'keg', 'keg', 'art classroom']",True
cap,suitcase,suitcase,"['suitcase', 'grand ballroom', 'glass', 'apartment', 'orchestra']",True
