task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['drill', 'sponge', 'alligator wrench', 'kri', 'shampoo']",True
drying the dishes,absorb,sponge,sponge,"['tack hammer', 'toothpick', 'strickle', 'hunting knife', 'sponge']",True
removing moisture,absorb,sponge,sponge,"['soapbottle', 'steak knife', 'peppershaker', 'sponge', 'potato']",True
reheating coffee,be heated,pan,pan,"['tap wrench', 'footstool', 'desk lamp', 'pan', 'power saw']",True
cooking a fried egg,be heated,cup,cup,"['hand drill', 'hayfork', 'counterbore', 'cup', 'toilet paper']",True
cooking an omelette,be heated,pan,pan,"['common ax', 'pan', 'kirpan', ""croupier's rake"", 'fork']",True
reheating soup,be heated,kettle,kettle,"['punch', 'kettle', 'cloth', 'neolith', 'roach clip']",True
boiling water,be heated,plate,plate,"['toiletpaper', 'tamp', 'plate', 'laundryhamper', 'lightbulb']",True
decorating a room,beautify,steel wool pad,drawer,"['steel wool pad', 'coffee', 'soda can', 'drawer', 'axe']",False
arranging flowers,beautify,abrader,opener,"['opener', 'arm chair', 'basket ball', 'abrader', 'creditcard']",False
painting walls,beautify,rat tail file,rat tail file,"['tomato', 'vacuumcleaner', 'rat tail file', 'vase', 'allen wrench']",True
applying make-up,beautify,nailfile,nailfile,"['dogbed', 'ravehook', 'corkscrew', 'nailfile', 'handstamp']",True
shaping wire,bend,bender,bender,"['bender', 'ax', 'drawknife', 'spreader', 'pipe wrench']",True
adjusting blinds,bend,bender,bender,"['garden trowel', 'hacksaw', 'breadknife', 'food jar', 'bender']",True
fitting flexible piping,bend,saw set,pruning saw,"['bit', 'circular plane', 'scraper', 'saw set', 'pruning saw']",False
installing shelves,bore,bucksaw,ax,"['coffee machine', 'ax', 'shampoo', 'drawer', 'bucksaw']",False
hanging pictures,bore,straight flute,set square,"['set square', 'straight flute', 'jack plane', 'stamp', 'desk lamp']",False
assembling furniture,bore,router,hammer,"['router', 'crown saw', 'hammer', 'stapler', 'chamfer plane']",False
preparing food,break,jigsaw,steak knife,"['steak knife', 'soap bar', 'jigsaw', 'lightbulb', 'steel wool pad']",False
opening packaging,break,folding saw,folding saw,"['shovel', 'bender', 'bulldog wrench', 'abrading stone', 'folding saw']",True
breaking apart food items,break,bottle,hand ax,"['hand ax', 'cigar cutter', 'potato', 'o ring', 'bottle']",False
serving food,carry,vase,shaping tool,"['window', 'water bottle', 'shaping tool', 'egg', 'vase']",False
transporting liquids,carry,mug,mug,"['fridge', 'spud', 'mug', 'bread knife', 'straight flute']",True
serving a dish,carry,watering can,opener,"['combination plane', 'try square', 'catling', 'watering can', 'opener']",False
watering plants,carry,plate,tap,"['tap', 'try square', 'spiral ratchet screwdriver', 'plate', 'dibble']",False
decorating pumpkins,carve,yataghan,taper file,"['bathtubbasin', 'plastic box', 'yataghan', 'sawmill', 'taper file']",False
preparing meat,carve,tableknife,tableknife,"['grapnel', 'wire cutter', 'showerdoor', 'tableknife', 'shaver']",True
crafting with wood,carve,barong,gouge,"['barong', 'bullnose', 'salt', 'room decor', 'gouge']",False
replacing light bulbs,change,signet,portable saw,"['clincher', 'pitchfork', 'pruning saw', 'signet', 'portable saw']",False
changing bed sheets,change,ram,drawer,"['razor', 'crosscut saw', 'drawer', 'toothpick', 'ram']",False
swapping out filters,change,rock bit,rat tail file,"['stool', 'broadax', 'plexor.n.wn.medicine', 'rat tail file', 'rock bit']",False
preparing cooking ingredients,chop,half hatchet,butcher knife,"['butcher knife', 'steel wool pad', 'bread', 'half hatchet', 'pruning shear']",False
cutting meat,chop,claw hatchet,claw hatchet,"['lightbulb', 'blind', 'rounder', 'barong', 'claw hatchet']",True
making firewood,chop,fireman's ax,fireman's ax,"['chisel', 'coffeetable', ""fireman's ax"", 'case knife', 'bread knife']",True
washing dishes,clean,vaccum cleaner,brick trowel,"['vaccum cleaner', 'common ax', 'dovetail plane', 'potato', 'brick trowel']",False
throwing away uneaten food,clean,tableknife,tableknife,"['pruning knife', 'coffeetable', 'tableknife', 'eolith', 'trench knife']",True
cleaning spilled milk,clean,jigsaw,ladle,"['battering ram', 'lancet', 'jigsaw', 'ladle', 'grapnel']",False
cleaning the mirror,clean,vaccum cleaner,square,"['desk lamp', 'vaccum cleaner', 'razor', 'bodkin', 'square']",False
cleaning the fridge,clean,saber saw,spray bottle,"['showerhead', 'oven', 'spray bottle', 'spade bit', 'saber saw']",False
