object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,palace,"['palace', 'car', 'laundry room', 'pantry room', 'suitcase']",False
adjustable wrench,bedroom,press,"['cat', 'bedroom', 'loft', 'glass', 'press']",False
alarmclock,bedroom,bedroom,"[""child's room"", 'different room', 'larder', 'attic', 'bedroom']",True
aluminumfoil,kitchen,kitchen,"[""prostitute's bedroom"", 'kitchen', 'exercise room', 'bathroom cabinet', 'lamp']",True
android figure,corridor,separate room,"['teapot', 'chest', 'separate room', 'castle', 'corridor']",False
anti slip tape,exercise room,exercise room,"['icebox', ""children's room"", 'exercise room', 'home', 'side of  room']",True
antidepressant,pantry room,pantry room,"['larder', 'bundle', 'pantry room', 'motel room', 'laundry room']",True
antique,attic,hall,"['butt', 'hall', 'pot', 'court', 'attic']",False
apple,kitchen,kitchen,"['cup', 'loft', 'furniture', 'bus', 'kitchen']",True
applesauce,jar,jar,"['engine', 'teapot', 'dishwasher', 'sack', 'jar']",True
appliance,home,dining room,"['dining room', 'hamper', 'home', 'chest', 'backyard']",False
apricot,table,table,"['bike', 'tea room', 'bathroom', 'bar', 'table']",True
armchair,bedroom,bedroom,"['bedroom', 'suitcase', 'ir rooms', 'classroom', 'basket']",True
armoire,living room,cabin,"['living room', 'vault', 'hospital drug storeroom', 'music room', 'cabin']",False
armrest,car,car,"['purse', 'childs room', 'car', 'wallet', 'room of house']",True
arrow,quiver,quiver,"['can', 'quiver', 'oven', 'container', 'restroom']",True
artichoke,refrigerator,refrigerator,"['freezer', 'refrigerator', ""teenager's bedroom"", 'range', 'bookshelf']",True
article,press,press,"['press', 'ambulance', 'middle of  room', 'way', 'drawer']",True
ashtray,house,guest room,"['storage room', 'guest room', 'basket', 'orchestra', 'house']",False
asparagus,oven,pantry room,"[""cash's room"", 'glass', 'oven', 'pantry room', 'stand']",False
