question,full_answer,final_answer,correct_answer
"Here are a few examples:
Meal: BBQ Ribs with Coleslaw 
<end_of_turn>
Cutlery: Hands, Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Pasta with meatballs 
<end_of_turn>
Cutlery: Fork, Spoon
Meal: Yogurt Parfait 
<end_of_turn>
Cutlery: Spoon
Meal: Spicy Sichuan Noodles 
<end_of_turn>
Cutlery: Hands, Chopsticks
Meal: Roast Chicken Dinner 
<end_of_turn>
Cutlery: Knife, Fork, Spoon
Meal: Steak and Roasted Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork

Meal: Lamb and Bean Nachos With Salsa Fresca
Cutlery: ","Hands, Fork 
<end_of_turn>","[<Utensil.FORK: 'Fork'>, <Utensil.HANDS: 'Hands'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]"
"Here are a few examples:
Meal: BBQ Ribs with Coleslaw 
<end_of_turn>
Cutlery: Hands, Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Pasta with meatballs 
<end_of_turn>
Cutlery: Fork, Spoon
Meal: Yogurt Parfait 
<end_of_turn>
Cutlery: Spoon
Meal: Spicy Sichuan Noodles 
<end_of_turn>
Cutlery: Hands, Chopsticks
Meal: Roast Chicken Dinner 
<end_of_turn>
Cutlery: Knife, Fork, Spoon
Meal: Steak and Roasted Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork

Meal: Meatloaf With BBQ Sauce
Cutlery: ","Knife, Fork 
<end_of_turn>","[<Utensil.FORK: 'Fork'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]"
"Here are a few examples:
Meal: BBQ Ribs with Coleslaw 
<end_of_turn>
Cutlery: Hands, Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Pasta with meatballs 
<end_of_turn>
Cutlery: Fork, Spoon
Meal: Yogurt Parfait 
<end_of_turn>
Cutlery: Spoon
Meal: Spicy Sichuan Noodles 
<end_of_turn>
Cutlery: Hands, Chopsticks
Meal: Roast Chicken Dinner 
<end_of_turn>
Cutlery: Knife, Fork, Spoon
Meal: Steak and Roasted Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork

Meal: Tiramisu
Cutlery: ","Spoon 
<end_of_turn>",[<Utensil.SPOON: 'Spoon'>],"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]"
"Here are a few examples:
Meal: BBQ Ribs with Coleslaw 
<end_of_turn>
Cutlery: Hands, Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Pasta with meatballs 
<end_of_turn>
Cutlery: Fork, Spoon
Meal: Yogurt Parfait 
<end_of_turn>
Cutlery: Spoon
Meal: Spicy Sichuan Noodles 
<end_of_turn>
Cutlery: Hands, Chopsticks
Meal: Roast Chicken Dinner 
<end_of_turn>
Cutlery: Knife, Fork, Spoon
Meal: Steak and Roasted Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork

Meal: Loaded Potato Soup
Cutlery: ","Spoon 
<end_of_turn>",[<Utensil.SPOON: 'Spoon'>],[<Utensil.SPOON: 'Spoon'>]
"Here are a few examples:
Meal: BBQ Ribs with Coleslaw 
<end_of_turn>
Cutlery: Hands, Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Pasta with meatballs 
<end_of_turn>
Cutlery: Fork, Spoon
Meal: Yogurt Parfait 
<end_of_turn>
Cutlery: Spoon
Meal: Spicy Sichuan Noodles 
<end_of_turn>
Cutlery: Hands, Chopsticks
Meal: Roast Chicken Dinner 
<end_of_turn>
Cutlery: Knife, Fork, Spoon
Meal: Steak and Roasted Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork

Meal: Vegan Sushi Roll with Avocado, Carrot and Cucumber
Cutlery: ","Chopsticks 
<end_of_turn>",[<Utensil.CHOPS: 'Chopsticks'>],"[<Utensil.HANDS: 'Hands'>, <Utensil.CHOPS: 'Chopsticks'>]"
"Here are a few examples:
Meal: BBQ Ribs with Coleslaw 
<end_of_turn>
Cutlery: Hands, Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Pasta with meatballs 
<end_of_turn>
Cutlery: Fork, Spoon
Meal: Yogurt Parfait 
<end_of_turn>
Cutlery: Spoon
Meal: Spicy Sichuan Noodles 
<end_of_turn>
Cutlery: Hands, Chopsticks
Meal: Roast Chicken Dinner 
<end_of_turn>
Cutlery: Knife, Fork, Spoon
Meal: Steak and Roasted Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork

Meal: Spaghettini Bolognese
Cutlery: ","Fork, Spoon 
<end_of_turn>","[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]"
"Here are a few examples:
Meal: BBQ Ribs with Coleslaw 
<end_of_turn>
Cutlery: Hands, Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Pasta with meatballs 
<end_of_turn>
Cutlery: Fork, Spoon
Meal: Yogurt Parfait 
<end_of_turn>
Cutlery: Spoon
Meal: Spicy Sichuan Noodles 
<end_of_turn>
Cutlery: Hands, Chopsticks
Meal: Roast Chicken Dinner 
<end_of_turn>
Cutlery: Knife, Fork, Spoon
Meal: Steak and Roasted Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork

Meal: Meatballs With Orzo and Italian Vegetables
Cutlery: ","Fork, Spoon 
<end_of_turn>","[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]"
"Here are a few examples:
Meal: BBQ Ribs with Coleslaw 
<end_of_turn>
Cutlery: Hands, Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Pasta with meatballs 
<end_of_turn>
Cutlery: Fork, Spoon
Meal: Yogurt Parfait 
<end_of_turn>
Cutlery: Spoon
Meal: Spicy Sichuan Noodles 
<end_of_turn>
Cutlery: Hands, Chopsticks
Meal: Roast Chicken Dinner 
<end_of_turn>
Cutlery: Knife, Fork, Spoon
Meal: Steak and Roasted Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork

Meal: Orange Spinach Salmon Salad
Cutlery: ","Fork, Spoon 
<end_of_turn>","[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]"
"Here are a few examples:
Meal: BBQ Ribs with Coleslaw 
<end_of_turn>
Cutlery: Hands, Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Pasta with meatballs 
<end_of_turn>
Cutlery: Fork, Spoon
Meal: Yogurt Parfait 
<end_of_turn>
Cutlery: Spoon
Meal: Spicy Sichuan Noodles 
<end_of_turn>
Cutlery: Hands, Chopsticks
Meal: Roast Chicken Dinner 
<end_of_turn>
Cutlery: Knife, Fork, Spoon
Meal: Steak and Roasted Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork

Meal: Moussaka with Rice
Cutlery: ","Fork, Spoon 
<end_of_turn>","[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]"
"Here are a few examples:
Meal: BBQ Ribs with Coleslaw 
<end_of_turn>
Cutlery: Hands, Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Pasta with meatballs 
<end_of_turn>
Cutlery: Fork, Spoon
Meal: Yogurt Parfait 
<end_of_turn>
Cutlery: Spoon
Meal: Spicy Sichuan Noodles 
<end_of_turn>
Cutlery: Hands, Chopsticks
Meal: Roast Chicken Dinner 
<end_of_turn>
Cutlery: Knife, Fork, Spoon
Meal: Steak and Roasted Potatoes 
<end_of_turn>
Cutlery: Knife, Fork
Meal: Steak and Potatoes 
<end_of_turn>
Cutlery: Knife, Fork

Meal: Miso Broth Ramen
Cutlery: ","Chopsticks, Spoon 
<end_of_turn>","[<Utensil.CHOPS: 'Chopsticks'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.CHOPS: 'Chopsticks'>, <Utensil.SPOON: 'Spoon'>]"
