object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,suitcase,"['car', 'laundry room', 'palace', 'pantry room', 'suitcase']",False
adjustable wrench,bedroom,loft,"['bedroom', 'loft', 'glass', 'cat', 'press']",False
alarmclock,bedroom,bedroom,"[""child's room"", 'attic', 'larder', 'different room', 'bedroom']",True
aluminumfoil,kitchen,kitchen,"[""prostitute's bedroom"", 'lamp', 'exercise room', 'bathroom cabinet', 'kitchen']",True
android figure,corridor,separate room,"['teapot', 'corridor', 'chest', 'separate room', 'castle']",False
anti slip tape,exercise room,exercise room,"['side of the room', 'home', 'icebox', 'exercise room', ""children's room""]",True
antidepressant,pantry room,motel room,"['laundry room', 'larder', 'bundle', 'pantry room', 'motel room']",False
antique,attic,hall,"['hall', 'attic', 'court', 'butt', 'pot']",False
apple,kitchen,kitchen,"['furniture', 'cup', 'loft', 'kitchen', 'bus']",True
applesauce,jar,jar,"['dishwasher', 'sack', 'jar', 'teapot', 'engine']",True
appliance,home,home,"['backyard', 'home', 'dining room', 'hamper', 'chest']",True
apricot,table,table,"['bathroom', 'table', 'bike', 'tea room', 'bar']",True
armchair,bedroom,bedroom,"['bedroom', 'basket', 'suitcase', 'ir rooms', 'classroom']",True
armoire,living room,cabin,"['vault', 'living room', 'cabin', 'music room', 'hospital drug storeroom']",False
armrest,car,car,"['purse', 'wallet', 'childs room', 'room of the house', 'car']",True
arrow,quiver,quiver,"['restroom', 'container', 'oven', 'can', 'quiver']",True
artichoke,refrigerator,refrigerator,"[""teenager's bedroom"", 'bookshelf', 'range', 'refrigerator', 'freezer']",True
article,press,drawer,"['way', ' middle of the room', 'drawer', 'ambulance', 'press']",False
ashtray,house,house,"['house', 'guest room', 'storage room', 'basket', 'orchestra']",True
asparagus,oven,pantry room,"['pantry room', ""cash's room"", 'glass', 'stand', 'oven']",False
atm,bank,bank,"['bathroom', 'palace', 'palace', 'bank', 'dining room']",True
attic,home,home,"['family room', 'home', 'deck', 'dresser', 'bank']",True
backpack,storage room,children's room,"['loungeroom', 'pantry', 'storage room', ""children's room"", 'barrel']",False
bacon,oven,oven,"['art classroom', 'oven', 'briefcase', 'butt', 'classroom']",True
balancing cactus,television room,television room,"['pocket', 'locker', 'small room', 'small room', 'television room']",True
ball,sack,sack,"['ambulance', 'truck', 'sack', 'motorbike', 'bathtub']",True
balustrade,grand ballroom,grand ballroom,"['storage room', 'camp', 'motel room', 'grand ballroom', 'classroom']",True
banana,closet,small room,"['closet', 'bathroom drawer', 'small room', 'plate', 'castle']",False
bar,oven,stand,"['oven', 'bookshelf', 'side of the room', 'stand', 'backyard']",False
baseball,lobby,court,"['court', 'livingroom', 'band room', 'lobby', 'glass']",False
baseballbat,bedroom,container,"['hive', 'container', 'den', 'sink', 'bedroom']",False
basil,garden,garden,"['bicycle', 'quiver', 'bunk', 'garden', 'jar']",True
basketball,bedroom,cabinet,"['cabinet', 'card room', 'jacket', 'mailbox', 'bedroom']",False
bat,attic,attic,"['range', 'different room', 'attic', 'carton', 'butt']",True
bath sheet,bedroom,bedroom,"['tea room', 'shelf', 'broom closet', 'vault', 'bedroom']",True
bathtub,bathroom,bathroom,"['fridge', 'bathroom', 'separate room', 'dresser', 'shoe']",True
bathtubbasin,bathroom,bathroom,"['tin', 'bathroom', 'nest', 'barrel', 'package']",True
batter,box,freezer,"['livingroom', 'box', 'can', 'freezer', 'place']",False
battery,childs room,floor,"['plate', 'backyard', 'bus', 'floor', 'childs room']",False
beacon,range,utility room,"['loft', 'range', 'utility room', 'cruet', 'tin']",False
beanbag,child's bedroom,child's bedroom,"['briefcase', ""child's bedroom"", 'barrel', 'chest', 'hatbox']",True
beard color gel,utility room,study,"['deck', ' middle of the room', 'study', 'utility room', 'tin']",False
beauty pack,utility room,house,"['study', 'house', 'utility room', 'palace', 'backyard']",False
bed,bedroom,bedroom,"['bedroom', 'dishwasher', 'packet', 'pod', 'bedroom drawer']",True
bedroom,dwelling,dwelling,"['class room', 'refrigerator', 'range', 'dwelling', 'sack']",True
beer,can,most rooms,"['most rooms', 'can', 'engine', 'engine', 'sofa']",False
beet,can,container,"['loungeroom', 'container', 'toaster', 'foyer', 'can']",False
belt,closet,closet,"['childs room', 'closet', 'hall', 'most rooms', 'jacket']",True
beverage,bottle,dining room,"['dining room', ""prostitute's bedroom"", 'bottle', 'parlor', 'case']",False
binoculars,suitcase,shelf,"['shelf', 'suitcase', 'belfry', 'kitchen or bathroom', 'quiver']",False
biscuit,oven,mansion,"[""children's room"", 'dumpster', 'mansion', 'oven', 'stove']",False
blanket,closet,closet,"['hive', 'wallet', 'dimly lit room', 'toolbox', 'closet']",True
bleach cleanser,bathroom,bathroom,"[""children's room"", 'attic', 'bathroom', 'motel room', 'jar']",True
blender,kitchen,kitchen,"['package', 'wardrobe', 'kitchen', 'living rooms', 'hotel room']",True
blender jar,garage,pantry,"['pantry', 'garage', 'sack', 'bar', 'pitcher']",False
blind,bedroom,bedroom,"['beehive', 'palace', 'bed', 'bedroom', 'briefcase']",True
blouse,suitcase,suitcase,"['suitcase', 'locker', 'butt', 'bowl', 'tea room']",True
board game,childs room,different room,"['furniture', 'most rooms', 'bed', 'different room', 'childs room']",False
boat,bay,bay,"[""men's restroom"", 'every bedroom', 'bay', 'pantry', 'quiver']",True
boater,boat,boat,"['stand', ""person's living room"", 'boat', 'place', 'dining room']",True
bolt,jar,jar,"['bundle', 'jar', 'den', 'package', 'garbage']",True
book,living room,living room,"['bike', 'aquarium', 'garden', 'locker', 'living room']",True
bookcase,den,bookshelf,"['hospital drug storeroom', 'nest', 'bookshelf', 'den', 'pot']",False
bookend,utility room,every bedroom,"['bathroom drawer', 'larder', 'utility room', 'glass', 'every bedroom']",False
bookshelf,bedroom,bedroom,"['boot', 'toaster', 'hamper', 'bedroom', 'teapot']",True
boot,living room,one room flat,"['belfry', 'one room flat', 'living room', 'tin', 'floor']",False
booze,bar,bar,"['hall', 'mailbox', 'bar', 'hive', 'small room']",True
bottle,kitchen,kitchen,"['dumpster', 'waiting room', 'floor', 'briefcase', 'kitchen']",True
bourbon,barrel,barrel,"['tin', 'card room', 'barrel', 'bathtub', 'sofa']",True
bowl,kitchen,kitchen,"['packet', 'kitchen', 'backyard', 'locker', 'grand ballroom']",True
box,bedroom,drawer,"['drawer', 'anor room', 'bottle', 'bedroom', 'bath']",False
bra,drawer,drawer,"['pot', 'guest room', 'cat', 'bath', 'drawer']",True
brain,head,head,"['keg', 'head', 'every bedroom', 'beehive', 'bowl']",True
brandy,bar,bar,"['tank', 'grand ballroom', 'bar', 'waiting room', 'microwave']",True
bread,kitchen,kitchen,"['dining room', 'machine', 'closet', 'kitchen', 'corridor']",True
breakfast,table,table,"['garbage', 'table', 'parlor', 'machine', 'childs room']",True
broccoli,oven,oven,"['packet', 'most rooms', 'truck', 'tin', 'oven']",True
broiler,oven,oven,"['broom closet', 'cellar', 'motorbike', 'oven', 'pot']",True
broom,cabinet,cabinet,"['one of the classrooms', 'cabinet', 'schoolroom', 'butt', 'den']",True
bug,garden,garden,"['broom closet', 'cup', 'childs room', 'garden', 'card room']",True
bulb,lamp,lamp,"['lamp', 'cabin', 'sink', 'lounge', 'different room']",True
bullet,barrel,storage room,"['hotel room', 'bike', 'briefcase', 'storage room', 'barrel']",False
bumper,car,car,"['attic', 'car', 'loft', 'ir rooms', 'home office']",True
bun,breadbox,breadbox,"['beehive', 'breadbox', ""child's bedroom"", 'well', 'tank']",True
bundt pan,living room,art classroom,"['living room', 'bicycle', 'wallet', 'art classroom', 'vault']",False
bureau,bedroom,bedroom,"['sofa', 'box', 'bedroom', 'camp', 'tea room']",True
burner,oven,kitchen,"['kitchen', 'dumpster', 'oven', 'chest', 'laundry room']",False
butter dish,garage,cellar,"['cellar', 'garage', ""cash's room"", 'trunk', 'bunk']",False
butterknife,kitchen,kitchen,"['shelf', 'kitchen', 'suitcase', 'tank', 'can']",True
cabbage,plate,plate,"['pocket', 'boot', 'bathroom drawer', 'plate', 'card room']",True
cabinet,bathroom,child's room,"['bathroom', 'bay', ""child's room"", 'backyard', 'grand ballroom']",False
cake mix,lobby,pantry,"['chest', 'laundry room', 'lobby', 'microwave', 'pantry']",False
cake pan,childs room,pot,"['pot', 'hamper', ""person's living room"", 'childs room', 'truck']",False
calender,desk,desk,"['sofa', 'broom closet', 'desk', 'master bedroom', 'cruet']",True
camera,dining room,art classroom,"['tank', 'press', 'sedan', 'dining room', 'art classroom']",False
camper,bunk,bay,"['one of the classrooms', 'pod', 'bunk', 'packet', 'bay']",False
can opener,living room,motel room,"['living room', 'library', 'cabin', 'motel room', 'ambulance']",False
candelabra,table,table,"['anor room', 'stove', 'basement', 'bar', 'table']",True
candle,living room,living room,"['washer', 'belfry', 'living room', 'box', 'stove']",True
candle holder,corridor,mansion,"['mansion', 'corridor', 'bathroom or kitchen', 'castle', 'tank']",False
candlestick,table,table,"['lamp', 'art classroom', 'table', 'basement', 'dresser']",True
candy,lobby,dwelling,"['chamber', 'lobby', 'packet', 'dwelling', 'boot']",False
candy bar,garage,garage,"['classroom', 'shell', 'belfry', 'glass', 'garage']",True
canister,utility room,utility room,"['toolbox', 'nest', 'utility room', 'deck', ""child's bedroom""]",True
canteen,backpack,backpack,"['carton', 'backpack', 'bike', 'schoolroom', 'court']",True
canvas,art classroom,art classroom,"['keg', 'art classroom', 'home', 'bike', 'keg']",True
cap,suitcase,suitcase,"['apartment', 'suitcase', 'grand ballroom', 'orchestra', 'glass']",True
carburettor,car,car,"['cubicle', 'wardrobe', 'furniture', 'car', 'sedan']",True
card,box,purse,"['cabin', 'closet', 'box', 'study', 'purse']",False
card game,playroom,playroom,"[""teenager's bedroom"", ""child's room"", 'playroom', 'ambulance', 'side of the room']",True
carpeting,house,house,"['closet', 'container', 'engine', 'house', 'larder']",True
carrot,fridge,fridge,"['butt', 'fridge', 'hall', 'sink', 'cradle']",True
carrying case,kitchen,dormroom,"['wardrobe', 'kitchen', 'dormroom', 'handbag', 'belfry']",False
case,trunk,trunk,"['bright room', 'dishwasher', 'trunk', 'bathroom and kitchen', 'separate room']",True
casserole dish,television room,case,"['television room', 'floor', 'case', 'one of the classrooms', 'nest']",False
cauliflower,oven,oven,"['small room', 'oven', 'boot', 'living rooms', 'wallet']",True
cd,bedroom,bedroom,"['bedroom', 'place', 'corridor', 'shaker', 'deck']",True
celery,refrigerator,refrigerator,"['numerous modern washrooms', 'refrigerator', 'pan', 'lobby', 'engine']",True
cellar,basement,basement,"[""person's living room"", 'drawer', 'room of the house', 'basement', 'dresser']",True
cellphone,living room,living room,"['living room', 'basket', 'bank', 'machine', 'guest room']",True
centerpiece,table,table,"['trunk', 'schoolroom', 'table', 'suitcase', 'briefcase']",True
cereal,living room,living room,"['desk', 'living room', 'livingroom', 'laundry room', 'pan']",True
chain,dining room,chest,"['livin room', 'art classroom', 'dining room', 'sedan', 'chest']",False
chair,living room,living room,"[""men's restroom"", 'dimly lit room', 'living room', 'castle', 'storage room']",True
chalk,classroom,classroom,"['carton', 'tank', 'bathroom cabinet', 'classroom', 'plate']",True
chalkboard,classroom,classroom,"['larder', 'classroom', 'bathroom drawer', 'family room', 'garage']",True
check,bank,bank,"['bay', 'lounge', 'freezer', 'bank', ""prostitute's bedroom""]",True
cheese,fridge,fridge,"['freezer', 'fridge', 'music room', 'press', 'living room']",True
chesterfield,living room,living room,"['living room', 'plate', 'television room', 'stove', 'belfry']",True
chicken,freezer,freezer,"['camp', ""child's room"", 'family room', 'freezer', 'tea room']",True
chickpea,oven,basket,"['stand', 'basket', 'oven', 'every bedroom', 'hatbox']",False
china,cabinet,cabinet,"['cabinet', 'table', 'bath', 'freezer', 'bay']",True
chip,pot,card room,"['pot', 'bed', 'hamper', 'deck', 'card room']",False
chocolate,childs room,container,"['hospital drug storeroom', 'container', 'art classroom', 'safe', 'childs room']",False
chocolate box,exercise room,dresser,"['exercise room', 'dresser', 'apartment', 'automobile', 'bookshelf']",False
chocolate milk pods,kitchen,kitchen,"['bathroom or kitchen', 'dungeon', ""men's restroom"", 'music room', 'kitchen']",True
chocolate powder,playroom,refrigerator,"['chest', 'playroom', 'garbage', 'nest', 'refrigerator']",False
chopping board,television room,counter,"['truck', 'hall', 'counter', 'toolbox', 'television room']",False
cinnamon,kitchen,kitchen,"['art classroom', 'dresser', 'kitchen', 'bathroom drawer', 'purse']",True
clamp,lobby,apartment,"['waiting room', 'lobby', 'apartment', 'freezer', 'camp']",False
clay,storage room,storage room,"['ballroom', 'bank', 'attic', 'storage room', 'toolbox']",True
clipboard,desk,desk,"['desk', 'cabinet', 'jar', 'wardrobe', 'art classroom']",True
clock,television room,television room,"['shaker', 'bar', 'head', 'oven', 'television room']",True
closet,apartment,apartment,"['oven', 'apartment', 'boat', 'bright room', 'garbage']",True
cloth,bathroom,bathroom,"['schoolroom', 'bathroom', 'music room', 'one room flat', 'well']",True
clothing,house,child's bedroom,"['house', 'broom closet', ""child's bedroom"", 'hatbox', 'jar']",False
coaster,table,table,"[""child's bedroom"", 'bathroom cabinet', 'table', 'every bedroom', 'bathroom']",True
coat,closet,closet,"['room of the house', 'motel room', 'closet', 'jacket', 'stand']",True
coating,range,furniture,"['furniture', 'dumpster', 'bath', 'range', 'garbage']",False
cockpit,head,different room,"['butt', 'different room', 'camp', 'head', 'camp']",False
coffee,pot,pot,"['bike', 'side of the room', 'cat', 'broom closet', 'pot']",True
coffee beans,exercise room,bar,"['bar', 'ballroom', 'beehive', 'exercise room', 'one of the classrooms']",False
coffee pods,closet,shelf,"['guest room', 'camp', 'toaster', 'closet', 'shelf']",False
coffeemachine,kitchen,kitchen,"['most rooms', 'kitchen', 'basket', 'box', 'pantry']",True
coffeemaker,exercise room,sofa,"['exercise room', 'delivery room', ""prostitute's bedroom"", 'sofa', 'pod']",False
