task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['alligator wrench', 'shampoo', 'drill', 'kri', 'sponge']",True
drying the dishes,absorb,sponge,sponge,"['strickle', 'hunting knife', 'toothpick', 'sponge', 'tack hammer']",True
removing moisture,absorb,sponge,sponge,"['steak knife', 'potato', 'soapbottle', 'sponge', 'peppershaker']",True
reheating coffee,be heated,pan,pan,"['desk lamp', 'power saw', 'footstool', 'tap wrench', 'pan']",True
cooking a fried egg,be heated,cup,cup,"['hayfork', 'toilet paper', 'cup', 'counterbore', 'hand drill']",True
cooking an omelette,be heated,pan,pan,"['fork', 'common ax', 'pan', 'kirpan', ""croupier's rake""]",True
reheating soup,be heated,kettle,kettle,"['cloth', 'kettle', 'neolith', 'punch', 'roach clip']",True
boiling water,be heated,plate,plate,"['laundryhamper', 'lightbulb', 'tamp', 'toiletpaper', 'plate']",True
decorating a room,beautify,steel wool pad,drawer,"['coffee', 'axe', 'drawer', 'soda can', 'steel wool pad']",False
arranging flowers,beautify,abrader,arm chair,"['basket ball', 'opener', 'creditcard', 'arm chair', 'abrader']",False
painting walls,beautify,rat tail file,vase,"['vase', 'allen wrench', 'vacuum cleaner', 'tomato', 'rat tail file']",False
applying make-up,beautify,nailfile,handstamp,"['handstamp', 'nailfile', 'ravehook', 'dogbed', 'corkscrew']",False
shaping wire,bend,bender,bender,"['drawknife', 'ax', 'spreader', 'pipe wrench', 'bender']",True
adjusting blinds,bend,bender,bender,"['hacksaw', 'food jar', 'garden trowel', 'breadknife', 'bender']",True
fitting flexible piping,bend,saw set,bit,"['circular plane', 'scraper', 'pruning saw', 'bit', 'saw set']",False
installing shelves,bore,bucksaw,bucksaw,"['bucksaw', 'drawer', 'coffee machine', 'ax', 'shampoo']",True
hanging pictures,bore,straight flute,set square,"['jack plane', 'desk lamp', 'stamp', 'straight flute', 'set square']",False
assembling furniture,bore,router,hammer,"['crown saw', 'router', 'stapler', 'hammer', 'chamfer plane']",False
preparing food,break,jigsaw,steak knife,"['steel wool pad', 'lightbulb', 'steak knife', 'jigsaw', 'soap bar']",False
opening packaging,break,folding saw,bulldog wrench,"['folding saw', 'abrading stone', 'bender', 'shovel', 'bulldog wrench']",False
breaking apart food items,break,bottle,hand ax,"['hand ax', 'cigar cutter', 'o ring', 'potato', 'bottle']",False
serving food,carry,vase,vase,"['water bottle', 'egg', 'vase', 'shaping tool', 'window']",True
transporting liquids,carry,mug,mug,"['fridge', 'spud', 'straight flute', 'mug', 'bread knife']",True
serving a dish,carry,watering can,try square,"['combination plane', 'opener', 'watering can', 'try square', 'catling']",False
watering plants,carry,plate,tap,"['tap', 'dibble', 'spiral ratchet screwdriver', 'try square', 'plate']",False
decorating pumpkins,carve,yataghan,taper file,"['taper file', 'plastic box', 'yataghan', 'bathtubbasin', 'sawmill']",False
preparing meat,carve,tableknife,tableknife,"['grapnel', 'shaver', 'showerdoor', 'tableknife', 'wire cutter']",True
crafting with wood,carve,barong,gouge,"['bullnose', 'gouge', 'salt', 'barong', 'room decor']",False
replacing light bulbs,change,signet,clincher,"['pruning saw', 'clincher', 'pitchfork', 'portable saw', 'signet']",False
changing bed sheets,change,ram,ram,"['razor', 'toothpick', 'crosscut saw', 'ram', 'drawer']",True
swapping out filters,change,rock bit,stool,"['plexor.n.wn.medicine', 'rock bit', 'stool', 'rat tail file', 'broadax']",False
preparing cooking ingredients,chop,half hatchet,butcher knife,"['pruning shear', 'steel wool pad', 'butcher knife', 'half hatchet', 'bread']",False
cutting meat,chop,claw hatchet,barong,"['blind', 'claw hatchet', 'lightbulb', 'rounder', 'barong']",False
making firewood,chop,fireman's ax,fireman's ax,"['bread knife', ""fireman's ax"", 'coffeetable', 'chisel', 'case knife']",True
washing dishes,clean,vaccum cleaner,vaccum cleaner,"['brick trowel', 'dovetail plane', 'potato', 'vaccum cleaner', 'common ax']",True
throwing away uneaten food,clean,tableknife,tableknife,"['trench knife', 'pruning knife', 'tableknife', 'eolith', 'coffeetable']",True
cleaning spilled milk,clean,jigsaw,ladle,"['ladle', 'lancet', 'grapnel', 'jigsaw', 'battering ram']",False
cleaning the mirror,clean,vaccum cleaner,razor,"['vaccum cleaner', 'bodkin', 'square', 'desk lamp', 'razor']",False
cleaning the fridge,clean,saber saw,spray bottle,"['spade bit', 'spray bottle', 'showerhead', 'saber saw', 'oven']",False
cleaning the blinds,clean,bandsaw,plunger,"['floorlamp', 'bandsaw', 'drilling bit', 'plunger', 'lancet']",False
cleaning the shower head,clean,towel,towel,"['camera', 'vaccum cleaner', 'head gasket', 'binder', 'towel']",True
dusting the statue,clean,power tool,toilet paper,"['alarm clock', 'chair', 'power tool', 'toilet paper', 'food cup']",False
cleaning the toilet,clean,portable saw,spray bottle,"['spray bottle', 'portable saw', 'drilling bit', 'plexor.n.wn.medicine', 'floor']",False
cleaning the floor,clean,power saw,basket ball,"['bowie knife', 'square', 'ottoman', 'basket ball', 'power saw']",False
washing your face,clean,electric hammer,none,"['pruning saw', 'electric hammer', 'ice ax', 'bolt cutter', 'floor lamp']",False
watching a movie,comfort,chair,chair,"['desk', 'towelholder', 'hook wrench', 'chair', 'electric drill']",True
setting up bedding,comfort,ottoman,ottoman,"['hedge trimmer', 'to go cup', 'tabletopdecor', 'sponge', 'ottoman']",True
choosing a comfortable seat,comfort,ottoman,ottoman,"['power mower', 'buffer', 'garden spade', 'ottoman', 'scrub brush']",True
storing clothes,compress,stemmer,o ring,"['o ring', 'steel wool pad', 'phillips screwdriver', 'nailfile', 'stemmer']",False
reducing space in bin,compress,stemmer,bucksaw,"['remote control', 'desktop', 'bucksaw', 'comb', 'stemmer']",False
preparing food,compress,stemmer,bread,"['burin', 'handsaw', 'rammer', 'bread', 'stemmer']",False
storing food,contain,fish knife,microwave,"['microwave', 'poniard', 'steel wool pad', 'fish knife', 'switchblade']",False
measuring liquids,contain,butter knife,cell phone,"['butter knife', 'weeder', 'wrench', 'cell phone', 'pitchfork']",False
managing waste,contain,tray,scraper,"['scraper', 'baseballbat', 'arm chair', 'tray', 'slick']",False
being filled with a liquid,contain,table knife,cigar cutter,"['table knife', 'lochaber ax', 'crosscut saw', 'flat file', 'cigar cutter']",False
adjusting device settings,control,handsaw,handsaw,"['pot', 'pointing trowel', 'tennis racket', 'common ax', 'handsaw']",True
managing lighting,control,electric hammer,electric hammer,"['electric hammer', 'plane', 'buffer', 'pick', 'machete']",True
operating appliances,control,compass saw,bender,"['dagger', 'toilet paper', 'bender', 'compass saw', 'toiletpaperhanger']",False
keeping food from going bad,cool,drum sander,microwave,"['side table', 'scythe', 'microwave', 'drum sander', 'scraper']",False
freezing food,cool,drum sander,seal,"['garden spade', 'rounder', 'bathtub', 'seal', 'drum sander']",False
making ice,cool,drum sander,counter top,"['drum sander', 'abrader', ""croupier's rake"", 'battering ram', 'counter top']",False
creating frost patterns as decoration,cool,drum sander,set square,"['bill', 'set square', 'drum sander', 'hammer', 'triphammer']",False
protecting food,cover,drum sander,gasket,"['laundry hamper', 'gasket', 'keyboard', 'buffer', 'drum sander']",False
shielding surfaces,cover,drum sander,set square,"['set square', 'auger', 'star drill', 'power tool', 'drum sander']",False
securing items,cover,drum sander,snuffer,"['drum sander', 'buffer', 'buffer', 'snuffer', 'die']",False
opening a nut,crack,stiletto,compass saw,"['to go cup', 'toothpaste', 'compass saw', 'stiletto', 'food cup']",False
breaking an egg,crack,bowie knife,bowie knife,"['icepick', 'bowie knife', 'plane', 'tamp', 'dogbed']",True
opening packages,crack,parer,parer,"['gutter', 'parer', 'slip joint plier', 'handtowelholder', 'glue stick']",True
baking pastries,crumble,battering ram,slick,"[""fireman's ax"", 'mallet', 'battering ram', 'slick', 'razorblade']",False
preparing toppings,crumble,battering ram,ripping chisel,"['ripping chisel', 'sponge', 'handtowelholder', 'c d', 'battering ram']",False
making breadcrumbs,crumble,battering ram,adz,"['dumbbell', 'adz', 'battering ram', 'stiletto', 'tack hammer']",False
preparing snacks,crunch,pestle,pestle,"['cigar cutter', 'pestle', 'egg', 'hayfork', 'flat file']",True
making toppings,crunch,pestle,pestle,"['pestle', 'saw set', 'battle ax', 'garden trowel', 'bowie knife']",True
crushing ice,crunch,pestle,pestle,"['bender', 'pestle', 'gang', 'bolt cutter', 'common ax']",True
making ice cubes,cube,steak knife,none,"['steak knife', 'drawknife', 'wine bottle', 'locking plier', 'bolo']",False
preparing fruits and vegetables,cube,table knife,table knife,"['lightswitch', 'handtowel', 'table knife', 'remotecontrol', 'allen wrench']",True
preparing meats,cube,scalpel,scalpel,"['posthole digger', 'keyhole saw', 'scalpel', 'cap opener', ""plumber's snake""]",True
preparing a sliced apple,cut,compass saw,tap,"['compass saw', 'basketball', 'dogbed', 'dogbed', 'tap']",False
cutting an apple,cut,switchblade,switchblade,"['ottoman', 'steel wool pad', 'hatchel', 'electric hammer', 'switchblade']",True
opening an envelope,cut,blade,blade,"['blade', 'bottle opener', 'cup', 'keychain', 'diningtable']",True
applying butter,cut,twist bit,surgical knife,"['shelvingunit', 'surgical knife', 'twist bit', 'bolt cutter', ""fireman's ax""]",False
serving cake,cut,cutter,kitchen knife,"['cellphone', 'locking plier', 'candle', 'kitchen knife', 'cutter']",False
decorating table,decorate,curtain,curtain,"['tap wrench', 'spoon', 'bender', 'showerglas', 'curtain']",True
decorating bed,decorate,room decor,room decor,"['razorblade', 'room decor', 'dry battery', 'sparkplug wrench', ""carpenter's square""]",True
decorating wall,decorate,teddy bear,wood chisel,"['cap opener', 'wood chisel', 'pointing trowel', 'scoop', 'teddy bear']",False
decorating lobby,decorate,statue,statue,"['butterknife', 'dovetail plane', 'coping saw', 'statue', 'pen']",True
increasing beauty of the room,decorate,poster,poster,"['pitcher', 'poster', 'spiral ratchet screwdriver', 'crown saw', 'plow']",True
preparing vegetables,dice,dirk,dirk,"['spraybottle', 'dirk', 'dining table', 'razor', 'compass saw']",True
creating garnishes,dice,steak knife,steak knife,"['rubber eraser', 'faucet', 'steak knife', 'coffee', ""carpenter's square""]",True
making salsa,dice,machete,kitchenknife,"['machete', 'kitchenknife', 'knife', 'bandsaw', 'lug wrench']",False
measuring ingredients,dice,dagger,metal box,"['graver', 'parang', 'pipe cutter', 'dagger', 'metal box']",False
gardening,dig,ditch spade,ditch spade,"['floor', 'pot', 'kitchenknife', 'ditch spade', 'power drill']",True
preparing soil,dig,garden spade,garden spade,"['desklamp', 'scauper', 'garden spade', 'latchstring', 'binder']",True
finding buried treasures,dig,shovel,shovel,"['shovel', 'file', 'chain saw', 'pitcher', 'bumper jack']",True
showcasing decorations,display,calculator,set square,"['roach clip', 'set square', 'power tool', 'parang', 'calculator']",False
organizing collectibles,display,cell phone,cell phone,"['faucet', 'circular saw', 'cell phone', 'houseplant', 'ax']",True
presenting information,display,calculator,calculator,"['linoleum knife', 'knife blade', 'toaster', 'calculator', 'flat tip screwdriver']",True
throwing away uneaten food,dispose,sink basin,sink basin,"['safe', 'cutting implement', 'case knife', 'sink basin', 'plate']",True
