task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['alligator wrench', 'drill', 'kri', 'shampoo', 'sponge']",True
drying the dishes,absorb,sponge,sponge,"['sponge', 'strickle', 'toothpick', 'tack hammer', 'hunting knife']",True
removing moisture,absorb,sponge,sponge,"['steak knife', 'potato', 'soapbottle', 'peppershaker', 'sponge']",True
reheating coffee,be heated,pan,pan,"['tap wrench', 'desk lamp', 'power saw', 'footstool', 'pan']",True
cooking a fried egg,be heated,cup,cup,"['toilet paper', 'hand drill', 'cup', 'hayfork', 'counterbore']",True
cooking an omelette,be heated,pan,pan,"['kirpan', 'fork', 'common ax', 'pan', ""croupier's rake""]",True
reheating soup,be heated,kettle,kettle,"['neolith', 'cloth', 'roach clip', 'kettle', 'punch']",True
boiling water,be heated,plate,plate,"['tamp', 'toiletpaper', 'lightbulb', 'laundryhamper', 'plate']",True
decorating a room,beautify,steel wool pad,drawer,"['coffee', 'soda can', 'axe', 'drawer', 'steel wool pad']",False
arranging flowers,beautify,abrader,none,"['basket ball', 'opener', 'arm chair', 'abrader', 'creditcard']",False
painting walls,beautify,rat tail file,vacuum cleaner,"['vacuum cleaner', 'tomato', 'allen wrench', 'vase', 'rat tail file']",False
applying make-up,beautify,nailfile,handstamp,"['dogbed', 'corkscrew', 'nailfile', 'ravehook', 'handstamp']",False
shaping wire,bend,bender,bender,"['ax', 'bender', 'pipe wrench', 'drawknife', 'spreader']",True
adjusting blinds,bend,bender,bender,"['bender', 'food jar', 'hacksaw', 'breadknife', 'garden trowel']",True
fitting flexible piping,bend,saw set,saw set,"['bit', 'saw set', 'circular plane', 'pruning saw', 'scraper']",True
installing shelves,bore,bucksaw,bucksaw,"['ax', 'drawer', 'bucksaw', 'coffee machine', 'shampoo']",True
hanging pictures,bore,straight flute,set square,"['stamp', 'set square', 'straight flute', 'desk lamp', 'jack plane']",False
assembling furniture,bore,router,hammer,"['stapler', 'chamfer plane', 'crown saw', 'hammer', 'router']",False
preparing food,break,jigsaw,steak knife,"['steak knife', 'soap bar', 'jigsaw', 'lightbulb', 'steel wool pad']",False
opening packaging,break,folding saw,folding saw,"['abrading stone', 'bulldog wrench', 'folding saw', 'shovel', 'bender']",True
breaking apart food items,break,bottle,cigar cutter,"['potato', 'cigar cutter', 'hand ax', 'o ring', 'bottle']",False
serving food,carry,vase,shaping tool,"['egg', 'vase', 'shaping tool', 'water bottle', 'window']",False
transporting liquids,carry,mug,mug,"['bread knife', 'spud', 'fridge', 'mug', 'straight flute']",True
serving a dish,carry,watering can,opener,"['try square', 'opener', 'combination plane', 'catling', 'watering can']",False
watering plants,carry,plate,tap,"['spiral ratchet screwdriver', 'dibble', 'try square', 'plate', 'tap']",False
decorating pumpkins,carve,yataghan,plastic box,"['plastic box', 'sawmill', 'taper file', 'bathtubbasin', 'yataghan']",False
preparing meat,carve,tableknife,none,"['tableknife', 'wire cutter', 'showerdoor', 'shaver', 'grapnel']",False
