object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,palace,"['pantry room', 'laundry room', 'car', 'suitcase', 'palace']",False
adjustable wrench,bedroom,press,"['loft', 'cat', 'press', 'glass', 'bedroom']",False
alarmclock,bedroom,bedroom,"[""child's room"", 'larder', 'different room', 'attic', 'bedroom']",True
aluminumfoil,kitchen,kitchen,"['exercise room', 'kitchen', 'lamp', ""prostitute's bedroom"", 'bathroom cabinet']",True
android figure,corridor,separate room,"['chest', 'teapot', 'castle', 'separate room', 'corridor']",False
anti slip tape,exercise room,exercise room,"['icebox', 'exercise room', 'home', 'side of the room', ""children's room""]",True
antidepressant,pantry room,motel room,"['motel room', 'laundry room', 'larder', 'pantry room', 'bundle']",False
antique,attic,hall,"['hall', 'butt', 'court', 'pot', 'attic']",False
apple,kitchen,kitchen,"['furniture', 'kitchen', 'cup', 'loft', 'bus']",True
applesauce,jar,jar,"['jar', 'sack', 'teapot', 'engine', 'dishwasher']",True
appliance,home,home,"['chest', 'dining room', 'backyard', 'hamper', 'home']",True
apricot,table,table,"['table', 'tea room', 'bathroom', 'bike', 'bar']",True
armchair,bedroom,bedroom,"['basket', 'bedroom', 'classroom', 'suitcase', 'ir rooms']",True
armoire,living room,cabin,"['living room', 'cabin', 'hospital drug storeroom', 'music room', 'vault']",False
armrest,car,car,"['purse', 'childs room', 'wallet', 'room of the house', 'car']",True
arrow,quiver,quiver,"['can', 'oven', 'quiver', 'container', 'restroom']",True
artichoke,refrigerator,refrigerator,"['freezer', ""teenager's bedroom"", 'range', 'bookshelf', 'refrigerator']",True
article,press,press,"['ambulance', 'drawer', 'press', 'way', ' middle of the room']",True
ashtray,house,house,"['storage room', 'orchestra', 'basket', 'house', 'guest room']",True
asparagus,oven,oven,"['oven', 'glass', 'pantry room', 'stand', ""cash's room""]",True
atm,bank,bank,"['dining room', 'palace', 'palace', 'bathroom', 'bank']",True
attic,home,home,"['deck', 'home', 'family room', 'bank', 'dresser']",True
backpack,storage room,children's room,"['barrel', ""children's room"", 'loungeroom', 'storage room', 'pantry']",False
bacon,oven,oven,"['briefcase', 'oven', 'butt', 'art classroom', 'classroom']",True
balancing cactus,television room,television room,"['locker', 'television room', 'pocket', 'small room', 'small room']",True
ball,sack,sack,"['motorbike', 'truck', 'sack', 'bathtub', 'ambulance']",True
balustrade,grand ballroom,grand ballroom,"['motel room', 'grand ballroom', 'storage room', 'camp', 'classroom']",True
banana,closet,plate,"['bathroom drawer', 'small room', 'closet', 'plate', 'castle']",False
bar,oven,backyard,"['oven', 'backyard', 'bookshelf', 'side of the room', 'stand']",False
baseball,lobby,court,"['livingroom', 'lobby', 'court', 'band room', 'glass']",False
baseballbat,bedroom,den,"['bedroom', 'den', 'sink', 'hive', 'container']",False
basil,garden,garden,"['bunk', 'jar', 'bicycle', 'quiver', 'garden']",True
basketball,bedroom,card room,"['jacket', 'cabinet', 'card room', 'bedroom', 'mailbox']",False
bat,attic,attic,"['different room', 'butt', 'carton', 'range', 'attic']",True
bath sheet,bedroom,bedroom,"['shelf', 'vault', 'broom closet', 'bedroom', 'tea room']",True
bathtub,bathroom,bathroom,"['fridge', 'bathroom', 'separate room', 'dresser', 'shoe']",True
bathtubbasin,bathroom,bathroom,"['package', 'nest', 'tin', 'bathroom', 'barrel']",True
batter,box,freezer,"['can', 'box', 'freezer', 'livingroom', 'place']",False
battery,childs room,floor,"['plate', 'bus', 'backyard', 'childs room', 'floor']",False
beacon,range,range,"['loft', 'cruet', 'tin', 'range', 'utility room']",True
beanbag,child's bedroom,child's bedroom,"['briefcase', ""child's bedroom"", 'barrel', 'hatbox', 'chest']",True
