object,pred_locations,rr,ap@1,ap@3,ap@5,rec@1,rec@3,rec@5
action figure,"[""children's bedroom"", 'playroom', 'living room', 'home office', 'basement', 'attic']",0.5,0.0,0.5833333333333333,0.6388888888888888,0.0,0.11764705882352941,0.17647058823529413
adjustable wrench,"['garage', 'basement', 'tool shed', 'utility room', 'workshop']",1.0,1.0,1.0,0.75,0.058823529411764705,0.058823529411764705,0.11764705882352941
alarmclock,"['bedroom', 'bedside table', 'nightstand', 'guest room', ""children's room""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
aluminumfoil,"['kitchen', 'pantry', 'storage closet']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
android figure,"['living room', 'bedroom', 'office', 'playroom', 'shelf', 'entertainment center']",1.0,1.0,1.0,0.9166666666666666,0.058823529411764705,0.11764705882352941,0.17647058823529413
anti slip tape,"['garage', 'basement', 'utility room', 'workshop', 'storage closet']",1.0,1.0,0.8333333333333333,0.8333333333333333,0.058823529411764705,0.11764705882352941,0.11764705882352941
antidepressant,"['medicine cabinet', 'bathroom counter', 'bedside table', 'kitchen counter', 'purse or bag']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
antique,"['living room', 'dining room', 'hallway', 'study', 'bedroom', 'attic']",0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
apple,"['kitchen counter', 'refrigerator', 'dining table', 'fruit bowl', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
applesauce,"['pantry', 'kitchen cabinet', 'refrigerator', 'kitchen counter']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
appliance,"['kitchen', 'laundry room', 'garage', 'basement', 'utility room']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
apricot,"['kitchen', 'refrigerator', 'fruit bowl', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
armchair,"['living room', 'bedroom', 'study', 'den', 'home office']",1.0,1.0,1.0,1.0,0.16666666666666666,0.5,0.5
armoire,"['bedroom', 'living room', 'hallway']",1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666
armrest,"['living room', 'family room', 'den', 'home office', 'bedroom']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
arrow,"['garage', 'basement', 'attic', 'closet', 'shed']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
artichoke,"['kitchen', 'refrigerator', 'pantry']",0.5,0.0,0.0,0.0,0.0,0.0,0.0
article,"['living room', 'bedroom', 'home office', 'kitchen', 'bathroom']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
ashtray,"['living room', 'patio', 'balcony', 'kitchen', 'garage']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
asparagus,"['refrigerator', 'kitchen counter', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
atm,"['wallet', 'purse', 'drawer', 'bag', 'pocket']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
attic,"['storage room', 'garage', 'basement']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
backpack,"['entryway', 'bedroom', 'closet', 'living room', 'mudroom']",0.5,0.0,0.5833333333333333,0.6388888888888888,0.0,0.11764705882352941,0.17647058823529413
bacon,"['refrigerator', 'freezer', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
balancing cactus,"['living room', 'playroom', ""children's room"", 'family room', 'bedroom']",1.0,1.0,1.0,0.6666666666666666,0.058823529411764705,0.11764705882352941,0.17647058823529413
ball,"['living room', 'playroom', 'backyard', 'garage', 'bedroom', 'basement']",0.5,0.0,0.5,0.5,0.0,0.25,0.25
balustrade,"['staircase', 'balcony', 'terrace', 'porch', 'landing']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
banana,"['kitchen counter', 'fruit bowl', 'refrigerator', 'pantry', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bar,"['kitchen', 'home bar', 'pantry', 'dining room', 'basement', 'living room']",0.2,0.0,0.0,0.0,0.0,0.0,0.0
baseball,"['garage', 'basement', 'bedroom', 'living room', 'closet']",1.0,1.0,0.8333333333333333,0.6041666666666666,0.058823529411764705,0.11764705882352941,0.23529411764705882
baseballbat,"['garage', 'basement', 'sports equipment room', 'closet', 'bedroom']",0.2,0.0,0.0,0.0,0.0,0.0,0.0
basil,"['kitchen', 'pantry', 'refrigerator', 'garden', 'windowsill']",0.25,0.0,0.0,0.0,0.0,0.0,0.0
basketball,"['garage', 'basement', 'bedroom', 'living room', 'backyard']",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
bat,"['garage', 'basement', 'closet', 'attic', 'sports equipment room']",0.25,0.0,0.0,0.25,0.0,0.0,0.16666666666666666
bath sheet,"['bathroom', 'linen closet', 'laundry room', 'bedroom']",1.0,1.0,1.0,0.5,0.058823529411764705,0.058823529411764705,0.11764705882352941
