task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['shampoo', 'alligator wrench', 'kri', 'drill', 'sponge']",True
drying the dishes,absorb,sponge,sponge,"['strickle', 'hunting knife', 'tack hammer', 'sponge', 'toothpick']",True
removing moisture,absorb,sponge,sponge,"['steak knife', 'sponge', 'soapbottle', 'potato', 'peppershaker']",True
reheating coffee,be heated,pan,pan,"['desk lamp', 'power saw', 'footstool', 'tap wrench', 'pan']",True
cooking a fried egg,be heated,cup,cup,"['toilet paper', 'hayfork', 'cup', 'hand drill', 'counterbore']",True
cooking an omelette,be heated,pan,pan,"['pan', 'fork', 'kirpan', ""croupier's rake"", 'common ax']",True
reheating soup,be heated,kettle,kettle,"['roach clip', 'punch', 'cloth', 'neolith', 'kettle']",True
boiling water,be heated,plate,plate,"['lightbulb', 'laundryhamper', 'tamp', 'toiletpaper', 'plate']",True
decorating a room,beautify,steel wool pad,drawer,"['steel wool pad', 'drawer', 'coffee', 'soda can', 'axe']",False
arranging flowers,beautify,abrader,basket ball,"['abrader', 'arm chair', 'creditcard', 'opener', 'basket ball']",False
painting walls,beautify,rat tail file,rat tail file,"['vacuum cleaner', 'vase', 'allen wrench', 'tomato', 'rat tail file']",True
applying make-up,beautify,nailfile,nailfile,"['dogbed', 'corkscrew', 'nailfile', 'ravehook', 'handstamp']",True
shaping wire,bend,bender,bender,"['spreader', 'bender', 'drawknife', 'pipe wrench', 'ax']",True
adjusting blinds,bend,bender,bender,"['garden trowel', 'food jar', 'breadknife', 'bender', 'hacksaw']",True
fitting flexible piping,bend,saw set,scraper,"['pruning saw', 'bit', 'saw set', 'circular plane', 'scraper']",False
installing shelves,bore,bucksaw,bucksaw,"['bucksaw', 'ax', 'drawer', 'coffee machine', 'shampoo']",True
hanging pictures,bore,straight flute,set square,"['desk lamp', 'jack plane', 'stamp', 'straight flute', 'set square']",False
assembling furniture,bore,router,hammer,"['crown saw', 'router', 'hammer', 'stapler', 'chamfer plane']",False
