task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['sponge', 'kri', 'shampoo', 'drill', 'alligator wrench']",True
drying the dishes,absorb,sponge,sponge,"['sponge', 'strickle', 'hunting knife', 'toothpick', 'tack hammer']",True
removing moisture,absorb,sponge,sponge,"['soapbottle', 'sponge', 'potato', 'steak knife', 'peppershaker']",True
reheating coffee,be heated,pan,pan,"['tap wrench', 'desk lamp', 'power saw', 'footstool', 'pan']",True
cooking a fried egg,be heated,cup,none,"['hand drill', 'cup', 'counterbore', 'hayfork', 'toilet paper']",False
cooking an omelette,be heated,pan,fork,"['fork', 'pan', ""croupier's rake"", 'common ax', 'kirpan']",False
reheating soup,be heated,kettle,kettle,"['cloth', 'punch', 'roach clip', 'kettle', 'neolith']",True
boiling water,be heated,plate,none,"['tamp', 'toiletpaper', 'laundryhamper', 'lightbulb', 'plate']",False
decorating a room,beautify,steel wool pad,none,"['axe', 'steel wool pad', 'coffee', 'drawer', 'soda can']",False
arranging flowers,beautify,abrader,opener,"['opener', 'abrader', 'arm chair', 'basket ball', 'creditcard']",False
painting walls,beautify,rat tail file,vacuum cleaner,"['rat tail file', 'vacuum cleaner', 'allen wrench', 'vase', 'tomato']",False
applying make-up,beautify,nailfile,none,"['handstamp', 'dogbed', 'nailfile', 'ravehook', 'corkscrew']",False
shaping wire,bend,bender,bender,"['pipe wrench', 'spreader', 'drawknife', 'bender', 'ax']",True
adjusting blinds,bend,bender,breadknife,"['food jar', 'bender', 'hacksaw', 'garden trowel', 'breadknife']",False
fitting flexible piping,bend,saw set,pruning saw,"['scraper', 'bit', 'pruning saw', 'saw set', 'circular plane']",False
installing shelves,bore,bucksaw,bucksaw,"['coffee machine', 'ax', 'shampoo', 'drawer', 'bucksaw']",True
hanging pictures,bore,straight flute,set square,"['straight flute', 'stamp', 'jack plane', 'set square', 'desk lamp']",False
assembling furniture,bore,router,hammer,"['stapler', 'crown saw', 'router', 'chamfer plane', 'hammer']",False
preparing food,break,jigsaw,steak knife,"['jigsaw', 'steak knife', 'soap bar', 'steel wool pad', 'lightbulb']",False
opening packaging,break,folding saw,abrading stone,"['folding saw', 'shovel', 'abrading stone', 'bulldog wrench', 'bender']",False
breaking apart food items,break,bottle,cigar cutter,"['o ring', 'potato', 'bottle', 'hand ax', 'cigar cutter']",False
serving food,carry,vase,shaping tool,"['egg', 'shaping tool', 'water bottle', 'vase', 'window']",False
transporting liquids,carry,mug,mug,"['mug', 'fridge', 'straight flute', 'bread knife', 'spud']",True
serving a dish,carry,watering can,none,"['combination plane', 'opener', 'watering can', 'catling', 'try square']",False
watering plants,carry,plate,none,"['try square', 'plate', 'tap', 'dibble', 'spiral ratchet screwdriver']",False
decorating pumpkins,carve,yataghan,taper file,"['bathtubbasin', 'yataghan', 'sawmill', 'taper file', 'plastic box']",False
preparing meat,carve,tableknife,none,"['wire cutter', 'shaver', 'grapnel', 'tableknife', 'showerdoor']",False
crafting with wood,carve,barong,none,"['bullnose', 'barong', 'gouge', 'room decor', 'salt']",False
replacing light bulbs,change,signet,none,"['portable saw', 'clincher', 'pruning saw', 'pitchfork', 'signet']",False
changing bed sheets,change,ram,none,"['ram', 'razor', 'toothpick', 'drawer', 'crosscut saw']",False
swapping out filters,change,rock bit,rat tail file,"['rat tail file', 'rock bit', 'stool', 'plexor.n.wn.medicine', 'broadax']",False
preparing cooking ingredients,chop,half hatchet,butcher knife,"['butcher knife', 'half hatchet', 'pruning shear', 'bread', 'steel wool pad']",False
cutting meat,chop,claw hatchet,none,"['rounder', 'barong', 'lightbulb', 'blind', 'claw hatchet']",False
