object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,suitcase,"['suitcase', 'car', 'palace', 'pantry room', 'laundry room']",False
adjustable wrench,bedroom,loft,"['bedroom', 'glass', 'cat', 'loft', 'press']",False
alarmclock,bedroom,bedroom,"['larder', 'attic', 'different room', 'bedroom', ""child's room""]",True
aluminumfoil,kitchen,kitchen,"[""prostitute's bedroom"", 'kitchen', 'bathroom cabinet', 'lamp', 'exercise room']",True
android figure,corridor,corridor,"['castle', 'corridor', 'chest', 'teapot', 'separate room']",True
anti slip tape,exercise room,exercise room,"['side of the room', 'exercise room', ""children's room"", 'icebox', 'home']",True
antidepressant,pantry room,motel room,"['larder', 'pantry room', 'laundry room', 'motel room', 'bundle']",False
antique,attic,attic,"['butt', 'attic', 'pot', 'hall', 'court']",True
apple,kitchen,kitchen,"['cup', 'kitchen', 'loft', 'bus', 'furniture']",True
applesauce,jar,jar,"['dishwasher', 'sack', 'teapot', 'jar', 'engine']",True
appliance,home,home,"['chest', 'dining room', 'backyard', 'home', 'hamper']",True
apricot,table,table,"['bike', 'bar', 'bathroom', 'table', 'tea room']",True
armchair,bedroom,bedroom,"['classroom', 'ir rooms', 'basket', 'suitcase', 'bedroom']",True
armoire,living room,living room,"['living room', 'music room', 'vault', 'cabin', 'hospital drug storeroom']",True
armrest,car,none,"['childs room', 'room of the house', 'car', 'wallet', 'purse']",False
arrow,quiver,quiver,"['quiver', 'container', 'can', 'oven', 'restroom']",True
artichoke,refrigerator,refrigerator,"['refrigerator', 'bookshelf', 'freezer', 'range', ""teenager's bedroom""]",True
article,press,drawer,"['way', 'ambulance', 'press', 'drawer', ' middle of the room']",False
ashtray,house,storage room,"['house', 'orchestra', 'storage room', 'basket', 'guest room']",False
asparagus,oven,pantry room,"['glass', 'pantry room', 'oven', 'stand', ""cash's room""]",False
atm,bank,bank,"['bank', 'dining room', 'bathroom', 'palace', 'palace']",True
attic,home,home,"['bank', 'deck', 'family room', 'home', 'dresser']",True
backpack,storage room,children's room,"[""children's room"", 'loungeroom', 'storage room', 'pantry', 'barrel']",False
bacon,oven,oven,"['classroom', 'briefcase', 'oven', 'art classroom', 'butt']",True
balancing cactus,television room,small room,"['pocket', 'small room', 'small room', 'locker', 'television room']",False
ball,sack,sack,"['motorbike', 'sack', 'truck', 'ambulance', 'bathtub']",True
balustrade,grand ballroom,storage room,"['grand ballroom', 'camp', 'motel room', 'storage room', 'classroom']",False
banana,closet,plate,"['closet', 'bathroom drawer', 'small room', 'castle', 'plate']",False
bar,oven,stand,"['bookshelf', 'oven', 'backyard', 'side of the room', 'stand']",False
baseball,lobby,court,"['lobby', 'court', 'glass', 'livingroom', 'band room']",False
baseballbat,bedroom,den,"['container', 'den', 'hive', 'sink', 'bedroom']",False
basil,garden,garden,"['quiver', 'bicycle', 'jar', 'garden', 'bunk']",True
basketball,bedroom,card room,"['cabinet', 'bedroom', 'card room', 'mailbox', 'jacket']",False
bat,attic,attic,"['attic', 'carton', 'range', 'different room', 'butt']",True
bath sheet,bedroom,bedroom,"['broom closet', 'vault', 'tea room', 'shelf', 'bedroom']",True
bathtub,bathroom,bathroom,"['fridge', 'dresser', 'bathroom', 'separate room', 'shoe']",True
bathtubbasin,bathroom,bathroom,"['barrel', 'nest', 'package', 'bathroom', 'tin']",True
batter,box,freezer,"['freezer', 'box', 'livingroom', 'place', 'can']",False
battery,childs room,childs room,"['bus', 'childs room', 'plate', 'floor', 'backyard']",True
beacon,range,utility room,"['tin', 'utility room', 'cruet', 'range', 'loft']",False
beanbag,child's bedroom,child's bedroom,"['barrel', ""child's bedroom"", 'hatbox', 'chest', 'briefcase']",True
beard color gel,utility room,study,"['deck', 'study', 'tin', 'utility room', ' middle of the room']",False
beauty pack,utility room,study,"['palace', 'house', 'study', 'backyard', 'utility room']",False
bed,bedroom,bedroom,"['bedroom drawer', 'pod', 'dishwasher', 'packet', 'bedroom']",True
bedroom,dwelling,dwelling,"['class room', 'sack', 'range', 'dwelling', 'refrigerator']",True
beer,can,sofa,"['can', 'engine', 'sofa', 'engine', 'most rooms']",False
beet,can,container,"['toaster', 'can', 'container', 'foyer', 'loungeroom']",False
belt,closet,closet,"['jacket', 'hall', 'childs room', 'closet', 'most rooms']",True
beverage,bottle,dining room,"[""prostitute's bedroom"", 'bottle', 'case', 'dining room', 'parlor']",False
binoculars,suitcase,shelf,"['belfry', 'kitchen or bathroom', 'suitcase', 'shelf', 'quiver']",False
