Task,Configuration
The robot can arrange and place a fourth tile onto a designated area of a game board.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Adjust the angle of the desk lamp.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
The robot can pick up the blue towel and place it neatly next to the plate.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Position and secure the rope along the edge of the black object using the robot's grippers.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Organize shoes by size and color on a designated shelf.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Reorganize the cushions on the sofa.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Sort and organize the bottles on the counter by size and color.,The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Sort and stack the black objects on the table by size.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Sort and stack the black objects in a designated area.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Organize the cups by size and color on a designated shelf.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
The robot can pick up the bubble ring and securely attach it to the ball.,The robot has 1 arm(s) with 6 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Assemble a three-piece Lego structure onto an existing stack of Legos.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
The robot can adjust the temperature settings on the stove.,The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Retrieve a book from the shelf and place it on the bedside table.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.
Move the bowl from the table to the counter.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
