object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,suitcase,"['pantry room', 'car', 'palace', 'suitcase', 'laundry room']",False
adjustable wrench,bedroom,loft,"['loft', 'bedroom', 'press', 'glass', 'cat']",False
alarmclock,bedroom,bedroom,"[""child's room"", 'larder', 'different room', 'bedroom', 'attic']",True
aluminumfoil,kitchen,kitchen,"['lamp', 'bathroom cabinet', 'kitchen', ""prostitute's bedroom"", 'exercise room']",True
android figure,corridor,separate room,"['separate room', 'castle', 'teapot', 'chest', 'corridor']",False
anti slip tape,exercise room,exercise room,"[""children's room"", 'home', 'exercise room', 'side of the room', 'icebox']",True
antidepressant,pantry room,motel room,"['motel room', 'pantry room', 'bundle', 'laundry room', 'larder']",False
antique,attic,attic,"['hall', 'court', 'pot', 'attic', 'butt']",True
apple,kitchen,kitchen,"['cup', 'kitchen', 'furniture', 'loft', 'bus']",True
applesauce,jar,jar,"['jar', 'engine', 'dishwasher', 'sack', 'teapot']",True
appliance,home,none,"['home', 'dining room', 'backyard', 'chest', 'hamper']",False
apricot,table,table,"['tea room', 'bathroom', 'table', 'bar', 'bike']",True
armchair,bedroom,none,"['suitcase', 'ir rooms', 'bedroom', 'basket', 'classroom']",False
armoire,living room,living room,"['vault', 'cabin', 'hospital drug storeroom', 'living room', 'music room']",True
armrest,car,car,"['purse', 'car', 'childs room', 'wallet', 'room of the house']",True
arrow,quiver,quiver,"['can', 'container', 'restroom', 'quiver', 'oven']",True
artichoke,refrigerator,refrigerator,"['freezer', 'range', ""teenager's bedroom"", 'refrigerator', 'bookshelf']",True
article,press,drawer,"['drawer', 'way', ' middle of the room', 'ambulance', 'press']",False
ashtray,house,guest room,"['guest room', 'orchestra', 'storage room', 'house', 'basket']",False
asparagus,oven,pantry room,"['glass', 'oven', 'stand', 'pantry room', ""cash's room""]",False
atm,bank,bank,"['palace', 'palace', 'bathroom', 'dining room', 'bank']",True
attic,home,none,"['bank', 'family room', 'home', 'dresser', 'deck']",False
backpack,storage room,storage room,"['loungeroom', 'pantry', 'barrel', 'storage room', ""children's room""]",True
bacon,oven,oven,"['oven', 'classroom', 'briefcase', 'art classroom', 'butt']",True
balancing cactus,television room,small room,"['television room', 'locker', 'small room', 'pocket', 'small room']",False
ball,sack,sack,"['motorbike', 'truck', 'sack', 'bathtub', 'ambulance']",True
balustrade,grand ballroom,grand ballroom,"['motel room', 'camp', 'grand ballroom', 'storage room', 'classroom']",True
banana,closet,small room,"['bathroom drawer', 'small room', 'closet', 'plate', 'castle']",False
bar,oven,backyard,"['side of the room', 'bookshelf', 'backyard', 'stand', 'oven']",False
baseball,lobby,court,"['lobby', 'livingroom', 'band room', 'court', 'glass']",False
baseballbat,bedroom,den,"['den', 'container', 'hive', 'sink', 'bedroom']",False
basil,garden,garden,"['jar', 'quiver', 'garden', 'bicycle', 'bunk']",True
basketball,bedroom,card room,"['mailbox', 'cabinet', 'bedroom', 'card room', 'jacket']",False
bat,attic,attic,"['range', 'attic', 'butt', 'carton', 'different room']",True
bath sheet,bedroom,bedroom,"['tea room', 'broom closet', 'vault', 'shelf', 'bedroom']",True
bathtub,bathroom,bathroom,"['dresser', 'fridge', 'bathroom', 'separate room', 'shoe']",True
bathtubbasin,bathroom,bathroom,"['bathroom', 'nest', 'package', 'tin', 'barrel']",True
batter,box,freezer,"['can', 'box', 'place', 'livingroom', 'freezer']",False
battery,childs room,childs room,"['floor', 'childs room', 'plate', 'backyard', 'bus']",True
beacon,range,loft,"['utility room', 'range', 'tin', 'loft', 'cruet']",False
beanbag,child's bedroom,child's bedroom,"['chest', ""child's bedroom"", 'briefcase', 'hatbox', 'barrel']",True
beard color gel,utility room,none,"[' middle of the room', 'tin', 'utility room', 'deck', 'study']",False
beauty pack,utility room,house,"['backyard', 'study', 'utility room', 'house', 'palace']",False
bed,bedroom,bedroom,"['packet', 'bedroom', 'bedroom drawer', 'dishwasher', 'pod']",True
bedroom,dwelling,dwelling,"['dwelling', 'range', 'sack', 'refrigerator', 'class room']",True
beer,can,none,"['most rooms', 'engine', 'sofa', 'can', 'engine']",False
beet,can,can,"['can', 'loungeroom', 'toaster', 'foyer', 'container']",True
belt,closet,closet,"['closet', 'childs room', 'most rooms', 'jacket', 'hall']",True
beverage,bottle,dining room,"['bottle', 'case', 'dining room', ""prostitute's bedroom"", 'parlor']",False
binoculars,suitcase,shelf,"['suitcase', 'shelf', 'quiver', 'kitchen or bathroom', 'belfry']",False
biscuit,oven,none,"[""children's room"", 'stove', 'mansion', 'oven', 'dumpster']",False
blanket,closet,closet,"['dimly lit room', 'closet', 'wallet', 'toolbox', 'hive']",True
bleach cleanser,bathroom,bathroom,"['attic', 'motel room', 'bathroom', 'jar', ""children's room""]",True
blender,kitchen,kitchen,"['package', 'wardrobe', 'kitchen', 'living rooms', 'hotel room']",True
blender jar,garage,pantry,"['pitcher', 'sack', 'pantry', 'garage', 'bar']",False
blind,bedroom,bedroom,"['bed', 'bedroom', 'palace', 'briefcase', 'beehive']",True
blouse,suitcase,locker,"['suitcase', 'bowl', 'tea room', 'locker', 'butt']",False
board game,childs room,childs room,"['furniture', 'different room', 'childs room', 'most rooms', 'bed']",True
boat,bay,bay,"['bay', 'every bedroom', ""men's restroom"", 'quiver', 'pantry']",True
boater,boat,boat,"['boat', 'stand', 'dining room', 'place', ""person's living room""]",True
bolt,jar,bundle,"['garbage', 'den', 'package', 'jar', 'bundle']",False
book,living room,living room,"['living room', 'garden', 'bike', 'locker', 'aquarium']",True
bookcase,den,den,"['nest', 'bookshelf', 'den', 'pot', 'hospital drug storeroom']",True
