task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['drill', 'sponge', 'alligator wrench', 'shampoo', 'kri']",True
drying the dishes,absorb,sponge,sponge,"['hunting knife', 'strickle', 'sponge', 'toothpick', 'tack hammer']",True
removing moisture,absorb,sponge,sponge,"['peppershaker', 'sponge', 'soapbottle', 'potato', 'steak knife']",True
reheating coffee,be heated,pan,pan,"['tap wrench', 'pan', 'power saw', 'desk lamp', 'footstool']",True
cooking a fried egg,be heated,cup,cup,"['cup', 'hand drill', 'counterbore', 'hayfork', 'toilet paper']",True
cooking an omelette,be heated,pan,pan,"['pan', 'fork', 'common ax', 'kirpan', ""croupier's rake""]",True
reheating soup,be heated,kettle,kettle,"['cloth', 'kettle', 'punch', 'neolith', 'roach clip']",True
boiling water,be heated,plate,plate,"['plate', 'lightbulb', 'toiletpaper', 'tamp', 'laundryhamper']",True
decorating a room,beautify,steel wool pad,drawer,"['axe', 'coffee', 'steel wool pad', 'soda can', 'drawer']",False
arranging flowers,beautify,abrader,abrader,"['creditcard', 'abrader', 'opener', 'basket ball', 'arm chair']",True
painting walls,beautify,rat tail file,vacuum cleaner,"['tomato', 'vase', 'vacuum cleaner', 'rat tail file', 'allen wrench']",False
applying make-up,beautify,nailfile,none,"['nailfile', 'handstamp', 'dogbed', 'ravehook', 'corkscrew']",False
shaping wire,bend,bender,bender,"['drawknife', 'bender', 'pipe wrench', 'ax', 'spreader']",True
adjusting blinds,bend,bender,bender,"['breadknife', 'hacksaw', 'garden trowel', 'food jar', 'bender']",True
fitting flexible piping,bend,saw set,circular plane,"['pruning saw', 'bit', 'circular plane', 'scraper', 'saw set']",False
installing shelves,bore,bucksaw,bucksaw,"['bucksaw', 'ax', 'drawer', 'coffee machine', 'shampoo']",True
hanging pictures,bore,straight flute,set square,"['jack plane', 'straight flute', 'set square', 'stamp', 'desk lamp']",False
assembling furniture,bore,router,hammer,"['crown saw', 'chamfer plane', 'router', 'hammer', 'stapler']",False
preparing food,break,jigsaw,steak knife,"['lightbulb', 'steel wool pad', 'jigsaw', 'soap bar', 'steak knife']",False
opening packaging,break,folding saw,bulldog wrench,"['folding saw', 'bulldog wrench', 'shovel', 'abrading stone', 'bender']",False
breaking apart food items,break,bottle,hand ax,"['bottle', 'cigar cutter', 'o ring', 'potato', 'hand ax']",False
serving food,carry,vase,water bottle,"['window', 'shaping tool', 'water bottle', 'vase', 'egg']",False
transporting liquids,carry,mug,mug,"['bread knife', 'spud', 'fridge', 'mug', 'straight flute']",True
serving a dish,carry,watering can,opener,"['combination plane', 'opener', 'try square', 'watering can', 'catling']",False
watering plants,carry,plate,tap,"['try square', 'spiral ratchet screwdriver', 'dibble', 'tap', 'plate']",False
decorating pumpkins,carve,yataghan,taper file,"['sawmill', 'bathtubbasin', 'yataghan', 'plastic box', 'taper file']",False
preparing meat,carve,tableknife,shaver,"['showerdoor', 'tableknife', 'shaver', 'grapnel', 'wire cutter']",False
crafting with wood,carve,barong,gouge,"['barong', 'salt', 'bullnose', 'gouge', 'room decor']",False
replacing light bulbs,change,signet,clincher,"['pruning saw', 'portable saw', 'pitchfork', 'signet', 'clincher']",False
changing bed sheets,change,ram,drawer,"['razor', 'toothpick', 'ram', 'crosscut saw', 'drawer']",False
swapping out filters,change,rock bit,rat tail file,"['rat tail file', 'broadax', 'stool', 'plexor.n.wn.medicine', 'rock bit']",False
preparing cooking ingredients,chop,half hatchet,butcher knife,"['bread', 'steel wool pad', 'butcher knife', 'pruning shear', 'half hatchet']",False
cutting meat,chop,claw hatchet,barong,"['lightbulb', 'rounder', 'blind', 'claw hatchet', 'barong']",False
making firewood,chop,fireman's ax,fireman's ax,"['chisel', 'bread knife', 'case knife', ""fireman's ax"", 'coffeetable']",True
washing dishes,clean,vaccum cleaner,dovetail plane,"['dovetail plane', 'vaccum cleaner', 'potato', 'brick trowel', 'common ax']",False
throwing away uneaten food,clean,tableknife,pruning knife,"['coffeetable', 'pruning knife', 'trench knife', 'eolith', 'tableknife']",False
cleaning spilled milk,clean,jigsaw,ladle,"['jigsaw', 'battering ram', 'lancet', 'ladle', 'grapnel']",False
cleaning the mirror,clean,vaccum cleaner,razor,"['square', 'vaccum cleaner', 'desk lamp', 'razor', 'bodkin']",False
cleaning the fridge,clean,saber saw,spray bottle,"['spray bottle', 'spade bit', 'showerhead', 'oven', 'saber saw']",False
cleaning the blinds,clean,bandsaw,plunger,"['drilling bit', 'bandsaw', 'lancet', 'plunger', 'floorlamp']",False
cleaning the shower head,clean,towel,towel,"['head gasket', 'camera', 'towel', 'vaccum cleaner', 'binder']",True
dusting the statue,clean,power tool,toilet paper,"['power tool', 'alarm clock', 'food cup', 'toilet paper', 'chair']",False
cleaning the toilet,clean,portable saw,spray bottle,"['floor', 'portable saw', 'spray bottle', 'plexor.n.wn.medicine', 'drilling bit']",False
cleaning the floor,clean,power saw,ottoman,"['ottoman', 'power saw', 'square', 'basket ball', 'bowie knife']",False
washing your face,clean,electric hammer,floor lamp,"['pruning saw', 'bolt cutter', 'ice ax', 'electric hammer', 'floor lamp']",False
watching a movie,comfort,chair,chair,"['hook wrench', 'towelholder', 'desk', 'electric drill', 'chair']",True
setting up bedding,comfort,ottoman,ottoman,"['to go cup', 'hedge trimmer', 'sponge', 'ottoman', 'tabletopdecor']",True
choosing a comfortable seat,comfort,ottoman,ottoman,"['garden spade', 'buffer', 'power mower', 'scrub brush', 'ottoman']",True
storing clothes,compress,stemmer,phillips screwdriver,"['steel wool pad', 'stemmer', 'nailfile', 'o ring', 'phillips screwdriver']",False
reducing space in bin,compress,stemmer,bucksaw,"['remote control', 'bucksaw', 'comb', 'stemmer', 'desktop']",False
preparing food,compress,stemmer,bread,"['stemmer', 'rammer', 'burin', 'handsaw', 'bread']",False
storing food,contain,fish knife,microwave,"['fish knife', 'microwave', 'poniard', 'switchblade', 'steel wool pad']",False
measuring liquids,contain,butter knife,cell phone,"['butter knife', 'pitchfork', 'weeder', 'wrench', 'cell phone']",False
managing waste,contain,tray,tray,"['scraper', 'tray', 'arm chair', 'baseballbat', 'slick']",True
being filled with a liquid,contain,table knife,table knife,"['cigar cutter', 'table knife', 'flat file', 'crosscut saw', 'lochaber ax']",True
adjusting device settings,control,handsaw,pointing trowel,"['pot', 'pointing trowel', 'tennis racket', 'common ax', 'handsaw']",False
managing lighting,control,electric hammer,electric hammer,"['plane', 'machete', 'pick', 'buffer', 'electric hammer']",True
operating appliances,control,compass saw,bender,"['toilet paper', 'toiletpaperhanger', 'dagger', 'bender', 'compass saw']",False
keeping food from going bad,cool,drum sander,microwave,"['scraper', 'side table', 'scythe', 'microwave', 'drum sander']",False
freezing food,cool,drum sander,seal,"['rounder', 'garden spade', 'drum sander', 'bathtub', 'seal']",False
making ice,cool,drum sander,croupier's rake,"[""croupier's rake"", 'drum sander', 'battering ram', 'abrader', 'counter top']",False
creating frost patterns as decoration,cool,drum sander,drum sander,"['drum sander', 'set square', 'hammer', 'triphammer', 'bill']",True
protecting food,cover,drum sander,gasket,"['gasket', 'buffer', 'drum sander', 'keyboard', 'laundry hamper']",False
shielding surfaces,cover,drum sander,power tool,"['set square', 'drum sander', 'auger', 'power tool', 'star drill']",False
securing items,cover,drum sander,die,"['snuffer', 'buffer', 'drum sander', 'die', 'buffer']",False
opening a nut,crack,stiletto,stiletto,"['stiletto', 'to go cup', 'food cup', 'toothpaste', 'compass saw']",True
breaking an egg,crack,bowie knife,bowie knife,"['icepick', 'dogbed', 'plane', 'tamp', 'bowie knife']",True
opening packages,crack,parer,parer,"['slip joint plier', 'handtowelholder', 'gutter', 'parer', 'glue stick']",True
baking pastries,crumble,battering ram,slick,"['razorblade', 'mallet', ""fireman's ax"", 'slick', 'battering ram']",False
preparing toppings,crumble,battering ram,sponge,"['handtowelholder', 'c d', 'ripping chisel', 'sponge', 'battering ram']",False
making breadcrumbs,crumble,battering ram,tack hammer,"['tack hammer', 'battering ram', 'dumbbell', 'stiletto', 'adz']",False
preparing snacks,crunch,pestle,pestle,"['hayfork', 'flat file', 'cigar cutter', 'egg', 'pestle']",True
making toppings,crunch,pestle,bowie knife,"['pestle', 'battle ax', 'bowie knife', 'garden trowel', 'saw set']",False
crushing ice,crunch,pestle,pestle,"['gang', 'common ax', 'pestle', 'bender', 'bolt cutter']",True
making ice cubes,cube,steak knife,wine bottle,"['steak knife', 'drawknife', 'wine bottle', 'locking plier', 'bolo']",False
preparing fruits and vegetables,cube,table knife,table knife,"['allen wrench', 'table knife', 'remotecontrol', 'lightswitch', 'handtowel']",True
preparing meats,cube,scalpel,scalpel,"['keyhole saw', 'cap opener', 'posthole digger', 'scalpel', ""plumber's snake""]",True
preparing a sliced apple,cut,compass saw,compass saw,"['compass saw', 'dogbed', 'dogbed', 'basketball', 'tap']",True
cutting an apple,cut,switchblade,switchblade,"['steel wool pad', 'hatchel', 'switchblade', 'electric hammer', 'ottoman']",True
opening an envelope,cut,blade,blade,"['blade', 'cup', 'diningtable', 'bottle opener', 'keychain']",True
applying butter,cut,twist bit,surgical knife,"['shelvingunit', 'surgical knife', 'twist bit', 'bolt cutter', ""fireman's ax""]",False
serving cake,cut,cutter,kitchen knife,"['cellphone', 'locking plier', 'kitchen knife', 'candle', 'cutter']",False
decorating table,decorate,curtain,curtain,"['bender', 'curtain', 'tap wrench', 'spoon', 'showerglas']",True
decorating bed,decorate,room decor,room decor,"['dry battery', 'sparkplug wrench', ""carpenter's square"", 'room decor', 'razorblade']",True
decorating wall,decorate,teddy bear,pointing trowel,"['scoop', 'teddy bear', 'wood chisel', 'cap opener', 'pointing trowel']",False
decorating lobby,decorate,statue,statue,"['statue', 'dovetail plane', 'butterknife', 'pen', 'coping saw']",True
increasing beauty of the room,decorate,poster,poster,"['poster', 'crown saw', 'spiral ratchet screwdriver', 'pitcher', 'plow']",True
preparing vegetables,dice,dirk,dining table,"['spraybottle', 'razor', 'dirk', 'compass saw', 'dining table']",False
creating garnishes,dice,steak knife,steak knife,"['faucet', 'rubber eraser', 'coffee', 'steak knife', ""carpenter's square""]",True
making salsa,dice,machete,knife,"['kitchenknife', 'machete', 'bandsaw', 'knife', 'lug wrench']",False
measuring ingredients,dice,dagger,metal box,"['dagger', 'parang', 'graver', 'metal box', 'pipe cutter']",False
gardening,dig,ditch spade,ditch spade,"['ditch spade', 'power drill', 'pot', 'kitchenknife', 'floor']",True
preparing soil,dig,garden spade,garden spade,"['scauper', 'desklamp', 'binder', 'garden spade', 'latchstring']",True
finding buried treasures,dig,shovel,shovel,"['shovel', 'bumper jack', 'file', 'chain saw', 'pitcher']",True
showcasing decorations,display,calculator,power tool,"['roach clip', 'parang', 'set square', 'power tool', 'calculator']",False
organizing collectibles,display,cell phone,cell phone,"['ax', 'houseplant', 'circular saw', 'cell phone', 'faucet']",True
presenting information,display,calculator,calculator,"['linoleum knife', 'calculator', 'toaster', 'flat tip screwdriver', 'knife blade']",True
throwing away uneaten food,dispose,sink basin,sink basin,"['cutting implement', 'case knife', 'sink basin', 'plate', 'safe']",True
cleaning spilled milk,dispose,sink basin,sink basin,"['compass saw', 'wateringcan', 'sink basin', 'round file', 'curtain']",True
throwing away used soap bottle,dispose,sink basin,sink basin,"['sink basin', 'mallet', 'square', 'houseplant', 'steak knife']",True
throwing away toilet paper,dispose,garbage can,garbage can,"['garbage can', 'pitcher', 'awl', 'bur', 'backsaw']",True
hanging items on a wall,drill,drill,drill,"['scauper', 'spatula', 'drill', 'tap wrench', 'toothbrush']",True
assembling furniture,drill,star drill,star drill,"['star drill', 'cellphone', 'chamfer bit', 'bandsaw', 'garden spade']",True
installing fixtures,drill,router,router,"['plexor.n.wn.medicine', 'router', 'candle', 'scrub plane', 'compass saw']",True
drying washed dishes,dry,hand towel,hand towel,"['cross bit', 'power mower', 'hand towel', 'lettuce', 'hunting knife']",True
hanging cleaned laundry,dry,hand towel,gutter,"['saw set', 'catling', 'hand towel', 'gutter', 'screwdriver']",False
drying up spilled liquids,dry,kleenex,kleenex,"['tennisracket', 'moldboard plow', 'kleenex', 'butter knife', 'pruner']",True
having a meal,eat,salt,salt,"['combination plane', 'router', 'salt', 'laptop', 'alligator wrench']",True
preparing food,eat,potato,potato,"['potato', 'nailfile', 'dumbbell', 'creditcard', 'crank']",True
being cooked,eat,bread,bread,"['footstool', 'bread', 'edge tool', 'razor', 'hand mower']",True
personalising items,engrave,scauper,none,"['rasp', 'scauper', 'awl', 'bit', 'jointer']",False
creating decorative art,engrave,graver,graver,"['ax', 'slick', 'graver', 'wine bottle', 'laundryhamper']",True
labelling belongings,engrave,scauper,none,"['drilling bit', 'scauper', 'pestle', 'spraybottle', 'houseplant']",False
watching a movie,entertain,cell phone,cell phone,"['kirpan', 'camera', 'clasp knife', 'room decor', 'cell phone']",True
listening to a song,entertain,cell phone,cell phone,"['clincher', 'fore plane', 'screw key', 'pillow', 'cell phone']",True
surfing the internet,entertain,c d,coffee table,"['dogbed', 'c d', 'coffee table', 'cigar cutter', 'aluminum foil']",False
playing active games,exercise,basket ball,bread,"['basket ball', 'bread', 'pin wrench', 'twist bit', 'shovel']",False
exercising,exercise,tennis racket,tennis racket,"['safe', 'adz', 'tennis racket', 'peppershaker', 'television']",True
cleaning as a home workout,exercise,basket ball,scrub brush,"[""dentist's drill"", 'basket ball', 'clincher', 'box', 'scrub brush']",False
organizing documents,file,taper file,taper file,"['spray bottle', 'safe', 'taper file', 'coffee mug', 'hunting knife']",True
cleaning fingernails,file,blunt file,blunt file,"['blunt file', 'bur', 'winebottle', 'power saw', 'hack']",True
smoothing surfaces,file,taper file,taper file,"['taper file', 'broadax', 'food jar', 'lawn mower', 'base ball bat']",True
repairing appliances,fix,crampon,o ring,"['crampon', 'o ring', 'rounder', 'openside plane', 'bore bit']",False
mending clothes,fix,razor,razor,"['lancet', 'pruner', 'fork', 'razor', 'counterbore']",True
patching walls,fix,stamp,stamp,"['bumper jack', 'ripsaw', 'room decor', 'buffer', 'stamp']",True
adjusting cables,flex,bender,bender,"['bender', 'crosscut saw', 'window', 'crown saw', 'coffee mug']",True
bending pipes,flex,bender,bender,"['tile cutter', 'glass cutter', 'bodkin', 'bender', 'toothpaste']",True
