task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['alligator wrench', 'sponge', 'shampoo', 'drill', 'kri']",True
drying the dishes,absorb,sponge,sponge,"['toothpick', 'strickle', 'sponge', 'tack hammer', 'hunting knife']",True
removing moisture,absorb,sponge,sponge,"['peppershaker', 'soapbottle', 'sponge', 'steak knife', 'potato']",True
reheating coffee,be heated,pan,pan,"['pan', 'tap wrench', 'desk lamp', 'power saw', 'footstool']",True
cooking a fried egg,be heated,cup,cup,"['toilet paper', 'counterbore', 'cup', 'hand drill', 'hayfork']",True
cooking an omelette,be heated,pan,pan,"['pan', 'fork', 'kirpan', ""croupier's rake"", 'common ax']",True
reheating soup,be heated,kettle,kettle,"['kettle', 'roach clip', 'cloth', 'punch', 'neolith']",True
boiling water,be heated,plate,none,"['laundryhamper', 'toiletpaper', 'lightbulb', 'plate', 'tamp']",False
decorating a room,beautify,steel wool pad,steel wool pad,"['axe', 'steel wool pad', 'coffee', 'soda can', 'drawer']",True
arranging flowers,beautify,abrader,opener,"['basket ball', 'arm chair', 'abrader', 'opener', 'creditcard']",False
painting walls,beautify,rat tail file,rat tail file,"['rat tail file', 'allen wrench', 'tomato', 'vase', 'vacuum cleaner']",True
applying make-up,beautify,nailfile,nailfile,"['dogbed', 'ravehook', 'corkscrew', 'nailfile', 'handstamp']",True
shaping wire,bend,bender,bender,"['pipe wrench', 'drawknife', 'bender', 'spreader', 'ax']",True
adjusting blinds,bend,bender,bender,"['food jar', 'breadknife', 'garden trowel', 'bender', 'hacksaw']",True
fitting flexible piping,bend,saw set,bit,"['circular plane', 'scraper', 'saw set', 'bit', 'pruning saw']",False
installing shelves,bore,bucksaw,ax,"['coffee machine', 'ax', 'bucksaw', 'shampoo', 'drawer']",False
hanging pictures,bore,straight flute,straight flute,"['straight flute', 'jack plane', 'stamp', 'desk lamp', 'set square']",True
assembling furniture,bore,router,hammer,"['chamfer plane', 'crown saw', 'hammer', 'router', 'stapler']",False
preparing food,break,jigsaw,steak knife,"['jigsaw', 'lightbulb', 'steak knife', 'steel wool pad', 'soap bar']",False
opening packaging,break,folding saw,bulldog wrench,"['folding saw', 'shovel', 'bulldog wrench', 'bender', 'abrading stone']",False
breaking apart food items,break,bottle,cigar cutter,"['hand ax', 'o ring', 'potato', 'cigar cutter', 'bottle']",False
serving food,carry,vase,none,"['egg', 'window', 'shaping tool', 'water bottle', 'vase']",False
transporting liquids,carry,mug,mug,"['mug', 'bread knife', 'spud', 'straight flute', 'fridge']",True
serving a dish,carry,watering can,try square,"['watering can', 'combination plane', 'catling', 'try square', 'opener']",False
watering plants,carry,plate,tap,"['dibble', 'try square', 'spiral ratchet screwdriver', 'tap', 'plate']",False
decorating pumpkins,carve,yataghan,taper file,"['plastic box', 'sawmill', 'yataghan', 'bathtubbasin', 'taper file']",False
preparing meat,carve,tableknife,tableknife,"['showerdoor', 'shaver', 'grapnel', 'tableknife', 'wire cutter']",True
crafting with wood,carve,barong,gouge,"['bullnose', 'barong', 'gouge', 'room decor', 'salt']",False
replacing light bulbs,change,signet,pruning saw,"['portable saw', 'pitchfork', 'pruning saw', 'signet', 'clincher']",False
changing bed sheets,change,ram,drawer,"['ram', 'razor', 'crosscut saw', 'drawer', 'toothpick']",False
swapping out filters,change,rock bit,broadax,"['rat tail file', 'stool', 'rock bit', 'plexor.n.wn.medicine', 'broadax']",False
preparing cooking ingredients,chop,half hatchet,butcher knife,"['pruning shear', 'steel wool pad', 'bread', 'half hatchet', 'butcher knife']",False
cutting meat,chop,claw hatchet,claw hatchet,"['blind', 'barong', 'rounder', 'lightbulb', 'claw hatchet']",True
making firewood,chop,fireman's ax,fireman's ax,"['case knife', ""fireman's ax"", 'coffeetable', 'bread knife', 'chisel']",True
washing dishes,clean,vaccum cleaner,brick trowel,"['vaccum cleaner', 'potato', 'common ax', 'brick trowel', 'dovetail plane']",False
throwing away uneaten food,clean,tableknife,coffeetable,"['tableknife', 'eolith', 'trench knife', 'pruning knife', 'coffeetable']",False
cleaning spilled milk,clean,jigsaw,ladle,"['lancet', 'battering ram', 'grapnel', 'jigsaw', 'ladle']",False
cleaning the mirror,clean,vaccum cleaner,razor,"['razor', 'desk lamp', 'square', 'bodkin', 'vaccum cleaner']",False
cleaning the fridge,clean,saber saw,spray bottle,"['spade bit', 'showerhead', 'saber saw', 'oven', 'spray bottle']",False
cleaning the blinds,clean,bandsaw,plunger,"['drilling bit', 'plunger', 'floorlamp', 'bandsaw', 'lancet']",False
cleaning the shower head,clean,towel,towel,"['binder', 'vaccum cleaner', 'towel', 'head gasket', 'camera']",True
dusting the statue,clean,power tool,food cup,"['alarm clock', 'toilet paper', 'food cup', 'chair', 'power tool']",False
cleaning the toilet,clean,portable saw,spray bottle,"['floor', 'portable saw', 'spray bottle', 'plexor.n.wn.medicine', 'drilling bit']",False
cleaning the floor,clean,power saw,bowie knife,"['bowie knife', 'square', 'ottoman', 'power saw', 'basket ball']",False
washing your face,clean,electric hammer,floor lamp,"['pruning saw', 'bolt cutter', 'ice ax', 'electric hammer', 'floor lamp']",False
watching a movie,comfort,chair,chair,"['hook wrench', 'chair', 'electric drill', 'towelholder', 'desk']",True
setting up bedding,comfort,ottoman,ottoman,"['hedge trimmer', 'to go cup', 'ottoman', 'tabletopdecor', 'sponge']",True
choosing a comfortable seat,comfort,ottoman,ottoman,"['garden spade', 'ottoman', 'scrub brush', 'power mower', 'buffer']",True
storing clothes,compress,stemmer,o ring,"['o ring', 'stemmer', 'steel wool pad', 'phillips screwdriver', 'nailfile']",False
reducing space in bin,compress,stemmer,bucksaw,"['remote control', 'desktop', 'comb', 'bucksaw', 'stemmer']",False
preparing food,compress,stemmer,handsaw,"['bread', 'rammer', 'stemmer', 'burin', 'handsaw']",False
storing food,contain,fish knife,microwave,"['poniard', 'switchblade', 'microwave', 'fish knife', 'steel wool pad']",False
measuring liquids,contain,butter knife,none,"['cell phone', 'pitchfork', 'butter knife', 'weeder', 'wrench']",False
managing waste,contain,tray,scraper,"['scraper', 'baseballbat', 'slick', 'arm chair', 'tray']",False
being filled with a liquid,contain,table knife,table knife,"['cigar cutter', 'lochaber ax', 'flat file', 'crosscut saw', 'table knife']",True
adjusting device settings,control,handsaw,handsaw,"['handsaw', 'pot', 'pointing trowel', 'common ax', 'tennis racket']",True
managing lighting,control,electric hammer,none,"['pick', 'buffer', 'machete', 'plane', 'electric hammer']",False
operating appliances,control,compass saw,bender,"['toiletpaperhanger', 'compass saw', 'bender', 'dagger', 'toilet paper']",False
keeping food from going bad,cool,drum sander,microwave,"['drum sander', 'scraper', 'side table', 'scythe', 'microwave']",False
freezing food,cool,drum sander,seal,"['seal', 'rounder', 'bathtub', 'garden spade', 'drum sander']",False
making ice,cool,drum sander,counter top,"['counter top', 'drum sander', 'abrader', 'battering ram', ""croupier's rake""]",False
creating frost patterns as decoration,cool,drum sander,bill,"['triphammer', 'hammer', 'set square', 'drum sander', 'bill']",False
protecting food,cover,drum sander,gasket,"['laundry hamper', 'drum sander', 'gasket', 'buffer', 'keyboard']",False
shielding surfaces,cover,drum sander,set square,"['star drill', 'drum sander', 'auger', 'power tool', 'set square']",False
securing items,cover,drum sander,snuffer,"['die', 'buffer', 'drum sander', 'snuffer', 'buffer']",False
opening a nut,crack,stiletto,stiletto,"['toothpaste', 'food cup', 'to go cup', 'stiletto', 'compass saw']",True
breaking an egg,crack,bowie knife,bowie knife,"['dogbed', 'plane', 'icepick', 'tamp', 'bowie knife']",True
opening packages,crack,parer,none,"['glue stick', 'parer', 'slip joint plier', 'handtowelholder', 'gutter']",False
baking pastries,crumble,battering ram,slick,"['battering ram', 'razorblade', ""fireman's ax"", 'mallet', 'slick']",False
preparing toppings,crumble,battering ram,sponge,"['battering ram', 'c d', 'handtowelholder', 'sponge', 'ripping chisel']",False
making breadcrumbs,crumble,battering ram,adz,"['battering ram', 'dumbbell', 'adz', 'tack hammer', 'stiletto']",False
preparing snacks,crunch,pestle,pestle,"['cigar cutter', 'hayfork', 'pestle', 'egg', 'flat file']",True
making toppings,crunch,pestle,bowie knife,"['pestle', 'battle ax', 'saw set', 'bowie knife', 'garden trowel']",False
crushing ice,crunch,pestle,pestle,"['bender', 'gang', 'pestle', 'bolt cutter', 'common ax']",True
making ice cubes,cube,steak knife,wine bottle,"['bolo', 'locking plier', 'steak knife', 'drawknife', 'wine bottle']",False
preparing fruits and vegetables,cube,table knife,table knife,"['table knife', 'remotecontrol', 'handtowel', 'lightswitch', 'allen wrench']",True
preparing meats,cube,scalpel,scalpel,"['posthole digger', 'keyhole saw', 'scalpel', ""plumber's snake"", 'cap opener']",True
preparing a sliced apple,cut,compass saw,compass saw,"['tap', 'basketball', 'dogbed', 'dogbed', 'compass saw']",True
cutting an apple,cut,switchblade,switchblade,"['hatchel', 'switchblade', 'steel wool pad', 'electric hammer', 'ottoman']",True
opening an envelope,cut,blade,blade,"['keychain', 'bottle opener', 'blade', 'cup', 'diningtable']",True
applying butter,cut,twist bit,surgical knife,"['bolt cutter', 'surgical knife', 'twist bit', 'shelvingunit', ""fireman's ax""]",False
serving cake,cut,cutter,cutter,"['cellphone', 'candle', 'locking plier', 'kitchen knife', 'cutter']",True
decorating table,decorate,curtain,curtain,"['tap wrench', 'spoon', 'showerglas', 'bender', 'curtain']",True
decorating bed,decorate,room decor,room decor,"[""carpenter's square"", 'razorblade', 'dry battery', 'room decor', 'sparkplug wrench']",True
decorating wall,decorate,teddy bear,pointing trowel,"['pointing trowel', 'cap opener', 'teddy bear', 'scoop', 'wood chisel']",False
decorating lobby,decorate,statue,statue,"['pen', 'statue', 'butterknife', 'dovetail plane', 'coping saw']",True
increasing beauty of the room,decorate,poster,poster,"['crown saw', 'poster', 'pitcher', 'plow', 'spiral ratchet screwdriver']",True
preparing vegetables,dice,dirk,dirk,"['razor', 'spraybottle', 'dirk', 'compass saw', 'dining table']",True
creating garnishes,dice,steak knife,steak knife,"['faucet', 'steak knife', ""carpenter's square"", 'coffee', 'rubber eraser']",True
making salsa,dice,machete,kitchenknife,"['kitchenknife', 'knife', 'machete', 'bandsaw', 'lug wrench']",False
measuring ingredients,dice,dagger,metal box,"['metal box', 'dagger', 'graver', 'parang', 'pipe cutter']",False
gardening,dig,ditch spade,ditch spade,"['kitchenknife', 'pot', 'power drill', 'ditch spade', 'floor']",True
preparing soil,dig,garden spade,garden spade,"['desklamp', 'binder', 'scauper', 'garden spade', 'latchstring']",True
finding buried treasures,dig,shovel,shovel,"['file', 'chain saw', 'shovel', 'pitcher', 'bumper jack']",True
showcasing decorations,display,calculator,roach clip,"['roach clip', 'set square', 'parang', 'power tool', 'calculator']",False
organizing collectibles,display,cell phone,cell phone,"['faucet', 'circular saw', 'houseplant', 'ax', 'cell phone']",True
presenting information,display,calculator,calculator,"['toaster', 'knife blade', 'flat tip screwdriver', 'calculator', 'linoleum knife']",True
