task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['sponge', 'alligator wrench', 'drill', 'kri', 'shampoo']",True
drying the dishes,absorb,sponge,sponge,"['hunting knife', 'tack hammer', 'sponge', 'strickle', 'toothpick']",True
removing moisture,absorb,sponge,sponge,"['soapbottle', 'potato', 'steak knife', 'peppershaker', 'sponge']",True
reheating coffee,be heated,pan,pan,"['pan', 'footstool', 'desk lamp', 'power saw', 'tap wrench']",True
cooking a fried egg,be heated,cup,cup,"['counterbore', 'hayfork', 'hand drill', 'toilet paper', 'cup']",True
cooking an omelette,be heated,pan,pan,"['common ax', 'kirpan', 'pan', 'fork', ""croupier's rake""]",True
reheating soup,be heated,kettle,kettle,"['neolith', 'cloth', 'kettle', 'roach clip', 'punch']",True
boiling water,be heated,plate,plate,"['toiletpaper', 'tamp', 'lightbulb', 'plate', 'laundryhamper']",True
decorating a room,beautify,steel wool pad,steel wool pad,"['drawer', 'soda can', 'coffee', 'axe', 'steel wool pad']",True
arranging flowers,beautify,abrader,opener,"['opener', 'abrader', 'basket ball', 'arm chair', 'creditcard']",False
painting walls,beautify,rat tail file,vacuum cleaner,"['vacuum cleaner', 'tomato', 'rat tail file', 'allen wrench', 'vase']",False
applying make-up,beautify,nailfile,nailfile,"['dogbed', 'corkscrew', 'handstamp', 'nailfile', 'ravehook']",True
shaping wire,bend,bender,bender,"['bender', 'pipe wrench', 'drawknife', 'ax', 'spreader']",True
adjusting blinds,bend,bender,bender,"['food jar', 'garden trowel', 'bender', 'breadknife', 'hacksaw']",True
fitting flexible piping,bend,saw set,pruning saw,"['pruning saw', 'saw set', 'scraper', 'bit', 'circular plane']",False
installing shelves,bore,bucksaw,bucksaw,"['shampoo', 'bucksaw', 'coffee machine', 'ax', 'drawer']",True
hanging pictures,bore,straight flute,set square,"['desk lamp', 'stamp', 'jack plane', 'set square', 'straight flute']",False
assembling furniture,bore,router,hammer,"['hammer', 'stapler', 'crown saw', 'chamfer plane', 'router']",False
preparing food,break,jigsaw,steak knife,"['steel wool pad', 'jigsaw', 'lightbulb', 'soap bar', 'steak knife']",False
opening packaging,break,folding saw,folding saw,"['folding saw', 'bulldog wrench', 'abrading stone', 'shovel', 'bender']",True
breaking apart food items,break,bottle,hand ax,"['cigar cutter', 'potato', 'hand ax', 'bottle', 'o ring']",False
serving food,carry,vase,vase,"['shaping tool', 'egg', 'vase', 'window', 'water bottle']",True
transporting liquids,carry,mug,mug,"['mug', 'fridge', 'spud', 'bread knife', 'straight flute']",True
serving a dish,carry,watering can,opener,"['try square', 'combination plane', 'opener', 'watering can', 'catling']",False
watering plants,carry,plate,tap,"['dibble', 'plate', 'tap', 'try square', 'spiral ratchet screwdriver']",False
decorating pumpkins,carve,yataghan,yataghan,"['sawmill', 'plastic box', 'yataghan', 'bathtubbasin', 'taper file']",True
preparing meat,carve,tableknife,tableknife,"['shaver', 'tableknife', 'wire cutter', 'showerdoor', 'grapnel']",True
crafting with wood,carve,barong,gouge,"['barong', 'room decor', 'salt', 'bullnose', 'gouge']",False
replacing light bulbs,change,signet,pruning saw,"['portable saw', 'pitchfork', 'signet', 'clincher', 'pruning saw']",False
changing bed sheets,change,ram,drawer,"['toothpick', 'drawer', 'razor', 'ram', 'crosscut saw']",False
swapping out filters,change,rock bit,rat tail file,"['plexor.n.wn.medicine', 'stool', 'rock bit', 'rat tail file', 'broadax']",False
preparing cooking ingredients,chop,half hatchet,butcher knife,"['butcher knife', 'pruning shear', 'steel wool pad', 'bread', 'half hatchet']",False
cutting meat,chop,claw hatchet,barong,"['blind', 'barong', 'rounder', 'claw hatchet', 'lightbulb']",False
making firewood,chop,fireman's ax,fireman's ax,"['case knife', 'bread knife', 'chisel', 'coffeetable', ""fireman's ax""]",True
washing dishes,clean,vaccum cleaner,brick trowel,"['dovetail plane', 'vaccum cleaner', 'common ax', 'brick trowel', 'potato']",False
throwing away uneaten food,clean,tableknife,tableknife,"['eolith', 'tableknife', 'trench knife', 'coffeetable', 'pruning knife']",True
cleaning spilled milk,clean,jigsaw,ladle,"['grapnel', 'lancet', 'jigsaw', 'ladle', 'battering ram']",False
cleaning the mirror,clean,vaccum cleaner,none,"['bodkin', 'vaccum cleaner', 'square', 'razor', 'desk lamp']",False
cleaning the fridge,clean,saber saw,spray bottle,"['oven', 'spade bit', 'spray bottle', 'showerhead', 'saber saw']",False
cleaning the blinds,clean,bandsaw,floorlamp,"['floorlamp', 'bandsaw', 'drilling bit', 'lancet', 'plunger']",False
cleaning the shower head,clean,towel,towel,"['binder', 'head gasket', 'camera', 'towel', 'vaccum cleaner']",True
dusting the statue,clean,power tool,toilet paper,"['alarm clock', 'power tool', 'toilet paper', 'chair', 'food cup']",False
cleaning the toilet,clean,portable saw,spray bottle,"['plexor.n.wn.medicine', 'portable saw', 'drilling bit', 'spray bottle', 'floor']",False
cleaning the floor,clean,power saw,ottoman,"['power saw', 'bowie knife', 'square', 'ottoman', 'basket ball']",False
washing your face,clean,electric hammer,floor lamp,"['bolt cutter', 'pruning saw', 'electric hammer', 'floor lamp', 'ice ax']",False
watching a movie,comfort,chair,chair,"['desk', 'electric drill', 'towelholder', 'chair', 'hook wrench']",True
setting up bedding,comfort,ottoman,ottoman,"['sponge', 'tabletopdecor', 'ottoman', 'to go cup', 'hedge trimmer']",True
choosing a comfortable seat,comfort,ottoman,ottoman,"['scrub brush', 'garden spade', 'power mower', 'ottoman', 'buffer']",True
storing clothes,compress,stemmer,none,"['nailfile', 'steel wool pad', 'stemmer', 'o ring', 'phillips screwdriver']",False
reducing space in bin,compress,stemmer,remote control,"['remote control', 'desktop', 'stemmer', 'bucksaw', 'comb']",False
preparing food,compress,stemmer,stemmer,"['rammer', 'bread', 'handsaw', 'stemmer', 'burin']",True
storing food,contain,fish knife,microwave,"['poniard', 'steel wool pad', 'switchblade', 'microwave', 'fish knife']",False
measuring liquids,contain,butter knife,cell phone,"['wrench', 'butter knife', 'pitchfork', 'cell phone', 'weeder']",False
managing waste,contain,tray,tray,"['slick', 'scraper', 'arm chair', 'baseballbat', 'tray']",True
being filled with a liquid,contain,table knife,crosscut saw,"['table knife', 'cigar cutter', 'flat file', 'crosscut saw', 'lochaber ax']",False
adjusting device settings,control,handsaw,pot,"['pot', 'tennis racket', 'common ax', 'pointing trowel', 'handsaw']",False
managing lighting,control,electric hammer,electric hammer,"['buffer', 'pick', 'electric hammer', 'machete', 'plane']",True
operating appliances,control,compass saw,bender,"['dagger', 'bender', 'compass saw', 'toilet paper', 'toiletpaperhanger']",False
keeping food from going bad,cool,drum sander,microwave,"['scythe', 'drum sander', 'microwave', 'side table', 'scraper']",False
freezing food,cool,drum sander,seal,"['drum sander', 'seal', 'bathtub', 'garden spade', 'rounder']",False
making ice,cool,drum sander,counter top,"['drum sander', 'abrader', 'battering ram', ""croupier's rake"", 'counter top']",False
creating frost patterns as decoration,cool,drum sander,set square,"['drum sander', 'hammer', 'bill', 'set square', 'triphammer']",False
protecting food,cover,drum sander,gasket,"['buffer', 'drum sander', 'gasket', 'laundry hamper', 'keyboard']",False
shielding surfaces,cover,drum sander,drum sander,"['set square', 'power tool', 'drum sander', 'auger', 'star drill']",True
securing items,cover,drum sander,buffer,"['drum sander', 'die', 'buffer', 'snuffer', 'buffer']",False
opening a nut,crack,stiletto,stiletto,"['toothpaste', 'compass saw', 'to go cup', 'food cup', 'stiletto']",True
breaking an egg,crack,bowie knife,icepick,"['icepick', 'plane', 'bowie knife', 'dogbed', 'tamp']",False
opening packages,crack,parer,parer,"['handtowelholder', 'slip joint plier', 'gutter', 'glue stick', 'parer']",True
baking pastries,crumble,battering ram,razorblade,"['mallet', 'battering ram', 'slick', ""fireman's ax"", 'razorblade']",False
preparing toppings,crumble,battering ram,sponge,"['handtowelholder', 'battering ram', 'ripping chisel', 'sponge', 'c d']",False
making breadcrumbs,crumble,battering ram,tack hammer,"['tack hammer', 'battering ram', 'dumbbell', 'stiletto', 'adz']",False
preparing snacks,crunch,pestle,pestle,"['pestle', 'egg', 'cigar cutter', 'flat file', 'hayfork']",True
making toppings,crunch,pestle,bowie knife,"['battle ax', 'pestle', 'saw set', 'bowie knife', 'garden trowel']",False
crushing ice,crunch,pestle,pestle,"['pestle', 'common ax', 'gang', 'bender', 'bolt cutter']",True
making ice cubes,cube,steak knife,wine bottle,"['locking plier', 'bolo', 'steak knife', 'drawknife', 'wine bottle']",False
preparing fruits and vegetables,cube,table knife,table knife,"['lightswitch', 'allen wrench', 'handtowel', 'table knife', 'remotecontrol']",True
preparing meats,cube,scalpel,scalpel,"['keyhole saw', 'cap opener', ""plumber's snake"", 'scalpel', 'posthole digger']",True
preparing a sliced apple,cut,compass saw,compass saw,"['dogbed', 'compass saw', 'basketball', 'tap', 'dogbed']",True
cutting an apple,cut,switchblade,switchblade,"['hatchel', 'ottoman', 'switchblade', 'steel wool pad', 'electric hammer']",True
opening an envelope,cut,blade,blade,"['cup', 'bottle opener', 'blade', 'diningtable', 'keychain']",True
