task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['drill', 'alligator wrench', 'sponge', 'kri', 'shampoo']",True
drying the dishes,absorb,sponge,sponge,"['toothpick', 'tack hammer', 'sponge', 'hunting knife', 'strickle']",True
removing moisture,absorb,sponge,sponge,"['steak knife', 'sponge', 'soapbottle', 'peppershaker', 'potato']",True
reheating coffee,be heated,pan,pan,"['footstool', 'pan', 'desk lamp', 'tap wrench', 'power saw']",True
cooking a fried egg,be heated,cup,hand drill,"['cup', 'counterbore', 'toilet paper', 'hayfork', 'hand drill']",False
cooking an omelette,be heated,pan,pan,"[""croupier's rake"", 'common ax', 'kirpan', 'pan', 'fork']",True
reheating soup,be heated,kettle,kettle,"['neolith', 'roach clip', 'cloth', 'kettle', 'punch']",True
boiling water,be heated,plate,plate,"['tamp', 'toiletpaper', 'laundryhamper', 'plate', 'lightbulb']",True
decorating a room,beautify,steel wool pad,drawer,"['steel wool pad', 'axe', 'soda can', 'coffee', 'drawer']",False
arranging flowers,beautify,abrader,arm chair,"['creditcard', 'abrader', 'opener', 'basket ball', 'arm chair']",False
painting walls,beautify,rat tail file,rat tail file,"['rat tail file', 'vase', 'allen wrench', 'vacuum cleaner', 'tomato']",True
applying make-up,beautify,nailfile,nailfile,"['nailfile', 'handstamp', 'ravehook', 'corkscrew', 'dogbed']",True
shaping wire,bend,bender,bender,"['ax', 'drawknife', 'spreader', 'pipe wrench', 'bender']",True
adjusting blinds,bend,bender,hacksaw,"['bender', 'garden trowel', 'breadknife', 'hacksaw', 'food jar']",False
fitting flexible piping,bend,saw set,pruning saw,"['bit', 'pruning saw', 'saw set', 'scraper', 'circular plane']",False
installing shelves,bore,bucksaw,bucksaw,"['coffee machine', 'drawer', 'bucksaw', 'ax', 'shampoo']",True
hanging pictures,bore,straight flute,set square,"['desk lamp', 'jack plane', 'set square', 'straight flute', 'stamp']",False
assembling furniture,bore,router,hammer,"['crown saw', 'chamfer plane', 'hammer', 'stapler', 'router']",False
preparing food,break,jigsaw,steak knife,"['lightbulb', 'steel wool pad', 'jigsaw', 'steak knife', 'soap bar']",False
opening packaging,break,folding saw,folding saw,"['bulldog wrench', 'bender', 'shovel', 'abrading stone', 'folding saw']",True
breaking apart food items,break,bottle,hand ax,"['bottle', 'cigar cutter', 'o ring', 'potato', 'hand ax']",False
serving food,carry,vase,water bottle,"['window', 'egg', 'shaping tool', 'vase', 'water bottle']",False
transporting liquids,carry,mug,mug,"['fridge', 'mug', 'bread knife', 'straight flute', 'spud']",True
serving a dish,carry,watering can,opener,"['try square', 'combination plane', 'catling', 'watering can', 'opener']",False
watering plants,carry,plate,tap,"['dibble', 'tap', 'plate', 'try square', 'spiral ratchet screwdriver']",False
decorating pumpkins,carve,yataghan,taper file,"['taper file', 'sawmill', 'plastic box', 'yataghan', 'bathtubbasin']",False
preparing meat,carve,tableknife,shaver,"['wire cutter', 'showerdoor', 'tableknife', 'shaver', 'grapnel']",False
crafting with wood,carve,barong,gouge,"['room decor', 'salt', 'gouge', 'barong', 'bullnose']",False
replacing light bulbs,change,signet,portable saw,"['clincher', 'signet', 'portable saw', 'pitchfork', 'pruning saw']",False
changing bed sheets,change,ram,crosscut saw,"['toothpick', 'crosscut saw', 'drawer', 'ram', 'razor']",False
swapping out filters,change,rock bit,rat tail file,"['stool', 'plexor.n.wn.medicine', 'rock bit', 'rat tail file', 'broadax']",False
preparing cooking ingredients,chop,half hatchet,butcher knife,"['half hatchet', 'bread', 'pruning shear', 'butcher knife', 'steel wool pad']",False
cutting meat,chop,claw hatchet,claw hatchet,"['blind', 'rounder', 'lightbulb', 'barong', 'claw hatchet']",True
making firewood,chop,fireman's ax,fireman's ax,"['bread knife', 'coffeetable', ""fireman's ax"", 'case knife', 'chisel']",True
washing dishes,clean,vaccum cleaner,brick trowel,"['brick trowel', 'dovetail plane', 'common ax', 'vaccum cleaner', 'potato']",False
throwing away uneaten food,clean,tableknife,tableknife,"['tableknife', 'eolith', 'coffeetable', 'trench knife', 'pruning knife']",True
cleaning spilled milk,clean,jigsaw,ladle,"['lancet', 'jigsaw', 'ladle', 'battering ram', 'grapnel']",False
cleaning the mirror,clean,vaccum cleaner,square,"['vaccum cleaner', 'square', 'razor', 'bodkin', 'desk lamp']",False
cleaning the fridge,clean,saber saw,spray bottle,"['oven', 'showerhead', 'spade bit', 'spray bottle', 'saber saw']",False
cleaning the blinds,clean,bandsaw,plunger,"['plunger', 'lancet', 'bandsaw', 'drilling bit', 'floorlamp']",False
cleaning the shower head,clean,towel,towel,"['camera', 'binder', 'vaccum cleaner', 'towel', 'head gasket']",True
dusting the statue,clean,power tool,toilet paper,"['toilet paper', 'chair', 'alarm clock', 'power tool', 'food cup']",False
cleaning the toilet,clean,portable saw,spray bottle,"['floor', 'drilling bit', 'portable saw', 'spray bottle', 'plexor.n.wn.medicine']",False
cleaning the floor,clean,power saw,square,"['bowie knife', 'power saw', 'ottoman', 'basket ball', 'square']",False
washing your face,clean,electric hammer,pruning saw,"['electric hammer', 'pruning saw', 'floor lamp', 'ice ax', 'bolt cutter']",False
