object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,palace,"['pantry room', 'palace', 'suitcase', 'laundry room', 'car']",False
adjustable wrench,bedroom,press,"['glass', 'press', 'cat', 'loft', 'bedroom']",False
alarmclock,bedroom,bedroom,"[""child's room"", 'different room', 'bedroom', 'larder', 'attic']",True
aluminumfoil,kitchen,kitchen,"['kitchen', 'bathroom cabinet', ""prostitute's bedroom"", 'exercise room', 'lamp']",True
android figure,corridor,chest,"['separate room', 'chest', 'castle', 'teapot', 'corridor']",False
anti slip tape,exercise room,exercise room,"['exercise room', 'side of the room', 'home', 'icebox', ""children's room""]",True
antidepressant,pantry room,larder,"['pantry room', 'motel room', 'laundry room', 'bundle', 'larder']",False
antique,attic,hall,"['court', 'pot', 'butt', 'attic', 'hall']",False
apple,kitchen,kitchen,"['kitchen', 'loft', 'bus', 'furniture', 'cup']",True
applesauce,jar,jar,"['teapot', 'jar', 'engine', 'sack', 'dishwasher']",True
appliance,home,dining room,"['home', 'backyard', 'hamper', 'chest', 'dining room']",False
apricot,table,table,"['bathroom', 'tea room', 'bike', 'bar', 'table']",True
armchair,bedroom,bedroom,"['classroom', 'bedroom', 'suitcase', 'ir rooms', 'basket']",True
armoire,living room,cabin,"['music room', 'vault', 'cabin', 'living room', 'hospital drug storeroom']",False
armrest,car,car,"['purse', 'childs room', 'car', 'wallet', 'room of the house']",True
arrow,quiver,quiver,"['container', 'quiver', 'oven', 'restroom', 'can']",True
artichoke,refrigerator,refrigerator,"['freezer', 'refrigerator', ""teenager's bedroom"", 'range', 'bookshelf']",True
article,press,ambulance,"['drawer', 'way', 'press', ' middle of the room', 'ambulance']",False
ashtray,house,guest room,"['orchestra', 'storage room', 'guest room', 'basket', 'house']",False
asparagus,oven,pantry room,"[""cash's room"", 'oven', 'glass', 'pantry room', 'stand']",False
atm,bank,bank,"['bathroom', 'palace', 'palace', 'dining room', 'bank']",True
attic,home,home,"['deck', 'dresser', 'family room', 'home', 'bank']",True
backpack,storage room,children's room,"[""children's room"", 'barrel', 'pantry', 'loungeroom', 'storage room']",False
bacon,oven,oven,"['classroom', 'oven', 'art classroom', 'butt', 'briefcase']",True
balancing cactus,television room,small room,"['locker', 'television room', 'pocket', 'small room', 'small room']",False
ball,sack,sack,"['motorbike', 'bathtub', 'truck', 'sack', 'ambulance']",True
balustrade,grand ballroom,grand ballroom,"['classroom', 'storage room', 'grand ballroom', 'motel room', 'camp']",True
banana,closet,plate,"['closet', 'plate', 'small room', 'bathroom drawer', 'castle']",False
bar,oven,backyard,"['bookshelf', 'stand', 'oven', 'side of the room', 'backyard']",False
baseball,lobby,court,"['livingroom', 'court', 'glass', 'lobby', 'band room']",False
baseballbat,bedroom,den,"['hive', 'den', 'sink', 'bedroom', 'container']",False
basil,garden,garden,"['quiver', 'garden', 'jar', 'bunk', 'bicycle']",True
basketball,bedroom,cabinet,"['mailbox', 'cabinet', 'jacket', 'card room', 'bedroom']",False
bat,attic,attic,"['butt', 'attic', 'different room', 'range', 'carton']",True
bath sheet,bedroom,shelf,"['shelf', 'vault', 'tea room', 'broom closet', 'bedroom']",False
bathtub,bathroom,bathroom,"['shoe', 'dresser', 'separate room', 'fridge', 'bathroom']",True
bathtubbasin,bathroom,bathroom,"['package', 'nest', 'bathroom', 'tin', 'barrel']",True
batter,box,freezer,"['livingroom', 'box', 'place', 'freezer', 'can']",False
