question,full_answer,final_answer,correct_answer
"In the recipe 'Worlds Best Mac and Cheese', which steps occurs after 'Mix pasta with sauce'?
Options:
- Bake with cheese topping
- Heat breakfast links
- Microwave chocolate and milk
- Cook rice until tender
- Cook pasta less than directions",Step: Bake with cheese topping,Bake with cheese topping,Bake with cheese topping
"In the recipe 'Dilly Macaroni Salad Recipe', which steps occurs after 'Combine macaroni and vegetables'?
Options:
- Cook beef and sausage
- Cook and drain macaroni
- Pierce potatoes with fork
- Flatten roast, add cheese
- Blend dressing and add",Step: Blend dressing and add,Blend dressing and add,Blend dressing and add
"In the recipe 'Gazpacho', which steps occurs after 'Combine vegetables with puree'?
Options:
- Cook pasta and sugar snaps
- Puree tomatoes with salt
- Drizzle oil, garnish, serve
- Preheat oven
- Peel and quarter potatoes","Step: Drizzle oil, garnish, serve","Drizzle oil, garnish, serve","Drizzle oil, garnish, serve"
"In the recipe 'Crunchy Onion Potato Bake', which steps occurs after 'Heat milk, water, butter'?
Options:
- Preheat oven
- Cut cucumber into rounds
- Toss all ingredients
- Cook eggs until fluffy
- Bake until cheese melts",Step: Toss all ingredients,Toss all ingredients,Bake until cheese melts
"In the recipe 'Cool 'n Easy Creamy Watermelon Pie', which steps occurs after 'Whisk in Cool Whip'?
Options:
- Spoon into crust
- Dissolve Jello in water
- Mix potatoes with flour
- Flatten roast, add cheese
- Preheat oven",Step: Spoon into crust,Spoon into crust,Spoon into crust
"In the recipe 'Easy Tropical Beef Skillet', which steps occurs after 'Add cornstarch mixture'?
Options:
- Brown beef and garlic
- Preheat oven and roll dough
- Cook eggs until fluffy
- Preheat oven
- Stir in fruits",Step: Stir in fruits,Stir in fruits,Stir in fruits
"In the recipe 'Kombu Tea Grilled Chicken Thigh', which steps occurs after 'Sprinkle kombu tea'?
Options:
- Cook and drain ground beef
- Pierce chicken skin
- Add bacon bits to loaf
- Brown chicken skin side
- Crush raspberries, extract juice",Step: Brown chicken skin side,Brown chicken skin side,Brown chicken skin side
"In the recipe 'Strawberry Rhubarb Dump Cake', which steps occurs after 'Layer ingredients evenly'?
Options:
- Bake in 350 oven
- Cook pasta, drain, rinse
- Prepare and drain macaroni shells
- Mix water, sugar, yeast, butter
- Butter 9x12x2-inch pan",Step: Bake in 350 oven,Bake in 350 oven,Bake in 350 oven
"In the recipe 'Zucchini Nut Bread', which steps occurs after 'Stir in zucchini'?
Options:
- Rub ribs with mix
- Fry floured chicken wings
- Beat eggs, add sugar
- Pat dry chicken, cut
- Fold in nuts",Step 5: Fold in nuts,Fold in nuts,Fold in nuts
"In the recipe 'Salmon & Salad a La SPORTZ', which steps occurs after 'Arrange veggies on salmon'?
Options:
- Preheat oven
- Blend soy milk, blueberries
- Bake salmon and veggies
- Roast squashes until soft
- Beat eggs, add sugar",Bake salmon and veggies,Bake salmon and veggies,Bake salmon and veggies
"In the recipe 'Fennel-Rubbed Pork Tenderloin with Roasted Fennel Wedges', which steps occurs after 'Brown pork on all sides'?
Options:
- Roast pork until thermometer reads 145F
- Combine ingredients in bowl
- Line pan with wafers
- Preheat oven, grease tray
- Preheat oven to 350F",Step: Roast pork until thermometer reads 145F,Roast pork until thermometer reads 145F,Roast pork until thermometer reads 145F
"In the recipe 'Pink Sangria', which steps occurs after 'Refrigerate'?
Options:
- Add soft drink and ice
- Heat chocolate in double boiler
- Add leeks, potatoes, broth
- Break up crab chunks
- Combine ingredients in pitcher",Step: Add soft drink and ice,Add soft drink and ice,Add soft drink and ice
"In the recipe 'Pineapple Loaf', which steps occurs after 'Add flour, pineapple, pecans'?
Options:
- Soak rice wrappers
- Cream butter, sugar, egg
- Preheat oven
- Pour into greased pan
- Saute onions, carrots, celery",Step: Pour into greased pan,Pour into greased pan,Pour into greased pan
"In the recipe 'Brown Sugar 'Karintou' Snacks', which steps occurs after 'Deep fry dough tubes'?
Options:
- Combine meats, onion, parsley
- Preheat oven
- Mix and knead ingredients
- Brown stuffing mix
- Coat with sugar mixture",Step: Coat with sugar mixture,Coat with sugar mixture,Coat with sugar mixture
"In the recipe 'Corn Casserole', which steps occurs after 'Add corn and tomato sauce'?
Options:
- Bake until cheese melts
- Line pan with wafers
- Grease fluted tube pan
- Preheat oven to 425F
- Fry hamburger and onion",Step: Bake until cheese melts,Bake until cheese melts,Bake until cheese melts
"In the recipe 'Grandmommy's Mexicali Meatloaf', which steps occurs after 'Pack into baking dish'?
Options:
- Cook cauliflower; drain well
- Pour mixture over meat
- Preheat oven to 350F
- Line plate with foil
- Combine ingredients in bowl",Step: Pour mixture over meat,Pour mixture over meat,Pour mixture over meat
"In the recipe 'Broccoli Rice Bake', which steps occurs after 'Bake at 350 degrees'?
Options:
- Break up crab chunks
- Top with cheese, bake
- Add leeks, potatoes, broth
- Mix ingredients, pour dish
- Preheat oven to 200C","Step: Top with cheese, bake","Top with cheese, bake","Top with cheese, bake"
