question,full_answer,final_answer,correct_answer
"Here are a few examples:
Object: Canned goods
Location: pantry room
Object: Alarm clock
Location: bedroom
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Fire extinguisher
Location: corridor
Object: Treadmill
Location: exercise room
Object: Cereal box
Location: pantry room
Object: Trunk
Location: attic

Object: action figure
Locations: pantry room, car, palace, suitcase, laundry room
Your Choice:",suitcase,suitcase,pantry room
"Here are a few examples:
Object: Canned goods
Location: pantry room
Object: Alarm clock
Location: bedroom
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Fire extinguisher
Location: corridor
Object: Treadmill
Location: exercise room
Object: Cereal box
Location: pantry room
Object: Trunk
Location: attic

Object: adjustable wrench
Locations: loft, bedroom, press, glass, cat
Your Choice:",loft,loft,bedroom
"Here are a few examples:
Object: Canned goods
Location: pantry room
Object: Alarm clock
Location: bedroom
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Fire extinguisher
Location: corridor
Object: Treadmill
Location: exercise room
Object: Cereal box
Location: pantry room
Object: Trunk
Location: attic

Object: alarmclock
Locations: child's room, larder, different room, bedroom, attic
Your Choice:",bedroom,bedroom,bedroom
"Here are a few examples:
Object: Canned goods
Location: pantry room
Object: Alarm clock
Location: bedroom
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Fire extinguisher
Location: corridor
Object: Treadmill
Location: exercise room
Object: Cereal box
Location: pantry room
Object: Trunk
Location: attic

Object: aluminumfoil
Locations: lamp, bathroom cabinet, kitchen, prostitute's bedroom, exercise room
Your Choice:",kitchen,kitchen,kitchen
"Here are a few examples:
Object: Canned goods
Location: pantry room
Object: Alarm clock
Location: bedroom
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Fire extinguisher
Location: corridor
Object: Treadmill
Location: exercise room
Object: Cereal box
Location: pantry room
Object: Trunk
Location: attic

Object: android figure
Locations: separate room, castle, teapot, chest, corridor
Your Choice:",separate room,separate room,corridor
"Here are a few examples:
Object: Canned goods
Location: pantry room
Object: Alarm clock
Location: bedroom
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Fire extinguisher
Location: corridor
Object: Treadmill
Location: exercise room
Object: Cereal box
Location: pantry room
Object: Trunk
Location: attic

Object: anti slip tape
Locations: children's room, home, exercise room, side of the room, icebox
Your Choice:",exercise room,exercise room,exercise room
"Here are a few examples:
Object: Canned goods
Location: pantry room
Object: Alarm clock
Location: bedroom
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Fire extinguisher
Location: corridor
Object: Treadmill
Location: exercise room
Object: Cereal box
Location: pantry room
Object: Trunk
Location: attic

Object: antidepressant
Locations: motel room, pantry room, bundle, laundry room, larder
Your Choice:",motel room,motel room,pantry room
"Here are a few examples:
Object: Canned goods
Location: pantry room
Object: Alarm clock
Location: bedroom
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Fire extinguisher
Location: corridor
Object: Treadmill
Location: exercise room
Object: Cereal box
Location: pantry room
Object: Trunk
Location: attic

Object: antique
Locations: hall, court, pot, attic, butt
Your Choice:",attic,attic,attic
"Here are a few examples:
Object: Canned goods
Location: pantry room
Object: Alarm clock
Location: bedroom
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Fire extinguisher
Location: corridor
Object: Treadmill
Location: exercise room
Object: Cereal box
Location: pantry room
Object: Trunk
Location: attic

Object: apple
Locations: cup, kitchen, furniture, loft, bus
Your Choice:",kitchen,kitchen,kitchen
"Here are a few examples:
Object: Canned goods
Location: pantry room
Object: Alarm clock
Location: bedroom
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Fire extinguisher
Location: corridor
Object: Treadmill
Location: exercise room
Object: Cereal box
Location: pantry room
Object: Trunk
Location: attic

Object: applesauce
Locations: jar, engine, dishwasher, sack, teapot
Your Choice:",jar,jar,jar
