Meal_Cutlery,Cutlery,Meal_Plate,Plate
Grilled Steak with Roasted Vegetables and Chimichurri Sauce,"Hands, Knife, Fork",Grilled chicken with roasted vegetables and quinoa.,Dinner Plate
Grilled Chicken with Roasted Vegetables,"Knife, Fork",Grilled chicken with roasted vegetables.,Dinner Plate
Spaghetti Carbonara,"Fork, Spoon",Cheesecake with a berry compote.,Dessert Plate
Chicken and Rice Casserole,Spoon,Chicken noodle soup.,Bowl
Bao Buns with Tofu and Pickled Vegetables,"Hands, Chopsticks",Grilled Portobello Mushroom Steak with Quinoa and Roasted Vegetables.,Dinner Plate
Grilled Chicken with Mashed Potatoes and Steamed Vegetables,"Knife, Fork, Spoon",Chicken noodle soup.,Bowl
Grilled Chicken with Roasted Vegetables and Mashed Potatoes,"Knife, Fork",Grilled chicken with roasted potatoes and steamed broccoli.,Dinner Plate
Grilled Chicken with Roasted Vegetables,"Knife, Fork",Grilled chicken with roasted vegetables and quinoa.,Dinner Plate
Spaghetti Bolognese with Garlic Bread,"Knife, Fork, Spoon",Grilled salmon with roasted vegetables.,Dinner Plate
Fried Rice with Dumplings,"Chopsticks, Spoon",Chicken noodle soup.,Bowl
Grilled Steak with Roasted Vegetables,"Knife, Fork",Grilled salmon with lemon butter sauce and roasted asparagus.,Dinner Plate
Grilled Steak with Roasted Vegetables,"Hands, Knife, Fork",Grilled Lemon Herb Chicken with Roasted Vegetables.,Dinner Plate
Grilled Chicken with Roasted Vegetables,"Knife, Fork",Grilled lemon herb chicken with roasted vegetables.,Dinner Plate
Grilled Chicken with Roasted Vegetables,"Knife, Fork",Grilled Chicken with Roasted Vegetables and Quinoa.,Dinner Plate
BBQ Chicken Wings,Hands,Mini Lemon Tarts,Dessert Plate
