question,final_answer,correct_answer
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: action figure
Locations: suitcase, laundry room, car, pantry room, palace
Your Choice:",suitcase,pantry room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: adjustable wrench
Locations: loft, glass, bedroom, press, cat
Your Choice:",loft,bedroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: alarmclock
Locations: attic, different room, bedroom, larder, child's room
Your Choice:",bedroom,bedroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: aluminumfoil
Locations: exercise room, bathroom cabinet, kitchen, prostitute's bedroom, lamp
Your Choice:",kitchen,kitchen
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: android figure
Locations: castle, separate room, teapot, corridor, chest
Your Choice:",chest,corridor
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: anti slip tape
Locations: icebox, side of  room, children's room, exercise room, home
Your Choice:",side of room,exercise room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: antidepressant
Locations: motel room, pantry room, bundle, laundry room, larder
Your Choice:",pantry room,pantry room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: antique
Locations: attic, pot, court, hall, butt
Your Choice:",attic,attic
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: apple
Locations: furniture, bus, loft, kitchen, cup
Your Choice:",kitchen,kitchen
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: applesauce
Locations: jar, dishwasher, engine, teapot, sack
Your Choice:",jar,jar
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: appliance
Locations: backyard, chest, home, hamper, dining room
Your Choice:",home,home
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: apricot
Locations: bathroom, bike, tea room, table, bar
Your Choice:",table,table
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: armchair
Locations: ir rooms, bedroom, basket, suitcase, classroom
Your Choice:",ir rooms,bedroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: armoire
Locations: living room, cabin, vault, hospital drug storeroom, music room
Your Choice:",Living room,living room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: armrest
Locations: room of house, purse, wallet, car, childs room
Your Choice:",room of house,car
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: arrow
Locations: can, container, restroom, quiver, oven
Your Choice:",quiver,quiver
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: nightstand
Location: bedroom
Object: nightstand
Location: bedroom
Object: spatula
Location: kitchen
Object: coat rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic
Object: artichoke
Locations: range, refrigerator, teenager's bedroom, bookshelf, freezer
Your Choice:",refrigerator,refrigerator
