Meal_Cutlery,Cutlery,Meal_Plate,Plate
Grilled Chicken Caesar Salad,"Hands, Knife, Fork",Grilled Chicken Alfredo Pasta,Dinner Plate
Steak with Mashed Potatoes,"Knife, Fork",Spaghetti and Meatballs,Dinner Plate
Pasta Primavera,"Fork, Spoon",Cheesecake,Dessert Plate
Creamy Tomato Basil Soup,Spoon,Chili con Carne,Bowl
Vegan Spring Rolls with Peanut Dipping Sauce,"Hands, Chopsticks",Spaghetti Aglio e Olio with Garlic and Parsley,Dinner Plate
Chicken Alfredo Pasta,"Knife, Fork, Spoon",Minestrone soup,Bowl
Steak with Garlic Mashed Potatoes and Steamed Broccoli,"Knife, Fork",Grilled Chicken with Roasted Potatoes and Steamed Broccoli,Dinner Plate
Grilled Chicken Caesar Salad,"Knife, Fork",Grilled Chicken with Roasted Vegetables and Quinoa,Dinner Plate
Beef Stroganoff with Egg Noodles,"Knife, Fork, Spoon",Grilled Chicken with Roasted Vegetables and Quinoa,Dinner Plate
Sushi with miso soup,"Chopsticks, Spoon",Tom Yum Soup,Bowl
Steak with Roasted Vegetables,"Knife, Fork",Grilled Salmon with Lemon-Dill Sauce and Roasted Vegetables,Dinner Plate
Steak with Garlic Mashed Potatoes,"Hands, Knife, Fork",Grilled Lemon Herb Chicken with Roasted Vegetables,Dinner Plate
Chicken Alfredo Pasta,"Knife, Fork",Chicken Alfredo Pasta,Dinner Plate
Grilled Chicken with Roasted Vegetables,"Knife, Fork",Grilled Chicken with Roasted Vegetables and Quinoa,Dinner Plate
Buffalo Chicken Wings,Hands,Chocolate Mousse,Dessert Plate
