object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,suitcase,"['car', 'palace', 'pantry room', 'suitcase', 'laundry room']",False
adjustable wrench,bedroom,loft,"['glass', 'cat', 'loft', 'bedroom', 'press']",False
alarmclock,bedroom,bedroom,"['attic', ""child's room"", 'bedroom', 'larder', 'different room']",True
aluminumfoil,kitchen,kitchen,"[""prostitute's bedroom"", 'exercise room', 'bathroom cabinet', 'kitchen', 'lamp']",True
android figure,corridor,separate room,"['teapot', 'castle', 'corridor', 'separate room', 'chest']",False
anti slip tape,exercise room,exercise room,"['icebox', 'exercise room', ""children's room"", 'side of  room', 'home']",True
antidepressant,pantry room,pantry room,"['motel room', 'larder', 'laundry room', 'bundle', 'pantry room']",True
antique,attic,attic,"['attic', 'court', 'butt', 'hall', 'pot']",True
apple,kitchen,kitchen,"['kitchen', 'loft', 'cup', 'bus', 'furniture']",True
applesauce,jar,jar,"['teapot', 'dishwasher', 'engine', 'sack', 'jar']",True
appliance,home,home,"['hamper', 'dining room', 'backyard', 'home', 'chest']",True
apricot,table,table,"['tea room', 'bathroom', 'bar', 'table', 'bike']",True
armchair,bedroom,bedroom,"['suitcase', 'ir rooms', 'classroom', 'basket', 'bedroom']",True
armoire,living room,living room,"['vault', 'living room', 'cabin', 'music room', 'hospital drug storeroom']",True
armrest,car,car,"['room of house', 'purse', 'car', 'wallet', 'childs room']",True
arrow,quiver,quiver,"['can', 'quiver', 'container', 'oven', 'restroom']",True
artichoke,refrigerator,refrigerator,"[""teenager's bedroom"", 'freezer', 'bookshelf', 'refrigerator', 'range']",True
article,press,drawer,"['middle of  room', 'drawer', 'press', 'way', 'ambulance']",False
ashtray,house,guest room,"['orchestra', 'storage room', 'guest room', 'house', 'basket']",False
asparagus,oven,pantry room,"['oven', 'pantry room', 'glass', ""cash's room"", 'stand']",False
atm,bank,bank,"['bank', 'palace', 'dining room', 'bathroom', 'palace']",True
attic,home,home,"['deck', 'dresser', 'family room', 'bank', 'home']",True
backpack,storage room,storage room,"['loungeroom', ""children's room"", 'barrel', 'pantry', 'storage room']",True
bacon,oven,oven,"['oven', 'art classroom', 'butt', 'classroom', 'briefcase']",True
balancing cactus,television room,television room,"['pocket', 'television room', 'small room', 'small room', 'locker']",True
ball,sack,truck,"['motorbike', 'bathtub', 'sack', 'ambulance', 'truck']",False
balustrade,grand ballroom,grand ballroom,"['motel room', 'classroom', 'camp', 'storage room', 'grand ballroom']",True
banana,closet,plate,"['castle', 'bathroom drawer', 'closet', 'plate', 'small room']",False
bar,oven,stand,"['backyard', 'bookshelf', 'stand', 'oven', 'side of  room']",False
baseball,lobby,court,"['livingroom', 'lobby', 'band room', 'glass', 'court']",False
baseballbat,bedroom,den,"['bedroom', 'sink', 'container', 'den', 'hive']",False
basil,garden,garden,"['quiver', 'garden', 'jar', 'bunk', 'bicycle']",True
basketball,bedroom,cabinet,"['bedroom', 'card room', 'jacket', 'cabinet', 'mailbox']",False
bat,attic,attic,"['carton', 'butt', 'attic', 'different room', 'range']",True
bath sheet,bedroom,bedroom,"['shelf', 'vault', 'tea room', 'bedroom', 'broom closet']",True
bathtub,bathroom,bathroom,"['separate room', 'fridge', 'bathroom', 'dresser', 'shoe']",True
bathtubbasin,bathroom,bathroom,"['bathroom', 'package', 'tin', 'nest', 'barrel']",True
batter,box,freezer,"['freezer', 'can', 'box', 'place', 'livingroom']",False
battery,childs room,childs room,"['bus', 'childs room', 'floor', 'plate', 'backyard']",True
beacon,range,utility room,"['tin', 'range', 'cruet', 'loft', 'utility room']",False
beanbag,child's bedroom,child's bedroom,"['chest', 'hatbox', 'briefcase', 'barrel', ""child's bedroom""]",True
beard color gel,utility room,utility room,"['middle of  room', 'utility room', 'tin', 'study', 'deck']",True
beauty pack,utility room,house,"['backyard', 'palace', 'utility room', 'house', 'study']",False
bed,bedroom,bedroom,"['pod', 'bedroom drawer', 'bedroom', 'packet', 'dishwasher']",True
bedroom,dwelling,dwelling,"['sack', 'refrigerator', 'dwelling', 'class room', 'range']",True
beer,can,can,"['can', 'most rooms', 'engine', 'engine', 'sofa']",True
beet,can,container,"['container', 'toaster', 'can', 'foyer', 'loungeroom']",False
belt,closet,closet,"['hall', 'jacket', 'most rooms', 'closet', 'childs room']",True
beverage,bottle,dining room,"[""prostitute's bedroom"", 'parlor', 'bottle', 'dining room', 'case']",False
binoculars,suitcase,shelf,"['quiver', 'belfry', 'shelf', 'suitcase', 'kitchen or bathroom']",False
biscuit,oven,children's room,"['oven', 'dumpster', 'stove', ""children's room"", 'mansion']",False
blanket,closet,closet,"['dimly lit room', 'closet', 'hive', 'wallet', 'toolbox']",True
bleach cleanser,bathroom,bathroom,"['motel room', 'bathroom', ""children's room"", 'jar', 'attic']",True
blender,kitchen,kitchen,"['wardrobe', 'hotel room', 'package', 'living rooms', 'kitchen']",True
blender jar,garage,pantry,"['garage', 'sack', 'bar', 'pantry', 'pitcher']",False
blind,bedroom,bedroom,"['beehive', 'palace', 'briefcase', 'bed', 'bedroom']",True
blouse,suitcase,suitcase,"['bowl', 'locker', 'tea room', 'suitcase', 'butt']",True
board game,childs room,childs room,"['different room', 'most rooms', 'furniture', 'bed', 'childs room']",True
boat,bay,bay,"['quiver', ""men's restroom"", 'pantry', 'every bedroom', 'bay']",True
boater,boat,boat,"['place', 'boat', 'dining room', 'stand', ""person's living room""]",True
