object,correct_location,predicted_location,location_choices,correct_prediction
action figure,pantry room,suitcase,"['pantry room', 'car', 'suitcase', 'palace', 'laundry room']",False
adjustable wrench,bedroom,press,"['bedroom', 'loft', 'press', 'cat', 'glass']",False
alarmclock,bedroom,bedroom,"['different room', ""child's room"", 'bedroom', 'attic', 'larder']",True
aluminumfoil,kitchen,kitchen,"['kitchen', 'exercise room', ""prostitute's bedroom"", 'bathroom cabinet', 'lamp']",True
android figure,corridor,chest,"['separate room', 'chest', 'teapot', 'corridor', 'castle']",False
anti slip tape,exercise room,exercise room,"['home', 'side of the room', 'exercise room', ""children's room"", 'icebox']",True
antidepressant,pantry room,pantry room,"['laundry room', 'larder', 'bundle', 'motel room', 'pantry room']",True
antique,attic,attic,"['butt', 'court', 'hall', 'pot', 'attic']",True
apple,kitchen,kitchen,"['bus', 'kitchen', 'cup', 'furniture', 'loft']",True
applesauce,jar,jar,"['teapot', 'sack', 'jar', 'engine', 'dishwasher']",True
appliance,home,home,"['dining room', 'home', 'hamper', 'backyard', 'chest']",True
apricot,table,table,"['bar', 'table', 'tea room', 'bathroom', 'bike']",True
armchair,bedroom,none,"['basket', 'ir rooms', 'bedroom', 'suitcase', 'classroom']",False
armoire,living room,living room,"['music room', 'hospital drug storeroom', 'cabin', 'living room', 'vault']",True
armrest,car,room of the house,"['childs room', 'wallet', 'purse', 'room of the house', 'car']",False
arrow,quiver,quiver,"['container', 'can', 'oven', 'quiver', 'restroom']",True
artichoke,refrigerator,refrigerator,"['refrigerator', 'range', 'freezer', ""teenager's bedroom"", 'bookshelf']",True
article,press,drawer,"[' middle of the room', 'press', 'way', 'drawer', 'ambulance']",False
ashtray,house,guest room,"['guest room', 'basket', 'house', 'storage room', 'orchestra']",False
asparagus,oven,pantry room,"['glass', 'pantry room', ""cash's room"", 'stand', 'oven']",False
atm,bank,bank,"['bathroom', 'dining room', 'bank', 'palace', 'palace']",True
attic,home,home,"['home', 'dresser', 'deck', 'family room', 'bank']",True
backpack,storage room,storage room,"['barrel', ""children's room"", 'storage room', 'loungeroom', 'pantry']",True
bacon,oven,oven,"['classroom', 'art classroom', 'oven', 'briefcase', 'butt']",True
balancing cactus,television room,television room,"['television room', 'small room', 'small room', 'pocket', 'locker']",True
ball,sack,sack,"['truck', 'motorbike', 'bathtub', 'sack', 'ambulance']",True
balustrade,grand ballroom,grand ballroom,"['storage room', 'camp', 'classroom', 'grand ballroom', 'motel room']",True
banana,closet,plate,"['castle', 'small room', 'closet', 'bathroom drawer', 'plate']",False
bar,oven,stand,"['oven', 'bookshelf', 'side of the room', 'stand', 'backyard']",False
baseball,lobby,court,"['livingroom', 'glass', 'court', 'band room', 'lobby']",False
baseballbat,bedroom,den,"['den', 'sink', 'container', 'hive', 'bedroom']",False
basil,garden,garden,"['bunk', 'jar', 'bicycle', 'quiver', 'garden']",True
basketball,bedroom,card room,"['bedroom', 'cabinet', 'jacket', 'card room', 'mailbox']",False
bat,attic,attic,"['different room', 'attic', 'range', 'butt', 'carton']",True
bath sheet,bedroom,bedroom,"['broom closet', 'bedroom', 'vault', 'shelf', 'tea room']",True
bathtub,bathroom,bathroom,"['fridge', 'dresser', 'shoe', 'bathroom', 'separate room']",True
bathtubbasin,bathroom,bathroom,"['package', 'tin', 'bathroom', 'nest', 'barrel']",True
batter,box,box,"['place', 'livingroom', 'can', 'box', 'freezer']",True
battery,childs room,none,"['floor', 'backyard', 'bus', 'plate', 'childs room']",False
beacon,range,loft,"['tin', 'range', 'utility room', 'loft', 'cruet']",False
beanbag,child's bedroom,child's bedroom,"['chest', 'hatbox', ""child's bedroom"", 'briefcase', 'barrel']",True
beard color gel,utility room,utility room,"['deck', 'utility room', ' middle of the room', 'study', 'tin']",True
beauty pack,utility room,utility room,"['utility room', 'house', 'backyard', 'palace', 'study']",True
bed,bedroom,bedroom,"['pod', 'bedroom', 'packet', 'bedroom drawer', 'dishwasher']",True
bedroom,dwelling,dwelling,"['refrigerator', 'dwelling', 'sack', 'range', 'class room']",True
beer,can,can,"['engine', 'most rooms', 'engine', 'sofa', 'can']",True
beet,can,container,"['foyer', 'can', 'container', 'loungeroom', 'toaster']",False
belt,closet,closet,"['most rooms', 'closet', 'jacket', 'childs room', 'hall']",True
beverage,bottle,dining room,"['parlor', 'case', 'bottle', ""prostitute's bedroom"", 'dining room']",False
binoculars,suitcase,shelf,"['belfry', 'shelf', 'quiver', 'suitcase', 'kitchen or bathroom']",False
biscuit,oven,children's room,"['mansion', 'stove', 'oven', 'dumpster', ""children's room""]",False
blanket,closet,closet,"['dimly lit room', 'closet', 'wallet', 'hive', 'toolbox']",True
bleach cleanser,bathroom,bathroom,"['motel room', 'attic', 'jar', ""children's room"", 'bathroom']",True
blender,kitchen,kitchen,"['package', 'living rooms', 'kitchen', 'hotel room', 'wardrobe']",True
blender jar,garage,pantry,"['garage', 'pantry', 'pitcher', 'sack', 'bar']",False
blind,bedroom,bedroom,"['beehive', 'palace', 'bed', 'bedroom', 'briefcase']",True
blouse,suitcase,suitcase,"['butt', 'bowl', 'suitcase', 'tea room', 'locker']",True
board game,childs room,none,"['furniture', 'different room', 'bed', 'most rooms', 'childs room']",False
boat,bay,bay,"['bay', 'every bedroom', ""men's restroom"", 'pantry', 'quiver']",True
boater,boat,boat,"['boat', 'dining room', ""person's living room"", 'place', 'stand']",True
bolt,jar,jar,"['bundle', 'jar', 'package', 'garbage', 'den']",True
book,living room,living room,"['living room', 'locker', 'garden', 'bike', 'aquarium']",True
bookcase,den,bookshelf,"['bookshelf', 'den', 'pot', 'hospital drug storeroom', 'nest']",False
bookend,utility room,every bedroom,"['utility room', 'larder', 'bathroom drawer', 'every bedroom', 'glass']",False
bookshelf,bedroom,bedroom,"['boot', 'teapot', 'toaster', 'hamper', 'bedroom']",True
boot,living room,living room,"['floor', 'one room flat', 'belfry', 'living room', 'tin']",True
booze,bar,bar,"['hive', 'small room', 'mailbox', 'bar', 'hall']",True
bottle,kitchen,kitchen,"['dumpster', 'kitchen', 'waiting room', 'briefcase', 'floor']",True
bourbon,barrel,card room,"['barrel', 'card room', 'bathtub', 'tin', 'sofa']",False
bowl,kitchen,kitchen,"['locker', 'kitchen', 'packet', 'grand ballroom', 'backyard']",True
box,bedroom,drawer,"['bedroom', 'bath', 'drawer', 'bottle', 'anor room']",False
bra,drawer,drawer,"['guest room', 'pot', 'cat', 'bath', 'drawer']",True
brain,head,head,"['every bedroom', 'beehive', 'head', 'keg', 'bowl']",True
brandy,bar,bar,"['waiting room', 'tank', 'grand ballroom', 'bar', 'microwave']",True
bread,kitchen,kitchen,"['dining room', 'kitchen', 'machine', 'corridor', 'closet']",True
breakfast,table,garbage,"['machine', 'parlor', 'childs room', 'table', 'garbage']",False
broccoli,oven,tin,"['truck', 'tin', 'oven', 'most rooms', 'packet']",False
broiler,oven,oven,"['broom closet', 'oven', 'motorbike', 'pot', 'cellar']",True
broom,cabinet,cabinet,"['schoolroom', 'den', 'one of the classrooms', 'cabinet', 'butt']",True
bug,garden,garden,"['broom closet', 'card room', 'childs room', 'garden', 'cup']",True
bulb,lamp,lamp,"['lounge', 'sink', 'cabin', 'lamp', 'different room']",True
bullet,barrel,storage room,"['hotel room', 'storage room', 'briefcase', 'bike', 'barrel']",False
bumper,car,none,"['home office', 'loft', 'car', 'attic', 'ir rooms']",False
bun,breadbox,breadbox,"['beehive', 'well', 'tank', 'breadbox', ""child's bedroom""]",True
bundt pan,living room,none,"['living room', 'art classroom', 'bicycle', 'vault', 'wallet']",False
bureau,bedroom,bedroom,"['tea room', 'bedroom', 'sofa', 'camp', 'box']",True
burner,oven,kitchen,"['oven', 'laundry room', 'chest', 'dumpster', 'kitchen']",False
butter dish,garage,cash's room,"['garage', 'cellar', 'bunk', 'trunk', ""cash's room""]",False
butterknife,kitchen,kitchen,"['kitchen', 'can', 'suitcase', 'tank', 'shelf']",True
cabbage,plate,plate,"['boot', 'plate', 'bathroom drawer', 'card room', 'pocket']",True
cabinet,bathroom,bathroom,"['backyard', 'grand ballroom', ""child's room"", 'bay', 'bathroom']",True
cake mix,lobby,pantry,"['chest', 'pantry', 'lobby', 'laundry room', 'microwave']",False
cake pan,childs room,person's living room,"['pot', 'hamper', 'truck', 'childs room', ""person's living room""]",False
calender,desk,desk,"['sofa', 'desk', 'broom closet', 'cruet', 'master bedroom']",True
camera,dining room,art classroom,"['press', 'dining room', 'tank', 'sedan', 'art classroom']",False
camper,bunk,pod,"['one of the classrooms', 'pod', 'bunk', 'bay', 'packet']",False
can opener,living room,living room,"['ambulance', 'motel room', 'living room', 'library', 'cabin']",True
candelabra,table,table,"['stove', 'basement', 'bar', 'table', 'anor room']",True
candle,living room,living room,"['washer', 'box', 'belfry', 'living room', 'stove']",True
candle holder,corridor,bathroom or kitchen,"['castle', 'tank', 'bathroom or kitchen', 'mansion', 'corridor']",False
candlestick,table,table,"['basement', 'lamp', 'dresser', 'table', 'art classroom']",True
candy,lobby,dwelling,"['lobby', 'boot', 'dwelling', 'chamber', 'packet']",False
candy bar,garage,none,"['garage', 'belfry', 'classroom', 'glass', 'shell']",False
canister,utility room,utility room,"['deck', 'nest', 'utility room', 'toolbox', ""child's bedroom""]",True
canteen,backpack,backpack,"['bike', 'schoolroom', 'carton', 'court', 'backpack']",True
canvas,art classroom,art classroom,"['bike', 'keg', 'keg', 'home', 'art classroom']",True
cap,suitcase,suitcase,"['glass', 'orchestra', 'grand ballroom', 'apartment', 'suitcase']",True
carburettor,car,car,"['wardrobe', 'car', 'furniture', 'sedan', 'cubicle']",True
card,box,box,"['box', 'purse', 'study', 'cabin', 'closet']",True
card game,playroom,playroom,"['ambulance', 'side of the room', 'playroom', ""teenager's bedroom"", ""child's room""]",True
carpeting,house,house,"['engine', 'container', 'larder', 'house', 'closet']",True
carrot,fridge,fridge,"['hall', 'fridge', 'cradle', 'butt', 'sink']",True
carrying case,kitchen,wardrobe,"['handbag', 'belfry', 'wardrobe', 'kitchen', 'dormroom']",False
case,trunk,separate room,"['trunk', 'dishwasher', 'separate room', 'bathroom and kitchen', 'bright room']",False
casserole dish,television room,case,"['television room', 'floor', 'one of the classrooms', 'case', 'nest']",False
cauliflower,oven,oven,"['living rooms', 'oven', 'boot', 'small room', 'wallet']",True
cd,bedroom,bedroom,"['corridor', 'shaker', 'deck', 'place', 'bedroom']",True
celery,refrigerator,refrigerator,"['numerous modern washrooms', 'engine', 'pan', 'lobby', 'refrigerator']",True
cellar,basement,basement,"[""person's living room"", 'room of the house', 'drawer', 'basement', 'dresser']",True
cellphone,living room,living room,"['basket', 'living room', 'guest room', 'machine', 'bank']",True
centerpiece,table,table,"['trunk', 'schoolroom', 'briefcase', 'suitcase', 'table']",True
cereal,living room,none,"['desk', 'laundry room', 'pan', 'living room', 'livingroom']",False
chain,dining room,chest,"['livin room', 'sedan', 'art classroom', 'dining room', 'chest']",False
chair,living room,living room,"['castle', 'storage room', ""men's restroom"", 'dimly lit room', 'living room']",True
chalk,classroom,classroom,"['bathroom cabinet', 'tank', 'plate', 'classroom', 'carton']",True
chalkboard,classroom,family room,"['family room', 'classroom', 'larder', 'bathroom drawer', 'garage']",False
check,bank,lounge,"['lounge', 'freezer', ""prostitute's bedroom"", 'bay', 'bank']",False
cheese,fridge,fridge,"['freezer', 'living room', 'press', 'music room', 'fridge']",True
chesterfield,living room,living room,"['belfry', 'plate', 'stove', 'living room', 'television room']",True
chicken,freezer,freezer,"['tea room', ""child's room"", 'family room', 'camp', 'freezer']",True
chickpea,oven,basket,"['basket', 'oven', 'hatbox', 'every bedroom', 'stand']",False
china,cabinet,cabinet,"['freezer', 'table', 'bay', 'cabinet', 'bath']",True
chip,pot,hamper,"['card room', 'hamper', 'deck', 'bed', 'pot']",False
chocolate,childs room,container,"['art classroom', 'container', 'childs room', 'safe', 'hospital drug storeroom']",False
chocolate box,exercise room,bookshelf,"['exercise room', 'apartment', 'dresser', 'automobile', 'bookshelf']",False
chocolate milk pods,kitchen,kitchen,"[""men's restroom"", 'dungeon', 'bathroom or kitchen', 'music room', 'kitchen']",True
chocolate powder,playroom,refrigerator,"['garbage', 'nest', 'refrigerator', 'playroom', 'chest']",False
chopping board,television room,counter,"['truck', 'television room', 'counter', 'toolbox', 'hall']",False
cinnamon,kitchen,kitchen,"['art classroom', 'bathroom drawer', 'dresser', 'kitchen', 'purse']",True
clamp,lobby,apartment,"['camp', 'waiting room', 'apartment', 'lobby', 'freezer']",False
clay,storage room,storage room,"['bank', 'ballroom', 'storage room', 'attic', 'toolbox']",True
clipboard,desk,desk,"['jar', 'art classroom', 'cabinet', 'wardrobe', 'desk']",True
clock,television room,television room,"['head', 'oven', 'shaker', 'television room', 'bar']",True
closet,apartment,apartment,"['garbage', 'oven', 'bright room', 'boat', 'apartment']",True
cloth,bathroom,bathroom,"['one room flat', 'schoolroom', 'bathroom', 'well', 'music room']",True
clothing,house,child's bedroom,"['hatbox', 'broom closet', 'jar', ""child's bedroom"", 'house']",False
coaster,table,table,"['bathroom cabinet', 'table', 'bathroom', ""child's bedroom"", 'every bedroom']",True
coat,closet,closet,"['motel room', 'stand', 'closet', 'jacket', 'room of the house']",True
coating,range,furniture,"['furniture', 'range', 'bath', 'dumpster', 'garbage']",False
cockpit,head,different room,"['butt', 'camp', 'different room', 'camp', 'head']",False
