object,pred_locations,rr,ap@1,ap@3,ap@5,rec@1,rec@3,rec@5
action figure,"['bedroom', 'playroom', 'living room', 'closet']",1.0,1.0,1.0,0.75,0.058823529411764705,0.17647058823529413,0.23529411764705882
adjustable wrench,"['garage', 'toolbox', 'basement', 'workshop', 'storage']",1.0,1.0,1.0,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
alarmclock,"['bedside table', 'bedroom dresser', 'nightstand', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
aluminumfoil,"['kitchen drawers', 'kitchen cabinets', 'pantry', 'on']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
android figure,"['desk', 'shelf', 'floor', 'table', 'closet', '']",0.2,0.0,0.0,0.2,0.0,0.0,0.058823529411764705
anti slip tape,"['bathrooms', 'stairs', 'kitchens', 'floors near']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
antidepressant,"['medicine cabinet', 'bathroom counter', 'bedroom nightstand']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
antique,"['living room', 'bedroom', 'dining room', 'hallway', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,"['kitchen counter', 'kitchen table', 'refrigerator', 'fruit']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
applesauce,"['kitchen', 'pantry', 'refrigerator', 'cupboard', 'dining']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
appliance,"['kitchen', 'laundry room', 'garage', 'basement', 'living']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
apricot,"['kitchen', 'pantry', 'dining room', 'refrigerator']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
armchair,"['living room', 'bedroom', 'study', 'lounge', 'den']",1.0,1.0,1.0,1.0,0.16666666666666666,0.5,0.6666666666666666
armoire,"['bedroom', 'closet', 'hallway', 'living room', '']",1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
armrest,"['sofa', 'armchair', 'recliner', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
arrow,"['craft room', 'office', 'garage', 'attic', 'basement']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
artichoke,"['kitchen', 'pantry', 'refrigerator', 'dining room', '']",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
article,"['living room', 'bedroom', 'home office', 'kitchen', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
ashtray,"['living room', 'balcony', 'patio', 'dining room', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
asparagus,"['kitchen', 'refrigerator', 'pantry', 'dining room', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
atm,"['study', 'home office', 'bedroom', 'living room', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
attic,"['upper floors', 'hallways', 'storage rooms', 'gar']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
backpack,"['entryway', 'closet', 'bedroom', 'living room', '']",0.5,0.0,0.5833333333333333,0.6388888888888888,0.0,0.11764705882352941,0.17647058823529413
bacon,"['refrigerator', 'freezer', 'pantry', 'kitchen']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
balancing cactus,"['living room', 'bedroom', 'office', 'hallway', 'entry']",1.0,1.0,1.0,1.0,0.058823529411764705,0.11764705882352941,0.11764705882352941
ball,"['playroom', 'bedroom', 'living room', 'backyard', '']",1.0,1.0,1.0,1.0,0.25,0.25,0.25
balustrade,"['staircase', 'balcony', 'landing', 'hallway', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
banana,"['kitchen counter', 'kitchen table', 'fruit bowl', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bar,"['kitchen', 'dining room', 'living room', 'basement']",0.25,0.0,0.0,0.0,0.0,0.0,0.0
baseball,"['playroom', 'garage', 'backyard', 'closet', 'living']",1.0,1.0,1.0,0.9166666666666666,0.058823529411764705,0.11764705882352941,0.17647058823529413
baseballbat,"['garage', 'closet', 'attic', 'basement', 'living']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
basil,"['kitchen', 'pantry', 'garden', 'dining room', '']",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
basketball,"['garage', 'backyard', 'basement', 'living room', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat,"['attic', 'garage', 'basement', 'closet', 'bedroom']",1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
bath sheet,"['bathroom', 'linen closet', 'laundry room', 'bedroom']",1.0,1.0,1.0,0.5,0.058823529411764705,0.058823529411764705,0.11764705882352941
bathtub,"['bathroom', 'ensuite', 'laundry room', 'basement', '']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
bathtubbasin,"['bathroom', 'ensuite', 'laundry room', 'basement', '']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
batter,"['kitchen', 'pantry', 'refrigerator', 'dining room', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,"['junk drawer', 'garage', 'closet', 'kitchen counter']",0.5,0.0,0.5833333333333333,0.5833333333333333,0.0,0.11764705882352941,0.11764705882352941
beacon,"['front door', 'hallway', 'living room', 'kitchen', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
beanbag,"['living room', 'bedroom', 'playroom', 'family room']",0.5,0.0,0.5,0.5,0.0,0.25,0.25
beard color gel,"['bathroom', 'bedroom', 'closet', 'dresser']",1.0,1.0,1.0,1.0,0.058823529411764705,0.17647058823529413,0.17647058823529413
beauty pack,"['bathroom', 'bedroom', 'closet', 'dresser']",1.0,1.0,1.0,1.0,0.058823529411764705,0.17647058823529413,0.17647058823529413
bed,"['bedroom', 'guest room', 'attic', 'basement', '']",1.0,1.0,1.0,0.75,0.14285714285714285,0.14285714285714285,0.2857142857142857
bedroom,"['upstairs', 'hallway', 'floor with private quarters', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
beer,"['refrigerator', 'kitchen counter', 'pantry', '']",1.0,1.0,1.0,1.0,0.1,0.1,0.1
beet,"['kitchen', 'pantry', 'refrigerator', 'garden', 'dining']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
belt,"['closet', 'bedroom', 'laundry room', 'entryway']",1.0,1.0,1.0,1.0,0.5,0.5,0.5
beverage,"['kitchen', 'dining room', 'refrigerator', 'pantry', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
binoculars,"['living room', 'bedroom', 'closet', 'attic', 'garage']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
biscuit,"['kitchen', 'pantry', 'cupboard', 'dining table', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
blanket,"['bed', 'closet', 'living room', 'laundry room', '']",0.5,0.0,0.5,0.5,0.0,0.2,0.2
bleach cleanser,"['laundry room', 'kitchen', 'bathroom', 'garage', '']",0.5,0.0,0.5833333333333333,0.6388888888888888,0.0,0.11764705882352941,0.17647058823529413
blender,"['kitchen countertops', 'kitchen cabinets', 'pantry', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
blender jar,"['kitchen counter', 'kitchen cabinet', 'dishwasher', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
blind,"['windows', 'doors', 'living room', 'bedroom', 'kitchen']",0.3333333333333333,0.0,0.3333333333333333,0.2222222222222222,0.0,0.3333333333333333,0.3333333333333333
blouse,"['closet', 'dresser', 'laundry room', 'bedroom floor']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
board game,"['living room', 'playroom', 'closet', 'attic', '']",1.0,1.0,1.0,1.0,0.058823529411764705,0.17647058823529413,0.17647058823529413
boat,"['garage', 'backyard', 'basement', 'living room', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
boater,"['closet', 'bedroom', 'attic', 'garage', 'storage']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bolt,"['garage', 'toolbox', 'workshop', 'basement', 'storage']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
book,"['bookshelf', 'living room', 'bedroom', 'home office']",0.5,0.0,0.5833333333333333,0.38888888888888884,0.0,0.11764705882352941,0.17647058823529413
bookcase,"['living room', 'home office', 'bedroom', 'study', '']",0.25,0.0,0.0,0.0,0.0,0.0,0.0
bookend,"['bookshelf', 'living room', 'home office', 'bedroom']",1.0,1.0,1.0,0.75,0.05,0.15,0.2
bookshelf,"['living room', 'home office', 'bedroom', 'hallway', '']",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
boot,"['entryway', 'mudroom', 'closet', 'bedroom', '']",0.25,0.0,0.0,0.0,0.0,0.0,0.0
booze,"['kitchen', 'dining room', 'living room', 'bar']",0.25,0.0,0.0,0.0,0.0,0.0,0.0
bottle,"['kitchen', 'dining room', 'pantry', 'refrigerator', '']",1.0,1.0,1.0,1.0,0.5,0.5,0.5
bourbon,"['liquor cabinet', 'kitchen counter', 'dining room side']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowl,"['kitchen', 'dining room', 'cupboard', 'pantry', '']",1.0,1.0,1.0,1.0,0.058823529411764705,0.11764705882352941,0.11764705882352941
box,"['attic', 'garage', 'storage closet', 'basement', '']",0.5,0.0,0.5,0.5,0.0,0.058823529411764705,0.058823529411764705
bra,"['bedroom', 'dresser', 'closet', 'laundry room', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
brain,"['none', ""(it's not typical to find a""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0
brandy,"['liquor cabinet', 'dining room', 'living room', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bread,"['kitchen counter', 'pantry', 'kitchen table', 'dining']",0.5,0.0,0.5,0.5,0.0,0.14285714285714285,0.14285714285714285
breakfast,"['kitchen', 'dining room', 'table']",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
broccoli,"['kitchen', 'refrigerator', 'pantry', 'dining room', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
broiler,"['kitchen', 'pantry', 'garage', 'outdoor storage', 'basement']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
broom,"['garage', 'laundry room', 'closet', 'kitchen', '']",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
bug,"['basement', 'garage', 'kitchen', 'bathroom', 'bedroom']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bulb,"['lamp', 'ceiling fixture', 'table lamp', 'closet']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
bullet,"['basement', 'garage', 'desk drawer', 'closet', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bumper,"['garage', 'driveway', 'backyard', 'living room', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bun,"['kitchen', 'pantry', 'dining table', 'countertop']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundt pan,"['kitchen cabinets', 'kitchen countertops', 'pantry', 'dining']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bureau,"['bedroom', 'home office', 'hallway', 'living room']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
burner,"['kitchen', 'outdoor cooking area', 'garage', 'basement']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
butter dish,"['kitchen counter', 'kitchen table', 'refrigerator', 'dining']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
butterknife,"['kitchen drawer', 'kitchen counter', 'dining table', 'silver']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,"['kitchen', 'refrigerator', 'pantry', 'garden', 'dining']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabinet,"['kitchen', 'bathroom', 'bedroom', 'living room', '']",1.0,1.0,1.0,1.0,0.25,0.75,1.0
cake mix,"['pantry', 'kitchen cabinets', 'countertops', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cake pan,"['kitchen', 'pantry', 'cupboard', 'dining room', '']",1.0,1.0,1.0,0.75,0.058823529411764705,0.058823529411764705,0.11764705882352941
calender,"['kitchen', 'home office', 'living room', 'bedroom']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
camera,"['living room', 'bedroom', 'office/study', 'closet']",1.0,1.0,1.0,0.6666666666666666,0.05,0.1,0.15
camper,"['driveway', 'backyard', 'garage', 'street', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
can opener,"['kitchen countertop', 'kitchen drawer', 'pantry', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
candelabra,"['dining room', 'living room', 'bedroom', 'hallway']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
candle,"['living room', 'dining room', 'bedroom', 'bathroom', '']",1.0,1.0,0.8333333333333333,0.8055555555555555,0.1,0.2,0.3
candle holder,"['living room', 'dining room', 'bedroom', 'hallway', '']",1.0,1.0,1.0,1.0,0.058823529411764705,0.17647058823529413,0.17647058823529413
candlestick,"['living room', 'dining room', 'bedroom', 'hallway', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
candy,"['kitchen', 'pantry', 'living room', 'bedroom', '']",1.0,1.0,0.8333333333333333,0.8055555555555555,0.047619047619047616,0.09523809523809523,0.14285714285714285
candy bar,"['kitchen counter', 'pantry', 'cupboard', 'bedroom night']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
canister,"['kitchen', 'pantry', 'cupboard', 'storage room', '']",1.0,1.0,1.0,0.75,0.058823529411764705,0.058823529411764705,0.11764705882352941
canteen,"['kitchen', 'dining room', 'pantry', 'outdoor storage']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
canvas,"['art studio', 'attic', 'garage', 'basement', 'living']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap,"['closet', 'dresser', 'laundry room', 'entryway']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
carburettor,"['garage', 'shed', 'basement', 'backyard', 'driveway']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
card,"['desk', 'office', 'living room', 'coffee table', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
card game,"['living room', 'family room', 'game room', 'bedroom']",1.0,1.0,1.0,0.5,0.058823529411764705,0.058823529411764705,0.11764705882352941
carpeting,"['living room', 'bedroom', 'hallway', 'stairs', 'dining']",0.5,0.0,0.5,0.5,0.0,0.25,0.25
carrot,"['kitchen', 'refrigerator', 'pantry', 'dining table', '']",0.5,0.0,0.5,0.5,0.0,0.25,0.25
carrying case,"['entryway', 'closet', 'bedroom', 'office', 'garage']",0.5,0.0,0.5833333333333333,0.38888888888888884,0.0,0.11764705882352941,0.17647058823529413
case,"['bedroom closet', 'dresser', 'nightstand', 'living']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
casserole dish,"['kitchen', 'dining room', 'cupboard', 'pantry', '']",1.0,1.0,1.0,1.0,0.058823529411764705,0.11764705882352941,0.11764705882352941
cauliflower,"['kitchen', 'refrigerator', 'pantry', 'dining room', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd,"['living room', 'bedroom', 'home office', 'entertainment room']",0.5,0.0,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333
celery,"['kitchen', 'refrigerator', 'pantry', 'dining table', '']",0.5,0.0,0.0,0.0,0.0,0.0,0.0
cellar,"['basement', 'garage', 'backyard', 'outdoor storage area']",1.0,1.0,1.0,1.0,0.5,0.5,0.5
cellphone,"['living room', 'bedroom', 'kitchen', 'office/study']",1.0,1.0,1.0,1.0,0.25,0.75,0.75
centerpiece,"['dining table', 'coffee table', 'side table', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cereal,"['kitchen pantry', 'kitchen cabinets', 'kitchen countertops', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chain,"['garage', 'toolbox', 'closet', 'basement', 'attic']",1.0,1.0,0.8333333333333333,0.8333333333333333,0.05,0.1,0.1
chair,"['living room', 'dining room', 'kitchen', 'bedroom', '']",1.0,1.0,0.8333333333333333,0.7777777777777777,0.3333333333333333,0.6666666666666666,0.6666666666666666
chalk,"['classroom', 'home office', 'playroom', 'kitchen']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
