task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['kri', 'drill', 'sponge', 'alligator wrench', 'shampoo']",True
drying the dishes,absorb,sponge,sponge,"['sponge', 'tack hammer', 'strickle', 'toothpick', 'hunting knife']",True
removing moisture,absorb,sponge,sponge,"['soapbottle', 'peppershaker', 'sponge', 'potato', 'steak knife']",True
reheating coffee,be heated,pan,pan,"['power saw', 'footstool', 'pan', 'desk lamp', 'tap wrench']",True
cooking a fried egg,be heated,cup,none,"['cup', 'hayfork', 'counterbore', 'hand drill', 'toilet paper']",False
cooking an omelette,be heated,pan,pan,"['kirpan', 'fork', ""croupier's rake"", 'pan', 'common ax']",True
reheating soup,be heated,kettle,kettle,"['kettle', 'punch', 'neolith', 'roach clip', 'cloth']",True
boiling water,be heated,plate,none,"['tamp', 'lightbulb', 'laundryhamper', 'plate', 'toiletpaper']",False
decorating a room,beautify,steel wool pad,drawer,"['soda can', 'coffee', 'axe', 'drawer', 'steel wool pad']",False
arranging flowers,beautify,abrader,basket ball,"['creditcard', 'basket ball', 'abrader', 'arm chair', 'opener']",False
painting walls,beautify,rat tail file,rat tail file,"['allen wrench', 'tomato', 'rat tail file', 'vacuum cleaner', 'vase']",True
applying make-up,beautify,nailfile,handstamp,"['ravehook', 'nailfile', 'handstamp', 'corkscrew', 'dogbed']",False
shaping wire,bend,bender,bender,"['spreader', 'ax', 'drawknife', 'pipe wrench', 'bender']",True
adjusting blinds,bend,bender,bender,"['hacksaw', 'bender', 'garden trowel', 'food jar', 'breadknife']",True
fitting flexible piping,bend,saw set,saw set,"['saw set', 'pruning saw', 'scraper', 'circular plane', 'bit']",True
installing shelves,bore,bucksaw,bucksaw,"['drawer', 'ax', 'bucksaw', 'shampoo', 'coffee machine']",True
hanging pictures,bore,straight flute,set square,"['set square', 'straight flute', 'stamp', 'desk lamp', 'jack plane']",False
assembling furniture,bore,router,hammer,"['crown saw', 'router', 'stapler', 'chamfer plane', 'hammer']",False
preparing food,break,jigsaw,steak knife,"['soap bar', 'jigsaw', 'steel wool pad', 'lightbulb', 'steak knife']",False
opening packaging,break,folding saw,folding saw,"['shovel', 'abrading stone', 'folding saw', 'bulldog wrench', 'bender']",True
breaking apart food items,break,bottle,hand ax,"['o ring', 'cigar cutter', 'bottle', 'potato', 'hand ax']",False
serving food,carry,vase,shaping tool,"['shaping tool', 'window', 'vase', 'egg', 'water bottle']",False
transporting liquids,carry,mug,mug,"['straight flute', 'bread knife', 'mug', 'spud', 'fridge']",True
serving a dish,carry,watering can,opener,"['combination plane', 'try square', 'catling', 'watering can', 'opener']",False
watering plants,carry,plate,tap,"['plate', 'tap', 'dibble', 'spiral ratchet screwdriver', 'try square']",False
decorating pumpkins,carve,yataghan,plastic box,"['bathtubbasin', 'yataghan', 'taper file', 'sawmill', 'plastic box']",False
preparing meat,carve,tableknife,tableknife,"['grapnel', 'wire cutter', 'tableknife', 'shaver', 'showerdoor']",True
crafting with wood,carve,barong,gouge,"['barong', 'room decor', 'salt', 'gouge', 'bullnose']",False
replacing light bulbs,change,signet,portable saw,"['pitchfork', 'portable saw', 'clincher', 'signet', 'pruning saw']",False
changing bed sheets,change,ram,drawer,"['razor', 'ram', 'toothpick', 'crosscut saw', 'drawer']",False
swapping out filters,change,rock bit,stool,"['stool', 'plexor.n.wn.medicine', 'rock bit', 'broadax', 'rat tail file']",False
preparing cooking ingredients,chop,half hatchet,butcher knife,"['bread', 'pruning shear', 'steel wool pad', 'half hatchet', 'butcher knife']",False
cutting meat,chop,claw hatchet,claw hatchet,"['rounder', 'blind', 'claw hatchet', 'lightbulb', 'barong']",True
