task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
cleaning up spills,absorb,sponge,sponge,"['drill', 'kri', 'sponge', 'shampoo', 'alligator wrench']",True
drying the dishes,absorb,sponge,sponge,"['tack hammer', 'hunting knife', 'sponge', 'strickle', 'toothpick']",True
removing moisture,absorb,sponge,sponge,"['soapbottle', 'peppershaker', 'potato', 'sponge', 'steak knife']",True
reheating coffee,be heated,pan,pan,"['pan', 'desk lamp', 'footstool', 'power saw', 'tap wrench']",True
cooking a fried egg,be heated,cup,none of the given tools are suitable for cooking a,"['cup', 'hayfork', 'counterbore', 'toilet paper', 'hand drill']",False
cooking an omelette,be heated,pan,pan,"['pan', 'common ax', ""croupier's rake"", 'kirpan', 'fork']",True
reheating soup,be heated,kettle,kettle,"['cloth', 'kettle', 'neolith', 'punch', 'roach clip']",True
boiling water,be heated,plate,tamp,"['plate', 'lightbulb', 'tamp', 'toiletpaper', 'laundryhamper']",False
decorating a room,beautify,steel wool pad,steel wool pad,"['axe', 'drawer', 'coffee', 'steel wool pad', 'soda can']",True
arranging flowers,beautify,abrader,opener,"['basket ball', 'abrader', 'arm chair', 'opener', 'creditcard']",False
painting walls,beautify,rat tail file,none of the given tools are suitable for painting walls,"['rat tail file', 'allen wrench', 'tomato', 'vacuumcleaner', 'vase']",False
applying make-up,beautify,nailfile,nailfile,"['ravehook', 'corkscrew', 'handstamp', 'dogbed', 'nailfile']",True
shaping wire,bend,bender,bender,"['bender', 'spreader', 'ax', 'pipe wrench', 'drawknife']",True
adjusting blinds,bend,bender,bender,"['hacksaw', 'bender', 'food jar', 'garden trowel', 'breadknife']",True
fitting flexible piping,bend,saw set,pruning saw,"['saw set', 'bit', 'circular plane', 'scraper', 'pruning saw']",False
installing shelves,bore,bucksaw,ax,"['drawer', 'shampoo', 'ax', 'bucksaw', 'coffee machine']",False
hanging pictures,bore,straight flute,set square,"['jack plane', 'straight flute', 'set square', 'desk lamp', 'stamp']",False
assembling furniture,bore,router,hammer,"['chamfer plane', 'router', 'hammer', 'crown saw', 'stapler']",False
preparing food,break,jigsaw,steak knife,"['lightbulb', 'soap bar', 'steel wool pad', 'jigsaw', 'steak knife']",False
opening packaging,break,folding saw,folding saw,"['folding saw', 'bender', 'bulldog wrench', 'shovel', 'abrading stone']",True
breaking apart food items,break,bottle,hand ax,"['potato', 'bottle', 'cigar cutter', 'o ring', 'hand ax']",False
serving food,carry,vase,shaping tool,"['water bottle', 'egg', 'window', 'shaping tool', 'vase']",False
transporting liquids,carry,mug,mug,"['mug', 'straight flute', 'spud', 'fridge', 'bread knife']",True
